[(-15607, -2754, -3840), (-146, 199, -2)]
[(-15602, -2739, -3852), (-212, 224, -5)]
[(-15588, -2726, -3876), (-198, 286, 2)]
[(-15588, -2726, -3876), (-198, 286, 2)]
[(-15588, -2726, -3876), (-198, 286, 2)]
[(-15588, -2726, -3876), (-198, 286, 2)]
[(-15588, -2726, -3876), (-198, 286, 2)]
[(-15588, -2726, -3876), (-198, 286, 2)]
[(-15541, -2716, -3955), (-190, 396, 17)]
[(-15541, -2716, -3955), (-190, 396, 17)]
[(-15541, -2716, -3955), (-190, 396, 17)]
[(-15541, -2716, -3955), (-190, 396, 17)]
[(-15541, -2716, -3955), (-190, 396, 17)]
[(-15540, -2736, -3982), (-49, 389, 46)]
[(-15540, -2736, -3982), (-49, 389, 46)]
[(-15540, -2736, -3982), (-49, 389, 46)]
[(-15540, -2736, -3982), (-49, 389, 46)]
[(-15540, -2736, -3982), (-49, 389, 46)]
[(-15540, -2736, -3982), (-49, 389, 46)]
[(-15540, -2736, -3982), (-49, 389, 46)]
[(-15540, -2736, -3982), (-49, 389, 46)]
[(-15534, -2733, -4008), (-102, 401, 33)]
[(-15534, -2733, -4008), (-102, 401, 33)]
[(-15534, -2733, -4008), (-102, 401, 33)]
[(-15534, -2733, -4008), (-102, 401, 33)]
[(-15534, -2733, -4008), (-102, 401, 33)]
[(-15542, -2716, -4052), (-191, 387, 16)]
[(-15542, -2716, -4052), (-191, 387, 16)]
[(-15542, -2716, -4052), (-191, 387, 16)]
[(-15542, -2716, -4052), (-191, 387, 16)]
[(-15542, -2716, -4052), (-191, 387, 16)]
[(-15548, -2704, -4107), (-159, 324, -23)]
[(-15548, -2704, -4107), (-159, 324, -23)]
[(-15548, -2704, -4107), (-159, 324, -23)]
[(-15548, -2704, -4107), (-159, 324, -23)]
[(-15548, -2704, -4107), (-159, 324, -23)]
[(-15548, -2704, -4107), (-159, 324, -23)]
[(-15548, -2704, -4107), (-159, 324, -23)]
[(-15548, -2704, -4107), (-159, 324, -23)]
[(-15536, -2729, -4129), (-123, 278, -70)]
[(-15536, -2729, -4129), (-123, 278, -70)]
[(-15536, -2729, -4129), (-123, 278, -70)]
[(-15536, -2729, -4129), (-123, 278, -70)]
[(-15536, -2729, -4129), (-123, 278, -70)]
[(-15548, -2776, -4108), (-41, 238, -86)]
[(-15548, -2776, -4108), (-41, 238, -86)]
[(-15548, -2776, -4108), (-41, 238, -86)]
[(-15548, -2776, -4108), (-41, 238, -86)]
[(-15548, -2776, -4108), (-41, 238, -86)]
[(-15548, -2813, -4092), (-3, 150, -51)]
[(-15548, -2813, -4092), (-3, 150, -51)]
[(-15548, -2813, -4092), (-3, 150, -51)]
[(-15548, -2813, -4092), (-3, 150, -51)]
[(-15548, -2813, -4092), (-3, 150, -51)]
[(-15548, -2813, -4092), (-3, 150, -51)]
[(-15548, -2813, -4092), (-3, 150, -51)]
[(-15548, -2813, -4092), (-3, 150, -51)]
[(-15553, -2838, -4128), (72, 49, 4)]
[(-15553, -2838, -4128), (72, 49, 4)]
[(-15553, -2838, -4128), (72, 49, 4)]
[(-15553, -2838, -4128), (72, 49, 4)]
[(-15553, -2838, -4128), (72, 49, 4)]
[(-15577, -2808, -4060), (80, 4, 29)]
[(-15577, -2808, -4060), (80, 4, 29)]
[(-15577, -2808, -4060), (80, 4, 29)]
[(-15577, -2808, -4060), (80, 4, 29)]
[(-15577, -2808, -4060), (80, 4, 29)]
[(-15569, -2773, -4029), (135, 18, 76)]
[(-15569, -2773, -4029), (135, 18, 76)]
[(-15569, -2773, -4029), (135, 18, 76)]
[(-15569, -2773, -4029), (135, 18, 76)]
[(-15569, -2773, -4029), (135, 18, 76)]
[(-15569, -2773, -4029), (135, 18, 76)]
[(-15569, -2773, -4029), (135, 18, 76)]
[(-15569, -2773, -4029), (135, 18, 76)]
[(-15567, -2778, -3988), (64, 18, 77)]
[(-15567, -2778, -3988), (64, 18, 77)]
[(-15567, -2778, -3988), (64, 18, 77)]
[(-15567, -2778, -3988), (64, 18, 77)]
[(-15567, -2778, -3988), (64, 18, 77)]
[(-15591, -2773, -3948), (83, -3, 70)]
[(-15591, -2773, -3948), (83, -3, 70)]
[(-15591, -2773, -3948), (83, -3, 70)]
[(-15591, -2773, -3948), (83, -3, 70)]
[(-15591, -2773, -3948), (83, -3, 70)]
[(-15565, -2738, -3961), (65, -2, 34)]
[(-15565, -2738, -3961), (65, -2, 34)]
[(-15565, -2738, -3961), (65, -2, 34)]
[(-15565, -2738, -3961), (65, -2, 34)]
[(-15565, -2738, -3961), (65, -2, 34)]
[(-15565, -2738, -3961), (65, -2, 34)]
[(-15565, -2738, -3961), (65, -2, 34)]
[(-15565, -2738, -3961), (65, -2, 34)]
[(-15584, -2764, -3920), (35, 25, 0)]
[(-15584, -2764, -3920), (35, 25, 0)]
[(-15584, -2764, -3920), (35, 25, 0)]
[(-15584, -2764, -3920), (35, 25, 0)]
[(-15584, -2764, -3920), (35, 25, 0)]
[(-15600, -2768, -3930), (-28, 47, -4)]
[(-15600, -2768, -3930), (-28, 47, -4)]
[(-15600, -2768, -3930), (-28, 47, -4)]
[(-15600, -2768, -3930), (-28, 47, -4)]
[(-15600, -2768, -3930), (-28, 47, -4)]
[(-15612, -2780, -3890), (-136, 72, -20)]
[(-15612, -2780, -3890), (-136, 72, -20)]
[(-15612, -2780, -3890), (-136, 72, -20)]
[(-15612, -2780, -3890), (-136, 72, -20)]
[(-15612, -2780, -3890), (-136, 72, -20)]
[(-15612, -2780, -3890), (-136, 72, -20)]
[(-15612, -2780, -3890), (-136, 72, -20)]
