[(-15617, -2723, -3824), (-208, 119, -60)]
[(-15625, -2716, -3912), (16, 57, -91)]
[(-15625, -2716, -3912), (16, 57, -91)]
[(-15625, -2716, -3912), (16, 57, -91)]
[(-15625, -2716, -3912), (16, 57, -91)]
[(-15625, -2716, -3912), (16, 57, -91)]
[(-15629, -2770, -3888), (-3, 68, -69)]
[(-15629, -2770, -3888), (-3, 68, -69)]
[(-15629, -2770, -3888), (-3, 68, -69)]
[(-15629, -2770, -3888), (-3, 68, -69)]
[(-15629, -2770, -3888), (-3, 68, -69)]
[(-15629, -2770, -3888), (-3, 68, -69)]
[(-15612, -2790, -3869), (-113, 155, -47)]
[(-15612, -2790, -3869), (-113, 155, -47)]
[(-15612, -2790, -3869), (-113, 155, -47)]
[(-15612, -2790, -3869), (-113, 155, -47)]
[(-15612, -2790, -3869), (-113, 155, -47)]
[(-15600, -2790, -3896), (-155, 216, -40)]
[(-15600, -2790, -3896), (-155, 216, -40)]
[(-15600, -2790, -3896), (-155, 216, -40)]
[(-15600, -2790, -3896), (-155, 216, -40)]
[(-15600, -2790, -3896), (-155, 216, -40)]
[(-15600, -2790, -3896), (-155, 216, -40)]
[(-15600, -2790, -3896), (-155, 216, -40)]
[(-15600, -2790, -3896), (-155, 216, -40)]
[(-15600, -2790, -3896), (-155, 216, -40)]
[(-15628, -2789, -3912), (-201, 238, -11)]
[(-15628, -2789, -3912), (-201, 238, -11)]
[(-15628, -2789, -3912), (-201, 238, -11)]
[(-15628, -2789, -3912), (-201, 238, -11)]
[(-15612, -2774, -3960), (-269, 233, 0)]
[(-15612, -2774, -3960), (-269, 233, 0)]
[(-15612, -2774, -3960), (-269, 233, 0)]
[(-15612, -2774, -3960), (-269, 233, 0)]
[(-15612, -2774, -3960), (-269, 233, 0)]
[(-15620, -2784, -3976), (-248, 208, -20)]
[(-15620, -2784, -3976), (-248, 208, -20)]
[(-15620, -2784, -3976), (-248, 208, -20)]
[(-15620, -2784, -3976), (-248, 208, -20)]
[(-15620, -2784, -3976), (-248, 208, -20)]
[(-15620, -2784, -3976), (-248, 208, -20)]
[(-15620, -2784, -3976), (-248, 208, -20)]
[(-15620, -2784, -3976), (-248, 208, -20)]
[(-15632, -2796, -3959), (-211, 180, -29)]
[(-15632, -2796, -3959), (-211, 180, -29)]
[(-15632, -2796, -3959), (-211, 180, -29)]
[(-15632, -2796, -3959), (-211, 180, -29)]
[(-15632, -2796, -3959), (-211, 180, -29)]
[(-15642, -2801, -3972), (-157, 130, -22)]
[(-15642, -2801, -3972), (-157, 130, -22)]
[(-15642, -2801, -3972), (-157, 130, -22)]
[(-15642, -2801, -3972), (-157, 130, -22)]
[(-15642, -2801, -3972), (-157, 130, -22)]
[(-15649, -2808, -4012), (-163, 61, -17)]
[(-15649, -2808, -4012), (-163, 61, -17)]
[(-15649, -2808, -4012), (-163, 61, -17)]
