[(-15664, -1360, -4742), (-61, 190, 32)]
[(-15663, -1393, -4724), (-114, 174, 11)]
[(-15663, -1393, -4724), (-114, 174, 11)]
[(-15663, -1393, -4724), (-114, 174, 11)]
[(-15663, -1393, -4724), (-114, 174, 11)]
[(-15663, -1393, -4724), (-114, 174, 11)]
[(-15663, -1393, -4724), (-114, 174, 11)]
[(-15672, -1367, -4713), (-109, 146, 11)]
[(-15672, -1367, -4713), (-109, 146, 11)]
[(-15672, -1367, -4713), (-109, 146, 11)]
[(-15672, -1367, -4713), (-109, 146, 11)]
[(-15672, -1367, -4713), (-109, 146, 11)]
[(-15657, -1380, -4678), (-111, 127, 3)]
[(-15657, -1380, -4678), (-111, 127, 3)]
[(-15657, -1380, -4678), (-111, 127, 3)]
[(-15657, -1380, -4678), (-111, 127, 3)]
[(-15657, -1380, -4678), (-111, 127, 3)]
[(-15657, -1380, -4678), (-111, 127, 3)]
[(-15667, -1385, -4673), (-152, 136, 2)]
[(-15667, -1385, -4673), (-152, 136, 2)]
[(-15667, -1385, -4673), (-152, 136, 2)]
[(-15667, -1385, -4673), (-152, 136, 2)]
[(-15667, -1385, -4673), (-152, 136, 2)]
[(-15667, -1385, -4673), (-152, 136, 2)]
[(-15667, -1385, -4673), (-152, 136, 2)]
[(-15674, -1383, -4677), (-105, 151, 12)]
[(-15674, -1383, -4677), (-105, 151, 12)]
[(-15674, -1383, -4677), (-105, 151, 12)]
[(-15674, -1383, -4677), (-105, 151, 12)]
[(-15674, -1383, -4677), (-105, 151, 12)]
[(-15660, -1373, -4672), (-79, 233, 16)]
[(-15660, -1373, -4672), (-79, 233, 16)]
[(-15660, -1373, -4672), (-79, 233, 16)]
[(-15660, -1373, -4672), (-79, 233, 16)]
[(-15660, -1373, -4672), (-79, 233, 16)]
[(-15728, -1386, -4668), (-48, 136, 42)]
[(-15728, -1386, -4668), (-48, 136, 42)]
[(-15728, -1386, -4668), (-48, 136, 42)]
[(-15728, -1386, -4668), (-48, 136, 42)]
[(-15728, -1386, -4668), (-48, 136, 42)]
[(-15728, -1386, -4668), (-48, 136, 42)]
[(-15716, -1364, -4688), (-68, 190, 17)]
[(-15716, -1364, -4688), (-68, 190, 17)]
[(-15716, -1364, -4688), (-68, 190, 17)]
[(-15716, -1364, -4688), (-68, 190, 17)]
[(-15716, -1364, -4688), (-68, 190, 17)]
[(-15716, -1364, -4688), (-68, 190, 17)]
[(-15716, -1364, -4688), (-68, 190, 17)]
[(-15682, -1356, -4763), (-167, 215, -12)]
[(-15682, -1356, -4763), (-167, 215, -12)]
[(-15682, -1356, -4763), (-167, 215, -12)]
[(-15682, -1356, -4763), (-167, 215, -12)]
[(-15682, -1356, -4763), (-167, 215, -12)]
[(-15682, -1356, -4763), (-167, 215, -12)]
[(-15682, -1356, -4763), (-167, 215, -12)]
[(-15662, -1344, -4763), (98, 48, -94)]
[(-15662, -1344, -4763), (98, 48, -94)]
[(-15662, -1344, -4763), (98, 48, -94)]
[(-15662, -1344, -4763), (98, 48, -94)]
[(-15675, -1385, -4767), (26, 67, -92)]
[(-15675, -1385, -4767), (26, 67, -92)]
[(-15675, -1385, -4767), (26, 67, -92)]
[(-15675, -1385, -4767), (26, 67, -92)]
[(-15675, -1385, -4767), (26, 67, -92)]
[(-15675, -1385, -4767), (26, 67, -92)]
[(-15675, -1385, -4767), (26, 67, -92)]
[(-15672, -1399, -4769), (-60, 109, -73)]
[(-15672, -1399, -4769), (-60, 109, -73)]
[(-15672, -1399, -4769), (-60, 109, -73)]
[(-15672, -1399, -4769), (-60, 109, -73)]
[(-15672, -1399, -4769), (-60, 109, -73)]
[(-15672, -1399, -4769), (-60, 109, -73)]
[(-15667, -1388, -4751), (128, 144, -24)]
[(-15667, -1388, -4751), (128, 144, -24)]
[(-15667, -1388, -4751), (128, 144, -24)]
[(-15667, -1388, -4751), (128, 144, -24)]
[(-15667, -1388, -4751), (128, 144, -24)]
[(-15662, -1370, -4798), (132, 124, -17)]
[(-15662, -1370, -4798), (132, 124, -17)]
[(-15662, -1370, -4798), (132, 124, -17)]
[(-15662, -1370, -4798), (132, 124, -17)]
[(-15662, -1370, -4798), (132, 124, -17)]
[(-15662, -1370, -4798), (132, 124, -17)]
[(-15662, -1370, -4798), (132, 124, -17)]
[(-15678, -1353, -4805), (34, 135, 15)]
[(-15678, -1353, -4805), (34, 135, 15)]
[(-15678, -1353, -4805), (34, 135, 15)]
