[(-15654, -1420, -4712), (-114, 117, -4)]
[(-15669, -1405, -4708), (-71, 154, 19)]
[(-15645, -1391, -4747), (-80, 168, 18)]
[(-15645, -1391, -4747), (-80, 168, 18)]
[(-15645, -1391, -4747), (-80, 168, 18)]
[(-15645, -1391, -4747), (-80, 168, 18)]
[(-15645, -1391, -4747), (-80, 168, 18)]
[(-15647, -1391, -4752), (-92, 164, 5)]
[(-15647, -1391, -4752), (-92, 164, 5)]
[(-15647, -1391, -4752), (-92, 164, 5)]
[(-15647, -1391, -4752), (-92, 164, 5)]
[(-15647, -1391, -4752), (-92, 164, 5)]
[(-15647, -1391, -4752), (-92, 164, 5)]
[(-15647, -1391, -4752), (-92, 164, 5)]
[(-15652, -1406, -4763), (-101, 166, -11)]
[(-15652, -1406, -4763), (-101, 166, -11)]
[(-15652, -1406, -4763), (-101, 166, -11)]
[(-15652, -1406, -4763), (-101, 166, -11)]
[(-15652, -1406, -4763), (-101, 166, -11)]
[(-15644, -1409, -4772), (-112, 149, 0)]
[(-15644, -1409, -4772), (-112, 149, 0)]
[(-15644, -1409, -4772), (-112, 149, 0)]
[(-15644, -1409, -4772), (-112, 149, 0)]
[(-15644, -1409, -4772), (-112, 149, 0)]
[(-15644, -1409, -4772), (-112, 149, 0)]
[(-15638, -1419, -4772), (-125, 160, 23)]
[(-15638, -1419, -4772), (-125, 160, 23)]
[(-15638, -1419, -4772), (-125, 160, 23)]
[(-15638, -1419, -4772), (-125, 160, 23)]
[(-15638, -1419, -4772), (-125, 160, 23)]
[(-15638, -1419, -4772), (-125, 160, 23)]
[(-15638, -1419, -4772), (-125, 160, 23)]
[(-15640, -1419, -4769), (-178, 191, 50)]
[(-15640, -1419, -4769), (-178, 191, 50)]
[(-15640, -1419, -4769), (-178, 191, 50)]
[(-15640, -1419, -4769), (-178, 191, 50)]
[(-15640, -1419, -4769), (-178, 191, 50)]
[(-15701, -1451, -4508), (157, 197, 154)]
[(-15701, -1451, -4508), (157, 197, 154)]
[(-15701, -1451, -4508), (157, 197, 154)]
[(-15701, -1451, -4508), (157, 197, 154)]
[(-15701, -1451, -4508), (157, 197, 154)]
[(-15701, -1451, -4508), (157, 197, 154)]
[(-15693, -1424, -4587), (182, 230, 133)]
