[(-15754, -2370, -3399), (134, 85, 35)]
[(-15777, -2388, -3339), (-90, 217, -27)]
[(-15777, -2388, -3339), (-90, 217, -27)]
[(-15777, -2388, -3339), (-90, 217, -27)]
[(-15777, -2388, -3339), (-90, 217, -27)]
[(-15777, -2388, -3339), (-90, 217, -27)]
[(-15757, -2382, -3342), (-54, 229, 0)]
[(-15757, -2382, -3342), (-54, 229, 0)]
[(-15757, -2382, -3342), (-54, 229, 0)]
[(-15757, -2382, -3342), (-54, 229, 0)]
[(-15757, -2382, -3342), (-54, 229, 0)]
[(-15773, -2364, -3347), (-44, 231, -17)]
[(-15773, -2364, -3347), (-44, 231, -17)]
[(-15773, -2364, -3347), (-44, 231, -17)]
[(-15773, -2364, -3347), (-44, 231, -17)]
[(-15773, -2364, -3347), (-44, 231, -17)]
[(-15773, -2364, -3347), (-44, 231, -17)]
[(-15775, -2388, -3372), (-67, 199, -18)]
[(-15775, -2388, -3372), (-67, 199, -18)]
[(-15775, -2388, -3372), (-67, 199, -18)]
[(-15775, -2388, -3372), (-67, 199, -18)]
[(-15775, -2388, -3372), (-67, 199, -18)]
[(-15775, -2388, -3372), (-67, 199, -18)]
[(-15775, -2388, -3372), (-67, 199, -18)]
[(-15783, -2422, -3357), (-100, 189, -26)]
[(-15783, -2422, -3357), (-100, 189, -26)]
[(-15783, -2422, -3357), (-100, 189, -26)]
[(-15783, -2422, -3357), (-100, 189, -26)]
[(-15783, -2422, -3357), (-100, 189, -26)]
[(-15748, -2434, -3349), (-206, 209, -42)]
[(-15748, -2434, -3349), (-206, 209, -42)]
[(-15748, -2434, -3349), (-206, 209, -42)]
[(-15748, -2434, -3349), (-206, 209, -42)]
[(-15748, -2434, -3349), (-206, 209, -42)]
[(-15748, -2434, -3349), (-206, 209, -42)]
[(-15751, -2436, -3374), (-180, 160, -10)]
[(-15751, -2436, -3374), (-180, 160, -10)]
[(-15751, -2436, -3374), (-180, 160, -10)]
[(-15751, -2436, -3374), (-180, 160, -10)]
[(-15751, -2436, -3374), (-180, 160, -10)]
[(-15751, -2436, -3374), (-180, 160, -10)]
[(-15751, -2436, -3374), (-180, 160, -10)]
[(-15751, -2448, -3361), (-192, 159, -15)]
[(-15751, -2448, -3361), (-192, 159, -15)]
[(-15751, -2448, -3361), (-192, 159, -15)]
[(-15751, -2448, -3361), (-192, 159, -15)]
