[(-15748, -2341, -3488), (-142, 157, 7)]
[(-15737, -2350, -3484), (-118, 163, 19)]
[(-15737, -2350, -3484), (-118, 163, 19)]
[(-15752, -2361, -3476), (-138, 135, 3)]
[(-15752, -2361, -3476), (-138, 135, 3)]
[(-15752, -2361, -3476), (-138, 135, 3)]
[(-15752, -2361, -3476), (-138, 135, 3)]
[(-15752, -2361, -3476), (-138, 135, 3)]
[(-15745, -2354, -3479), (-102, 130, 2)]
[(-15745, -2354, -3479), (-102, 130, 2)]
[(-15745, -2354, -3479), (-102, 130, 2)]
[(-15745, -2354, -3479), (-102, 130, 2)]
[(-15745, -2354, -3479), (-102, 130, 2)]
[(-15745, -2354, -3479), (-102, 130, 2)]
[(-15745, -2354, -3479), (-102, 130, 2)]
[(-15745, -2354, -3479), (-102, 130, 2)]
[(-15760, -2342, -3476), (-127, 147, -7)]
[(-15760, -2342, -3476), (-127, 147, -7)]
[(-15760, -2342, -3476), (-127, 147, -7)]
[(-15760, -2342, -3476), (-127, 147, -7)]
[(-15760, -2342, -3476), (-127, 147, -7)]
[(-15760, -2342, -3469), (-78, 151, -31)]
[(-15760, -2342, -3469), (-78, 151, -31)]
[(-15760, -2342, -3469), (-78, 151, -31)]
[(-15760, -2342, -3469), (-78, 151, -31)]
[(-15760, -2342, -3469), (-78, 151, -31)]
[(-15743, -2372, -3439), (-108, 177, -35)]
[(-15743, -2372, -3439), (-108, 177, -35)]
[(-15743, -2372, -3439), (-108, 177, -35)]
[(-15743, -2372, -3439), (-108, 177, -35)]
[(-15743, -2372, -3439), (-108, 177, -35)]
[(-15743, -2372, -3439), (-108, 177, -35)]
[(-15743, -2372, -3439), (-108, 177, -35)]
[(-15743, -2372, -3439), (-108, 177, -35)]
[(-15742, -2371, -3415), (-167, 203, -50)]
[(-15742, -2371, -3415), (-167, 203, -50)]
[(-15742, -2371, -3415), (-167, 203, -50)]
[(-15742, -2371, -3415), (-167, 203, -50)]
[(-15742, -2371, -3415), (-167, 203, -50)]
[(-15738, -2374, -3400), (-133, 191, -33)]
[(-15738, -2374, -3400), (-133, 191, -33)]
[(-15738, -2374, -3400), (-133, 191, -33)]
[(-15738, -2374, -3400), (-133, 191, -33)]
[(-15738, -2374, -3400), (-133, 191, -33)]
