[(-15725, -2418, -3337), (-155, 182, -53)]
[(-15747, -2412, -3305), (-56, 105, -26)]
[(-15747, -2412, -3305), (-56, 105, -26)]
[(-15751, -2460, -3267), (-2, 52, -2)]
[(-15751, -2460, -3267), (-2, 52, -2)]
[(-15751, -2460, -3267), (-2, 52, -2)]
[(-15751, -2460, -3267), (-2, 52, -2)]
[(-15751, -2460, -3267), (-2, 52, -2)]
[(-15751, -2460, -3267), (-2, 52, -2)]
[(-15768, -2495, -3243), (-27, 91, -2)]
[(-15768, -2495, -3243), (-27, 91, -2)]
[(-15768, -2495, -3243), (-27, 91, -2)]
[(-15768, -2495, -3243), (-27, 91, -2)]
[(-15768, -2495, -3243), (-27, 91, -2)]
[(-15768, -2495, -3243), (-27, 91, -2)]
[(-15768, -2495, -3243), (-27, 91, -2)]
[(-15785, -2485, -3224), (-117, 165, 18)]
[(-15785, -2485, -3224), (-117, 165, 18)]
[(-15785, -2485, -3224), (-117, 165, 18)]
[(-15785, -2485, -3224), (-117, 165, 18)]
[(-15785, -2485, -3224), (-117, 165, 18)]
[(-15780, -2476, -3232), (-271, 260, 0)]
[(-15780, -2476, -3232), (-271, 260, 0)]
[(-15780, -2476, -3232), (-271, 260, 0)]
[(-15780, -2476, -3232), (-271, 260, 0)]
[(-15780, -2476, -3232), (-271, 260, 0)]
[(-15780, -2476, -3232), (-271, 260, 0)]
[(-15780, -2476, -3232), (-271, 260, 0)]
[(-15780, -2476, -3232), (-271, 260, 0)]
[(-15780, -2476, -3232), (-271, 260, 0)]
[(-15752, -2400, -3230), (-274, 321, -28)]
[(-15752, -2400, -3230), (-274, 321, -28)]
[(-15752, -2400, -3230), (-274, 321, -28)]
[(-15752, -2400, -3230), (-274, 321, -28)]
[(-15727, -2408, -3286), (-255, 285, -27)]
[(-15727, -2408, -3286), (-255, 285, -27)]
[(-15727, -2408, -3286), (-255, 285, -27)]
[(-15727, -2408, -3286), (-255, 285, -27)]
[(-15727, -2408, -3286), (-255, 285, -27)]
[(-15732, -2439, -3315), (-194, 270, -30)]
[(-15732, -2439, -3315), (-194, 270, -30)]
[(-15732, -2439, -3315), (-194, 270, -30)]
[(-15732, -2439, -3315), (-194, 270, -30)]
[(-15732, -2439, -3315), (-194, 270, -30)]
[(-15732, -2439, -3315), (-194, 270, -30)]
[(-15735, -2425, -3341), (-170, 221, -4)]
[(-15735, -2425, -3341), (-170, 221, -4)]
