[(-15716, -2473, -3572), (-34, 153, 45)]
[(-15740, -2490, -3536), (-133, 147, 35)]
[(-15740, -2490, -3536), (-133, 147, 35)]
[(-15740, -2490, -3536), (-133, 147, 35)]
[(-15740, -2490, -3536), (-133, 147, 35)]
[(-15713, -2477, -3542), (-177, 208, 40)]
[(-15713, -2477, -3542), (-177, 208, 40)]
[(-15713, -2477, -3542), (-177, 208, 40)]
[(-15713, -2477, -3542), (-177, 208, 40)]
[(-15713, -2477, -3542), (-177, 208, 40)]
[(-15713, -2477, -3542), (-177, 208, 40)]
[(-15713, -2477, -3542), (-177, 208, 40)]
[(-15720, -2494, -3570), (-173, 183, 5)]
[(-15720, -2494, -3570), (-173, 183, 5)]
[(-15720, -2494, -3570), (-173, 183, 5)]
[(-15720, -2494, -3570), (-173, 183, 5)]
[(-15720, -2494, -3570), (-173, 183, 5)]
[(-15712, -2485, -3613), (-192, 169, 2)]
[(-15712, -2485, -3613), (-192, 169, 2)]
[(-15712, -2485, -3613), (-192, 169, 2)]
[(-15712, -2485, -3613), (-192, 169, 2)]
[(-15712, -2485, -3613), (-192, 169, 2)]
[(-15712, -2485, -3613), (-192, 169, 2)]
[(-15713, -2470, -3606), (-305, 194, -9)]
[(-15713, -2470, -3606), (-305, 194, -9)]
[(-15713, -2470, -3606), (-305, 194, -9)]
[(-15713, -2470, -3606), (-305, 194, -9)]
[(-15713, -2470, -3606), (-305, 194, -9)]
[(-15701, -2448, -3633), (-208, 150, -54)]
[(-15701, -2448, -3633), (-208, 150, -54)]
[(-15701, -2448, -3633), (-208, 150, -54)]
[(-15701, -2448, -3633), (-208, 150, -54)]
[(-15701, -2448, -3633), (-208, 150, -54)]
[(-15701, -2448, -3633), (-208, 150, -54)]
[(-15701, -2448, -3633), (-208, 150, -54)]
[(-15701, -2448, -3633), (-208, 150, -54)]
[(-15720, -2478, -3614), (-85, 105, -21)]
[(-15720, -2478, -3614), (-85, 105, -21)]
[(-15720, -2478, -3614), (-85, 105, -21)]
[(-15720, -2478, -3614), (-85, 105, -21)]
[(-15720, -2478, -3614), (-85, 105, -21)]
[(-15710, -2495, -3620), (-104, 126, -19)]
[(-15710, -2495, -3620), (-104, 126, -19)]
[(-15710, -2495, -3620), (-104, 126, -19)]
[(-15710, -2495, -3620), (-104, 126, -19)]
[(-15710, -2495, -3620), (-104, 126, -19)]
[(-15732, -2495, -3603), (-102, 188, 7)]
[(-15732, -2495, -3603), (-102, 188, 7)]
[(-15732, -2495, -3603), (-102, 188, 7)]
[(-15732, -2495, -3603), (-102, 188, 7)]
[(-15732, -2495, -3603), (-102, 188, 7)]
[(-15732, -2495, -3603), (-102, 188, 7)]
[(-15732, -2495, -3603), (-102, 188, 7)]
[(-15732, -2495, -3603), (-102, 188, 7)]
[(-15751, -2471, -3615), (-77, 274, 36)]
[(-15751, -2471, -3615), (-77, 274, 36)]
[(-15751, -2471, -3615), (-77, 274, 36)]
[(-15751, -2471, -3615), (-77, 274, 36)]
[(-15751, -2471, -3615), (-77, 274, 36)]
[(-15721, -2473, -3641), (6, 241, 47)]
[(-15721, -2473, -3641), (6, 241, 47)]
[(-15721, -2473, -3641), (6, 241, 47)]
[(-15721, -2473, -3641), (6, 241, 47)]
[(-15721, -2473, -3641), (6, 241, 47)]
[(-15728, -2472, -3603), (191, 170, 47)]
[(-15728, -2472, -3603), (191, 170, 47)]
[(-15728, -2472, -3603), (191, 170, 47)]
[(-15728, -2472, -3603), (191, 170, 47)]
[(-15728, -2472, -3603), (191, 170, 47)]
[(-15728, -2472, -3603), (191, 170, 47)]
[(-15728, -2472, -3603), (191, 170, 47)]
[(-15728, -2472, -3603), (191, 170, 47)]
[(-15718, -2466, -3593), (420, 75, 80)]
[(-15718, -2466, -3593), (420, 75, 80)]
[(-15718, -2466, -3593), (420, 75, 80)]
[(-15718, -2466, -3593), (420, 75, 80)]
[(-15718, -2466, -3593), (420, 75, 80)]
[(-15708, -2461, -3597), (286, 57, 1)]
[(-15708, -2461, -3597), (286, 57, 1)]
[(-15708, -2461, -3597), (286, 57, 1)]
[(-15708, -2461, -3597), (286, 57, 1)]
[(-15708, -2461, -3597), (286, 57, 1)]
[(-15714, -2485, -3537), (175, 60, -6)]
[(-15714, -2485, -3537), (175, 60, -6)]
[(-15714, -2485, -3537), (175, 60, -6)]
[(-15714, -2485, -3537), (175, 60, -6)]
[(-15714, -2485, -3537), (175, 60, -6)]
[(-15714, -2485, -3537), (175, 60, -6)]
[(-15714, -2485, -3537), (175, 60, -6)]
[(-15714, -2485, -3537), (175, 60, -6)]
[(-15712, -2540, -3524), (181, 68, -21)]
[(-15712, -2540, -3524), (181, 68, -21)]
[(-15712, -2540, -3524), (181, 68, -21)]
[(-15712, -2540, -3524), (181, 68, -21)]
[(-15712, -2540, -3524), (181, 68, -21)]
[(-15717, -2486, -3512), (-211, -5, 4)]
[(-15717, -2486, -3512), (-211, -5, 4)]
[(-15717, -2486, -3512), (-211, -5, 4)]
[(-15717, -2486, -3512), (-211, -5, 4)]
[(-15717, -2486, -3512), (-211, -5, 4)]
[(-15776, -2613, -3364), (-249, -33, -47)]
[(-15776, -2613, -3364), (-249, -33, -47)]
[(-15776, -2613, -3364), (-249, -33, -47)]
[(-15776, -2613, -3364), (-249, -33, -47)]
[(-15776, -2613, -3364), (-249, -33, -47)]
[(-15776, -2613, -3364), (-249, -33, -47)]
[(-15776, -2613, -3364), (-249, -33, -47)]
[(-15776, -2613, -3364), (-249, -33, -47)]
[(-15712, -2508, -3477), (127, 176, 72)]
[(-15712, -2508, -3477), (127, 176, 72)]
[(-15712, -2508, -3477), (127, 176, 72)]
[(-15762, -2502, -3391), (-331, 44, -38)]
[(-15762, -2502, -3391), (-331, 44, -38)]
[(-15762, -2502, -3391), (-331, 44, -38)]
[(-15762, -2502, -3391), (-331, 44, -38)]
[(-15762, -2502, -3391), (-331, 44, -38)]
[(-15760, -2537, -3338), (-114, 127, -49)]
[(-15760, -2537, -3338), (-114, 127, -49)]
[(-15760, -2537, -3338), (-114, 127, -49)]
[(-15760, -2537, -3338), (-114, 127, -49)]
[(-15760, -2537, -3338), (-114, 127, -49)]
[(-15760, -2537, -3338), (-114, 127, -49)]
[(-15760, -2537, -3338), (-114, 127, -49)]
[(-15760, -2537, -3338), (-114, 127, -49)]
[(-15770, -2477, -3337), (-204, 147, -29)]
[(-15770, -2477, -3337), (-204, 147, -29)]
[(-15770, -2477, -3337), (-204, 147, -29)]
[(-15770, -2477, -3337), (-204, 147, -29)]
[(-15770, -2477, -3337), (-204, 147, -29)]
[(-15767, -2536, -3354), (-193, 165, -51)]
[(-15767, -2536, -3354), (-193, 165, -51)]
[(-15767, -2536, -3354), (-193, 165, -51)]
