[(-15467, -1690, -5291), (-56, 197, -59)]
[(-15451, -1658, -5368), (91, 160, -113)]
[(-15451, -1658, -5368), (91, 160, -113)]
[(-15451, -1658, -5368), (91, 160, -113)]
[(-15451, -1658, -5368), (91, 160, -113)]
[(-15451, -1658, -5368), (91, 160, -113)]
[(-15451, -1658, -5368), (91, 160, -113)]
[(-15451, -1658, -5368), (91, 160, -113)]
[(-15500, -1692, -5383), (75, 318, -89)]
[(-15500, -1692, -5383), (75, 318, -89)]
[(-15500, -1692, -5383), (75, 318, -89)]
[(-15500, -1692, -5383), (75, 318, -89)]
[(-15500, -1692, -5383), (75, 318, -89)]
[(-15500, -1687, -5428), (-126, 511, -72)]
[(-15500, -1687, -5428), (-126, 511, -72)]
[(-15500, -1687, -5428), (-126, 511, -72)]
[(-15500, -1687, -5428), (-126, 511, -72)]
[(-15500, -1687, -5428), (-126, 511, -72)]
[(-15490, -1696, -5429), (-109, 396, -21)]
[(-15490, -1696, -5429), (-109, 396, -21)]
[(-15490, -1696, -5429), (-109, 396, -21)]
[(-15490, -1696, -5429), (-109, 396, -21)]
[(-15490, -1696, -5429), (-109, 396, -21)]
[(-15490, -1696, -5429), (-109, 396, -21)]
[(-15490, -1696, -5429), (-109, 396, -21)]
[(-15490, -1696, -5429), (-109, 396, -21)]
[(-15474, -1708, -5448), (-107, 360, -25)]
[(-15474, -1708, -5448), (-107, 360, -25)]
[(-15474, -1708, -5448), (-107, 360, -25)]
[(-15474, -1708, -5448), (-107, 360, -25)]
[(-15474, -1708, -5448), (-107, 360, -25)]
[(-15484, -1706, -5437), (-9, 91, -7)]
[(-15484, -1706, -5437), (-9, 91, -7)]
[(-15484, -1706, -5437), (-9, 91, -7)]
[(-15484, -1706, -5437), (-9, 91, -7)]
[(-15484, -1706, -5437), (-9, 91, -7)]
[(-15443, -1752, -5421), (-119, 75, 45)]
[(-15443, -1752, -5421), (-119, 75, 45)]
[(-15443, -1752, -5421), (-119, 75, 45)]
[(-15443, -1752, -5421), (-119, 75, 45)]
[(-15443, -1752, -5421), (-119, 75, 45)]
[(-15443, -1752, -5421), (-119, 75, 45)]
[(-15458, -1767, -5411), (-250, 86, 30)]
[(-15458, -1767, -5411), (-250, 86, 30)]
[(-15458, -1767, -5411), (-250, 86, 30)]
[(-15458, -1767, -5411), (-250, 86, 30)]
[(-15458, -1767, -5411), (-250, 86, 30)]
[(-15458, -1767, -5411), (-250, 86, 30)]
[(-15458, -1767, -5411), (-250, 86, 30)]
[(-15449, -1787, -5443), (-154, 44, 53)]
[(-15449, -1787, -5443), (-154, 44, 53)]
[(-15449, -1787, -5443), (-154, 44, 53)]
[(-15449, -1787, -5443), (-154, 44, 53)]
[(-15449, -1787, -5443), (-154, 44, 53)]
[(-15449, -1784, -5421), (-159, 60, 27)]
[(-15449, -1784, -5421), (-159, 60, 27)]
[(-15449, -1784, -5421), (-159, 60, 27)]
[(-15449, -1784, -5421), (-159, 60, 27)]
[(-15449, -1784, -5421), (-159, 60, 27)]
[(-15449, -1784, -5421), (-159, 60, 27)]
[(-15449, -1784, -5421), (-159, 60, 27)]
[(-15449, -1784, -5421), (-159, 60, 27)]
[(-15454, -1744, -5370), (-229, 82, 22)]
[(-15454, -1744, -5370), (-229, 82, 22)]
[(-15454, -1744, -5370), (-229, 82, 22)]
[(-15454, -1744, -5370), (-229, 82, 22)]
[(-15454, -1744, -5370), (-229, 82, 22)]
[(-15446, -1734, -5376), (-149, 131, 63)]
[(-15446, -1734, -5376), (-149, 131, 63)]
[(-15446, -1734, -5376), (-149, 131, 63)]
[(-15446, -1734, -5376), (-149, 131, 63)]
[(-15446, -1734, -5376), (-149, 131, 63)]
[(-15446, -1734, -5376), (-149, 131, 63)]
[(-15446, -1734, -5376), (-149, 131, 63)]
[(-15437, -1722, -5385), (-162, 147, 48)]
[(-15437, -1722, -5385), (-162, 147, 48)]
[(-15437, -1722, -5385), (-162, 147, 48)]
[(-15437, -1722, -5385), (-162, 147, 48)]
[(-15456, -1710, -5360), (-153, 152, 19)]
[(-15456, -1710, -5360), (-153, 152, 19)]
[(-15456, -1710, -5360), (-153, 152, 19)]
[(-15456, -1710, -5360), (-153, 152, 19)]
[(-15456, -1710, -5360), (-153, 152, 19)]
[(-15456, -1710, -5360), (-153, 152, 19)]
[(-15456, -1710, -5360), (-153, 152, 19)]
[(-15456, -1710, -5360), (-153, 152, 19)]
[(-15456, -1710, -5360), (-153, 152, 19)]
[(-15456, -1710, -5348), (-160, 166, 26)]
[(-15456, -1710, -5348), (-160, 166, 26)]
[(-15456, -1710, -5348), (-160, 166, 26)]
[(-15460, -1705, -5349), (-157, 175, 34)]
[(-15460, -1705, -5349), (-157, 175, 34)]
[(-15460, -1705, -5349), (-157, 175, 34)]
[(-15460, -1705, -5349), (-157, 175, 34)]
[(-15460, -1705, -5349), (-157, 175, 34)]
[(-15460, -1705, -5349), (-157, 175, 34)]
[(-15459, -1716, -5376), (18, 107, 70)]
[(-15459, -1716, -5376), (18, 107, 70)]
[(-15459, -1716, -5376), (18, 107, 70)]
[(-15459, -1716, -5376), (18, 107, 70)]
[(-15459, -1716, -5376), (18, 107, 70)]
[(-15459, -1716, -5376), (18, 107, 70)]
[(-15459, -1716, -5376), (18, 107, 70)]
[(-15451, -1708, -5372), (-1, 137, 27)]
[(-15451, -1708, -5372), (-1, 137, 27)]
