[(-15540, -1682, -5296), (-119, 181, 18)]
[(-15518, -1679, -5308), (-139, 190, 0)]
[(-15518, -1679, -5308), (-139, 190, 0)]
[(-15518, -1679, -5308), (-139, 190, 0)]
[(-15518, -1679, -5308), (-139, 190, 0)]
[(-15518, -1679, -5308), (-139, 190, 0)]
[(-15532, -1667, -5304), (61, 109, 1)]
[(-15532, -1667, -5304), (61, 109, 1)]
[(-15532, -1667, -5304), (61, 109, 1)]
[(-15532, -1667, -5304), (61, 109, 1)]
[(-15532, -1667, -5304), (61, 109, 1)]
[(-15460, -1612, -5490), (-653, 130, -206)]
[(-15460, -1612, -5490), (-653, 130, -206)]
[(-15460, -1612, -5490), (-653, 130, -206)]
[(-15460, -1612, -5490), (-653, 130, -206)]
[(-15460, -1612, -5490), (-653, 130, -206)]
[(-15460, -1612, -5490), (-653, 130, -206)]
[(-15460, -1612, -5490), (-653, 130, -206)]
[(-15460, -1612, -5490), (-653, 130, -206)]
[(-15464, -1682, -5432), (-755, 213, -201)]
[(-15464, -1682, -5432), (-755, 213, -201)]
[(-15464, -1682, -5432), (-755, 213, -201)]
[(-15464, -1682, -5432), (-755, 213, -201)]
[(-15464, -1682, -5432), (-755, 213, -201)]
[(-15478, -1668, -5392), (-690, 358, -174)]
[(-15478, -1668, -5392), (-690, 358, -174)]
[(-15478, -1668, -5392), (-690, 358, -174)]
[(-15478, -1668, -5392), (-690, 358, -174)]
[(-15478, -1668, -5392), (-690, 358, -174)]
[(-15496, -1633, -5380), (-540, 312, -174)]
[(-15496, -1633, -5380), (-540, 312, -174)]
[(-15496, -1633, -5380), (-540, 312, -174)]
[(-15496, -1633, -5380), (-540, 312, -174)]
[(-15496, -1633, -5380), (-540, 312, -174)]
[(-15496, -1633, -5380), (-540, 312, -174)]
[(-15492, -1655, -5396), (-473, 290, -170)]
[(-15492, -1655, -5396), (-473, 290, -170)]
[(-15492, -1655, -5396), (-473, 290, -170)]
[(-15492, -1655, -5396), (-473, 290, -170)]
[(-15492, -1655, -5396), (-473, 290, -170)]
[(-15492, -1655, -5396), (-473, 290, -170)]
[(-15492, -1655, -5396), (-473, 290, -170)]
[(-15512, -1689, -5376), (-430, 264, -139)]
[(-15512, -1689, -5376), (-430, 264, -139)]
[(-15512, -1689, -5376), (-430, 264, -139)]
[(-15512, -1689, -5376), (-430, 264, -139)]
[(-15512, -1689, -5376), (-430, 264, -139)]
[(-15499, -1657, -5364), (-291, 189, -85)]
[(-15499, -1657, -5364), (-291, 189, -85)]
[(-15499, -1657, -5364), (-291, 189, -85)]
[(-15499, -1657, -5364), (-291, 189, -85)]
[(-15499, -1657, -5364), (-291, 189, -85)]
[(-15499, -1657, -5364), (-291, 189, -85)]
[(-15492, -1688, -5351), (-98, 161, 10)]
[(-15492, -1688, -5351), (-98, 161, 10)]
[(-15492, -1688, -5351), (-98, 161, 10)]
[(-15492, -1688, -5351), (-98, 161, 10)]
[(-15492, -1688, -5351), (-98, 161, 10)]
[(-15492, -1688, -5351), (-98, 161, 10)]
[(-15522, -1656, -5336), (-110, 181, 42)]
[(-15522, -1656, -5336), (-110, 181, 42)]
[(-15522, -1656, -5336), (-110, 181, 42)]
[(-15522, -1656, -5336), (-110, 181, 42)]
[(-15522, -1656, -5336), (-110, 181, 42)]
[(-15544, -1667, -5302), (-176, 172, 32)]
[(-15544, -1667, -5302), (-176, 172, 32)]
[(-15544, -1667, -5302), (-176, 172, 32)]
[(-15544, -1667, -5302), (-176, 172, 32)]
[(-15544, -1667, -5302), (-176, 172, 32)]
[(-15544, -1667, -5302), (-176, 172, 32)]
[(-15543, -1681, -5262), (-92, 192, 47)]
[(-15543, -1681, -5262), (-92, 192, 47)]
[(-15543, -1681, -5262), (-92, 192, 47)]
[(-15543, -1681, -5262), (-92, 192, 47)]
[(-15543, -1681, -5262), (-92, 192, 47)]
[(-15543, -1681, -5262), (-92, 192, 47)]
[(-15543, -1681, -5262), (-92, 192, 47)]
[(-15532, -1692, -5268), (-61, 208, 39)]
[(-15532, -1692, -5268), (-61, 208, 39)]
[(-15532, -1692, -5268), (-61, 208, 39)]
