[(-15619, -1541, -4819), (-145, 238, 77)]
[(-15637, -1552, -4861), (-259, 294, 97)]
[(-15605, -1568, -4948), (-193, 318, 147)]
[(-15605, -1568, -4948), (-193, 318, 147)]
[(-15605, -1568, -4948), (-193, 318, 147)]
[(-15605, -1568, -4948), (-193, 318, 147)]
[(-15605, -1568, -4948), (-193, 318, 147)]
[(-15605, -1568, -4948), (-193, 318, 147)]
[(-15588, -1552, -5076), (-203, 461, 168)]
[(-15588, -1552, -5076), (-203, 461, 168)]
[(-15588, -1552, -5076), (-203, 461, 168)]
[(-15588, -1552, -5076), (-203, 461, 168)]
[(-15588, -1552, -5076), (-203, 461, 168)]
[(-15588, -1552, -5076), (-203, 461, 168)]
[(-15588, -1552, -5076), (-203, 461, 168)]
[(-15581, -1506, -5160), (-116, 399, 58)]
[(-15581, -1506, -5160), (-116, 399, 58)]
[(-15581, -1506, -5160), (-116, 399, 58)]
[(-15581, -1506, -5160), (-116, 399, 58)]
[(-15581, -1506, -5160), (-116, 399, 58)]
[(-15580, -1529, -5228), (-171, 340, 52)]
[(-15580, -1529, -5228), (-171, 340, 52)]
[(-15580, -1529, -5228), (-171, 340, 52)]
[(-15580, -1529, -5228), (-171, 340, 52)]
[(-15580, -1529, -5228), (-171, 340, 52)]
[(-15580, -1529, -5228), (-171, 340, 52)]
[(-15570, -1500, -5224), (-53, 184, 70)]
[(-15570, -1500, -5224), (-53, 184, 70)]
[(-15570, -1500, -5224), (-53, 184, 70)]
[(-15570, -1500, -5224), (-53, 184, 70)]
[(-15570, -1500, -5224), (-53, 184, 70)]
[(-15570, -1500, -5224), (-53, 184, 70)]
[(-15570, -1500, -5224), (-53, 184, 70)]
[(-15590, -1464, -5235), (102, 158, 51)]
[(-15590, -1464, -5235), (102, 158, 51)]
[(-15590, -1464, -5235), (102, 158, 51)]
[(-15590, -1464, -5235), (102, 158, 51)]
[(-15590, -1464, -5235), (102, 158, 51)]
[(-15590, -1464, -5235), (102, 158, 51)]
[(-15580, -1444, -5286), (-121, 294, 14)]
[(-15580, -1444, -5286), (-121, 294, 14)]
[(-15580, -1444, -5286), (-121, 294, 14)]
[(-15580, -1444, -5286), (-121, 294, 14)]
[(-15580, -1444, -5286), (-121, 294, 14)]
[(-15560, -1441, -5280), (-79, 268, 22)]
[(-15560, -1441, -5280), (-79, 268, 22)]
[(-15560, -1441, -5280), (-79, 268, 22)]
[(-15560, -1441, -5280), (-79, 268, 22)]
[(-15560, -1441, -5280), (-79, 268, 22)]
[(-15560, -1441, -5280), (-79, 268, 22)]
[(-15560, -1441, -5280), (-79, 268, 22)]
[(-15551, -1461, -5311), (-117, 275, 23)]
[(-15551, -1461, -5311), (-117, 275, 23)]
[(-15551, -1461, -5311), (-117, 275, 23)]
[(-15551, -1461, -5311), (-117, 275, 23)]
[(-15551, -1461, -5311), (-117, 275, 23)]
[(-15551, -1461, -5311), (-117, 275, 23)]
[(-15548, -1490, -5300), (-105, 272, 23)]
[(-15548, -1490, -5300), (-105, 272, 23)]
[(-15548, -1490, -5300), (-105, 272, 23)]
[(-15548, -1490, -5300), (-105, 272, 23)]
[(-15548, -1490, -5300), (-105, 272, 23)]
[(-15544, -1509, -5302), (-106, 257, 1)]
[(-15544, -1509, -5302), (-106, 257, 1)]
[(-15544, -1509, -5302), (-106, 257, 1)]
[(-15544, -1509, -5302), (-106, 257, 1)]
[(-15544, -1509, -5302), (-106, 257, 1)]
[(-15544, -1509, -5302), (-106, 257, 1)]
[(-15544, -1509, -5302), (-106, 257, 1)]
[(-15547, -1521, -5296), (-86, 229, 1)]
[(-15547, -1521, -5296), (-86, 229, 1)]
[(-15547, -1521, -5296), (-86, 229, 1)]
[(-15547, -1521, -5296), (-86, 229, 1)]
[(-15547, -1521, -5296), (-86, 229, 1)]
[(-15547, -1521, -5296), (-86, 229, 1)]
[(-15524, -1525, -5313), (-38, 171, 2)]
[(-15524, -1525, -5313), (-38, 171, 2)]
[(-15524, -1525, -5313), (-38, 171, 2)]
[(-15524, -1525, -5313), (-38, 171, 2)]
[(-15524, -1525, -5313), (-38, 171, 2)]
[(-15524, -1533, -5300), (-75, 177, -14)]
[(-15524, -1533, -5300), (-75, 177, -14)]
[(-15524, -1533, -5300), (-75, 177, -14)]
[(-15524, -1533, -5300), (-75, 177, -14)]
[(-15524, -1533, -5300), (-75, 177, -14)]
[(-15524, -1533, -5300), (-75, 177, -14)]
[(-15524, -1533, -5300), (-75, 177, -14)]
[(-15538, -1505, -5270), (-136, 189, -2)]
[(-15538, -1505, -5270), (-136, 189, -2)]
[(-15538, -1505, -5270), (-136, 189, -2)]
[(-15538, -1505, -5270), (-136, 189, -2)]
[(-15538, -1505, -5270), (-136, 189, -2)]
[(-15538, -1505, -5270), (-136, 189, -2)]
[(-15536, -1514, -5277), (-119, 179, 1)]
[(-15536, -1514, -5277), (-119, 179, 1)]
[(-15536, -1514, -5277), (-119, 179, 1)]
[(-15536, -1514, -5277), (-119, 179, 1)]
[(-15536, -1514, -5277), (-119, 179, 1)]
[(-15536, -1514, -5277), (-119, 179, 1)]
[(-15554, -1532, -5257), (-115, 183, -8)]
[(-15554, -1532, -5257), (-115, 183, -8)]
[(-15554, -1532, -5257), (-115, 183, -8)]
[(-15554, -1532, -5257), (-115, 183, -8)]
[(-15554, -1532, -5257), (-115, 183, -8)]
[(-15557, -1544, -5249), (-107, 175, -6)]
[(-15557, -1544, -5249), (-107, 175, -6)]
[(-15557, -1544, -5249), (-107, 175, -6)]
[(-15557, -1544, -5249), (-107, 175, -6)]
[(-15557, -1544, -5249), (-107, 175, -6)]
[(-15557, -1544, -5249), (-107, 175, -6)]
[(-15576, -1556, -5236), (-131, 200, -6)]
[(-15576, -1556, -5236), (-131, 200, -6)]
[(-15576, -1556, -5236), (-131, 200, -6)]
[(-15576, -1556, -5236), (-131, 200, -6)]
[(-15576, -1556, -5236), (-131, 200, -6)]
[(-15589, -1552, -5265), (-91, 216, 0)]
[(-15589, -1552, -5265), (-91, 216, 0)]
[(-15589, -1552, -5265), (-91, 216, 0)]
[(-15589, -1552, -5265), (-91, 216, 0)]
[(-15589, -1552, -5265), (-91, 216, 0)]
[(-15589, -1552, -5265), (-91, 216, 0)]
[(-15589, -1552, -5265), (-91, 216, 0)]
[(-15570, -1562, -5269), (-32, 210, -4)]
