[(-15438, -1824, -5517), (-29, 169, 48)]
[(-15427, -1808, -5499), (-71, 204, 15)]
[(-15432, -1807, -5512), (-42, 215, 26)]
[(-15432, -1807, -5512), (-42, 215, 26)]
[(-15432, -1807, -5512), (-42, 215, 26)]
[(-15432, -1807, -5512), (-42, 215, 26)]
[(-15432, -1807, -5512), (-42, 215, 26)]
[(-15432, -1807, -5512), (-42, 215, 26)]
[(-15432, -1807, -5512), (-42, 215, 26)]
[(-15426, -1795, -5522), (-51, 210, 7)]
[(-15426, -1795, -5522), (-51, 210, 7)]
[(-15426, -1795, -5522), (-51, 210, 7)]
[(-15399, -1802, -5516), (-57, 180, 1)]
[(-15399, -1802, -5516), (-57, 180, 1)]
[(-15399, -1802, -5516), (-57, 180, 1)]
[(-15399, -1802, -5516), (-57, 180, 1)]
[(-15399, -1802, -5516), (-57, 180, 1)]
[(-15399, -1802, -5516), (-57, 180, 1)]
[(-15399, -1802, -5516), (-57, 180, 1)]
[(-15399, -1802, -5516), (-57, 180, 1)]
[(-15416, -1807, -5524), (-49, 168, -1)]
[(-15416, -1807, -5524), (-49, 168, -1)]
[(-15416, -1807, -5524), (-49, 168, -1)]
[(-15416, -1807, -5524), (-49, 168, -1)]
[(-15416, -1807, -5524), (-49, 168, -1)]
[(-15427, -1811, -5527), (2, 188, 1)]
[(-15427, -1811, -5527), (2, 188, 1)]
[(-15427, -1811, -5527), (2, 188, 1)]
[(-15427, -1811, -5527), (2, 188, 1)]
[(-15427, -1811, -5527), (2, 188, 1)]
[(-15401, -1856, -5506), (-107, 179, 10)]
[(-15401, -1856, -5506), (-107, 179, 10)]
[(-15401, -1856, -5506), (-107, 179, 10)]
[(-15401, -1856, -5506), (-107, 179, 10)]
[(-15401, -1856, -5506), (-107, 179, 10)]
[(-15401, -1856, -5506), (-107, 179, 10)]
[(-15401, -1856, -5506), (-107, 179, 10)]
[(-15401, -1856, -5506), (-107, 179, 10)]
[(-15404, -1846, -5516), (-78, 175, 1)]
[(-15404, -1846, -5516), (-78, 175, 1)]
[(-15404, -1846, -5516), (-78, 175, 1)]
[(-15404, -1846, -5516), (-78, 175, 1)]
[(-15404, -1846, -5516), (-78, 175, 1)]
[(-15410, -1812, -5493), (-103, 234, -4)]
[(-15410, -1812, -5493), (-103, 234, -4)]
[(-15410, -1812, -5493), (-103, 234, -4)]
[(-15410, -1812, -5493), (-103, 234, -4)]
[(-15410, -1812, -5493), (-103, 234, -4)]
[(-15520, -1883, -5452), (-119, 153, 116)]
[(-15520, -1883, -5452), (-119, 153, 116)]
[(-15520, -1883, -5452), (-119, 153, 116)]
[(-15520, -1883, -5452), (-119, 153, 116)]
[(-15520, -1883, -5452), (-119, 153, 116)]
[(-15520, -1883, -5452), (-119, 153, 116)]
[(-15520, -1883, -5452), (-119, 153, 116)]
[(-15520, -1883, -5452), (-119, 153, 116)]
[(-15507, -1872, -5452), (-129, 174, 80)]
[(-15507, -1872, -5452), (-129, 174, 80)]
[(-15507, -1872, -5452), (-129, 174, 80)]
[(-15507, -1872, -5452), (-129, 174, 80)]
[(-15507, -1872, -5452), (-129, 174, 80)]
[(-15478, -1864, -5452), (-177, 175, 48)]
[(-15478, -1864, -5452), (-177, 175, 48)]
[(-15478, -1864, -5452), (-177, 175, 48)]
[(-15478, -1864, -5452), (-177, 175, 48)]
[(-15478, -1864, -5452), (-177, 175, 48)]
[(-15473, -1841, -5491), (-192, 184, 42)]
[(-15473, -1841, -5491), (-192, 184, 42)]
[(-15473, -1841, -5491), (-192, 184, 42)]
[(-15473, -1841, -5491), (-192, 184, 42)]
[(-15473, -1841, -5491), (-192, 184, 42)]
[(-15473, -1841, -5491), (-192, 184, 42)]
[(-15473, -1841, -5491), (-192, 184, 42)]
[(-15473, -1841, -5491), (-192, 184, 42)]
[(-15456, -1850, -5472), (-8, 24, 32)]
[(-15456, -1850, -5472), (-8, 24, 32)]
[(-15456, -1850, -5472), (-8, 24, 32)]
[(-15456, -1850, -5472), (-8, 24, 32)]
[(-15456, -1850, -5472), (-8, 24, 32)]
[(-15461, -1828, -5457), (115, -19, 45)]
[(-15461, -1828, -5457), (115, -19, 45)]
[(-15461, -1828, -5457), (115, -19, 45)]
[(-15461, -1828, -5457), (115, -19, 45)]
[(-15461, -1828, -5457), (115, -19, 45)]
[(-15452, -1835, -5460), (73, -20, 14)]
[(-15452, -1835, -5460), (73, -20, 14)]
[(-15452, -1835, -5460), (73, -20, 14)]
[(-15452, -1835, -5460), (73, -20, 14)]
[(-15452, -1835, -5460), (73, -20, 14)]
[(-15452, -1835, -5460), (73, -20, 14)]
[(-15452, -1835, -5460), (73, -20, 14)]
[(-15452, -1835, -5460), (73, -20, 14)]
[(-15455, -1865, -5454), (33, 26, -7)]
[(-15455, -1865, -5454), (33, 26, -7)]
[(-15455, -1865, -5454), (33, 26, -7)]
[(-15455, -1865, -5454), (33, 26, -7)]
[(-15452, -1843, -5411), (14, 92, 26)]
[(-15452, -1843, -5411), (14, 92, 26)]
[(-15452, -1843, -5411), (14, 92, 26)]
[(-15452, -1843, -5411), (14, 92, 26)]
[(-15452, -1843, -5411), (14, 92, 26)]
[(-15454, -1830, -5393), (-5, 120, 40)]
[(-15454, -1830, -5393), (-5, 120, 40)]
[(-15454, -1830, -5393), (-5, 120, 40)]
[(-15454, -1830, -5393), (-5, 120, 40)]
[(-15454, -1830, -5393), (-5, 120, 40)]
[(-15454, -1830, -5393), (-5, 120, 40)]
[(-15454, -1830, -5393), (-5, 120, 40)]
[(-15454, -1830, -5393), (-5, 120, 40)]
[(-15456, -1822, -5440), (-37, 146, 39)]
[(-15456, -1822, -5440), (-37, 146, 39)]
[(-15456, -1822, -5440), (-37, 146, 39)]
[(-15456, -1822, -5440), (-37, 146, 39)]
[(-15456, -1822, -5440), (-37, 146, 39)]
[(-15456, -1822, -5440), (-37, 146, 39)]
[(-15456, -1822, -5440), (-37, 146, 39)]
