[(-15819, -1556, -3699), (-148, 166, -15)]
[(-15811, -1557, -3696), (-132, 155, -13)]
[(-15811, -1557, -3696), (-132, 155, -13)]
[(-15811, -1557, -3696), (-132, 155, -13)]
[(-15801, -1566, -3696), (-84, 158, -4)]
[(-15801, -1566, -3696), (-84, 158, -4)]
[(-15801, -1566, -3696), (-84, 158, -4)]
[(-15801, -1566, -3696), (-84, 158, -4)]
[(-15801, -1566, -3696), (-84, 158, -4)]
[(-15811, -1556, -3697), (130, 208, 15)]
[(-15811, -1556, -3697), (130, 208, 15)]
[(-15811, -1556, -3697), (130, 208, 15)]
[(-15811, -1556, -3697), (130, 208, 15)]
[(-15811, -1556, -3697), (130, 208, 15)]
[(-15817, -1589, -3704), (352, 217, 38)]
[(-15817, -1589, -3704), (352, 217, 38)]
[(-15817, -1589, -3704), (352, 217, 38)]
[(-15817, -1589, -3704), (352, 217, 38)]
[(-15817, -1589, -3704), (352, 217, 38)]
[(-15817, -1589, -3704), (352, 217, 38)]
[(-15817, -1589, -3704), (352, 217, 38)]
[(-15817, -1589, -3704), (352, 217, 38)]
[(-15811, -1594, -3681), (281, 264, 9)]
[(-15811, -1594, -3681), (281, 264, 9)]
[(-15811, -1594, -3681), (281, 264, 9)]
[(-15811, -1594, -3681), (281, 264, 9)]
[(-15811, -1594, -3681), (281, 264, 9)]
[(-15820, -1588, -3631), (145, 252, -13)]
[(-15820, -1588, -3631), (145, 252, -13)]
[(-15820, -1588, -3631), (145, 252, -13)]
[(-15820, -1588, -3631), (145, 252, -13)]
[(-15820, -1588, -3631), (145, 252, -13)]
[(-15824, -1603, -3636), (93, 247, 2)]
[(-15824, -1603, -3636), (93, 247, 2)]
[(-15824, -1603, -3636), (93, 247, 2)]
[(-15824, -1603, -3636), (93, 247, 2)]
[(-15824, -1603, -3636), (93, 247, 2)]
[(-15824, -1603, -3636), (93, 247, 2)]
[(-15838, -1595, -3648), (-19, 280, 5)]
[(-15838, -1595, -3648), (-19, 280, 5)]
[(-15838, -1595, -3648), (-19, 280, 5)]
[(-15838, -1595, -3648), (-19, 280, 5)]
[(-15838, -1595, -3648), (-19, 280, 5)]
[(-15838, -1595, -3648), (-19, 280, 5)]
[(-15838, -1595, -3648), (-19, 280, 5)]
[(-15853, -1578, -3640), (-204, 370, -2)]
[(-15853, -1578, -3640), (-204, 370, -2)]
