[(-15879, -1352, -3566), (-4, 98, 17)]
[(-15904, -1353, -3525), (363, 8, 55)]
[(-15886, -1364, -3496), (520, 17, 72)]
[(-15886, -1364, -3496), (520, 17, 72)]
[(-15886, -1364, -3496), (520, 17, 72)]
[(-15886, -1364, -3496), (520, 17, 72)]
[(-15886, -1364, -3496), (520, 17, 72)]
[(-15869, -1367, -3490), (401, 124, 82)]
[(-15869, -1367, -3490), (401, 124, 82)]
[(-15869, -1367, -3490), (401, 124, 82)]
[(-15869, -1367, -3490), (401, 124, 82)]
[(-15869, -1367, -3490), (401, 124, 82)]
[(-15869, -1367, -3490), (401, 124, 82)]
[(-15924, -1421, -3484), (241, 116, 128)]
[(-15924, -1421, -3484), (241, 116, 128)]
[(-15924, -1421, -3484), (241, 116, 128)]
[(-15924, -1421, -3484), (241, 116, 128)]
[(-15924, -1421, -3484), (241, 116, 128)]
[(-15902, -1428, -3513), (189, 147, 89)]
[(-15902, -1428, -3513), (189, 147, 89)]
[(-15902, -1428, -3513), (189, 147, 89)]
[(-15902, -1428, -3513), (189, 147, 89)]
[(-15902, -1428, -3513), (189, 147, 89)]
[(-15902, -1428, -3513), (189, 147, 89)]
[(-15902, -1428, -3513), (189, 147, 89)]
[(-15908, -1421, -3552), (-92, 173, 58)]
[(-15908, -1421, -3552), (-92, 173, 58)]
[(-15908, -1421, -3552), (-92, 173, 58)]
[(-15908, -1421, -3552), (-92, 173, 58)]
[(-15908, -1421, -3552), (-92, 173, 58)]
[(-15908, -1421, -3552), (-92, 173, 58)]
[(-15908, -1439, -3599), (-252, 294, 17)]
[(-15908, -1439, -3599), (-252, 294, 17)]
[(-15908, -1439, -3599), (-252, 294, 17)]
[(-15908, -1439, -3599), (-252, 294, 17)]
[(-15908, -1439, -3599), (-252, 294, 17)]
[(-15889, -1404, -3645), (-419, 264, 19)]
[(-15889, -1404, -3645), (-419, 264, 19)]
[(-15889, -1404, -3645), (-419, 264, 19)]
[(-15889, -1404, -3645), (-419, 264, 19)]
[(-15889, -1404, -3645), (-419, 264, 19)]
[(-15889, -1404, -3645), (-419, 264, 19)]
[(-15889, -1404, -3645), (-419, 264, 19)]
[(-15903, -1383, -3656), (-569, 255, -46)]
