[(-15856, -1354, -3572), (-81, 169, -10)]
[(-15890, -1355, -3535), (18, 149, -27)]
[(-15897, -1368, -3534), (72, 144, -39)]
[(-15897, -1368, -3534), (72, 144, -39)]
[(-15897, -1368, -3534), (72, 144, -39)]
[(-15897, -1368, -3534), (72, 144, -39)]
[(-15897, -1368, -3534), (72, 144, -39)]
[(-15897, -1368, -3534), (72, 144, -39)]
[(-15897, -1368, -3534), (72, 144, -39)]
[(-15872, -1356, -3543), (64, 198, -14)]
[(-15872, -1356, -3543), (64, 198, -14)]
[(-15872, -1356, -3543), (64, 198, -14)]
[(-15872, -1356, -3543), (64, 198, -14)]
[(-15872, -1356, -3543), (64, 198, -14)]
[(-15872, -1356, -3543), (64, 198, -14)]
[(-15859, -1408, -3495), (125, 111, 30)]
[(-15859, -1408, -3495), (125, 111, 30)]
[(-15859, -1408, -3495), (125, 111, 30)]
[(-15859, -1408, -3495), (125, 111, 30)]
[(-15859, -1408, -3495), (125, 111, 30)]
[(-15858, -1430, -3524), (119, 98, 19)]
[(-15858, -1430, -3524), (119, 98, 19)]
[(-15858, -1430, -3524), (119, 98, 19)]
[(-15858, -1430, -3524), (119, 98, 19)]
[(-15858, -1430, -3524), (119, 98, 19)]
[(-15858, -1430, -3524), (119, 98, 19)]
[(-15858, -1430, -3524), (119, 98, 19)]
[(-15904, -1433, -3503), (295, 76, 51)]
[(-15904, -1433, -3503), (295, 76, 51)]
[(-15904, -1433, -3503), (295, 76, 51)]
[(-15904, -1433, -3503), (295, 76, 51)]
[(-15904, -1433, -3503), (295, 76, 51)]
[(-15904, -1433, -3503), (295, 76, 51)]
[(-15884, -1445, -3495), (443, 43, 54)]
[(-15884, -1445, -3495), (443, 43, 54)]
[(-15884, -1445, -3495), (443, 43, 54)]
[(-15884, -1445, -3495), (443, 43, 54)]
[(-15884, -1445, -3495), (443, 43, 54)]
[(-15860, -1428, -3477), (362, 62, 43)]
[(-15860, -1428, -3477), (362, 62, 43)]
[(-15860, -1428, -3477), (362, 62, 43)]
[(-15860, -1428, -3477), (362, 62, 43)]
[(-15860, -1428, -3477), (362, 62, 43)]
[(-15860, -1428, -3477), (362, 62, 43)]
[(-15860, -1428, -3477), (362, 62, 43)]
[(-15869, -1448, -3445), (294, 88, 30)]
[(-15869, -1448, -3445), (294, 88, 30)]
[(-15869, -1448, -3445), (294, 88, 30)]
[(-15869, -1448, -3445), (294, 88, 30)]
[(-15869, -1448, -3445), (294, 88, 30)]
[(-15869, -1448, -3445), (294, 88, 30)]
[(-15860, -1425, -3456), (193, 84, 36)]
[(-15860, -1425, -3456), (193, 84, 36)]
[(-15860, -1425, -3456), (193, 84, 36)]
[(-15860, -1425, -3456), (193, 84, 36)]
[(-15860, -1425, -3456), (193, 84, 36)]
[(-15812, -1451, -3480), (113, 114, 32)]
[(-15812, -1451, -3480), (113, 114, 32)]
[(-15812, -1451, -3480), (113, 114, 32)]
[(-15812, -1451, -3480), (113, 114, 32)]
[(-15812, -1451, -3480), (113, 114, 32)]
[(-15812, -1451, -3480), (113, 114, 32)]
[(-15812, -1451, -3480), (113, 114, 32)]
[(-15829, -1460, -3498), (109, 160, 29)]
[(-15829, -1460, -3498), (109, 160, 29)]
[(-15829, -1460, -3498), (109, 160, 29)]
[(-15829, -1460, -3498), (109, 160, 29)]
[(-15829, -1460, -3498), (109, 160, 29)]
[(-15829, -1460, -3498), (109, 160, 29)]
[(-15820, -1460, -3488), (80, 192, -3)]
[(-15820, -1460, -3488), (80, 192, -3)]
[(-15820, -1460, -3488), (80, 192, -3)]
[(-15820, -1460, -3488), (80, 192, -3)]
[(-15820, -1460, -3488), (80, 192, -3)]
[(-15804, -1448, -3466), (33, 195, 12)]
[(-15804, -1448, -3466), (33, 195, 12)]
[(-15804, -1448, -3466), (33, 195, 12)]
[(-15804, -1448, -3466), (33, 195, 12)]
[(-15804, -1448, -3466), (33, 195, 12)]
[(-15804, -1448, -3466), (33, 195, 12)]
[(-15804, -1448, -3466), (33, 195, 12)]
[(-15818, -1433, -3489), (-10, 211, 20)]
[(-15818, -1433, -3489), (-10, 211, 20)]
[(-15818, -1433, -3489), (-10, 211, 20)]
[(-15818, -1433, -3489), (-10, 211, 20)]
[(-15818, -1433, -3489), (-10, 211, 20)]
[(-15818, -1433, -3489), (-10, 211, 20)]
[(-15844, -1383, -3504), (18, 240, 9)]
