[(-15824, -1674, -3682), (180, 125, 53)]
[(-15814, -1692, -3718), (135, 106, 34)]
[(-15814, -1692, -3718), (135, 106, 34)]
[(-15814, -1692, -3718), (135, 106, 34)]
[(-15814, -1692, -3718), (135, 106, 34)]
[(-15804, -1692, -3699), (76, 127, 9)]
[(-15804, -1692, -3699), (76, 127, 9)]
[(-15804, -1692, -3699), (76, 127, 9)]
[(-15804, -1692, -3699), (76, 127, 9)]
[(-15804, -1692, -3699), (76, 127, 9)]
[(-15804, -1692, -3699), (76, 127, 9)]
[(-15789, -1693, -3704), (0, 179, 15)]
[(-15789, -1693, -3704), (0, 179, 15)]
[(-15789, -1693, -3704), (0, 179, 15)]
[(-15789, -1693, -3704), (0, 179, 15)]
[(-15789, -1693, -3704), (0, 179, 15)]
[(-15789, -1693, -3704), (0, 179, 15)]
[(-15789, -1693, -3704), (0, 179, 15)]
[(-15790, -1687, -3695), (-181, 274, 18)]
[(-15790, -1687, -3695), (-181, 274, 18)]
[(-15790, -1687, -3695), (-181, 274, 18)]
[(-15790, -1687, -3695), (-181, 274, 18)]
[(-15790, -1687, -3695), (-181, 274, 18)]
[(-15790, -1687, -3695), (-181, 274, 18)]
[(-15790, -1687, -3695), (-181, 274, 18)]
[(-15784, -1696, -3738), (-221, 315, 29)]
[(-15784, -1696, -3738), (-221, 315, 29)]
[(-15784, -1696, -3738), (-221, 315, 29)]
[(-15784, -1696, -3738), (-221, 315, 29)]
[(-15784, -1696, -3738), (-221, 315, 29)]
[(-15784, -1696, -3738), (-221, 315, 29)]
[(-15784, -1696, -3738), (-221, 315, 29)]
[(-15776, -1681, -3774), (-353, 278, 19)]
[(-15776, -1681, -3774), (-353, 278, 19)]
[(-15776, -1681, -3774), (-353, 278, 19)]
[(-15776, -1681, -3774), (-353, 278, 19)]
[(-15832, -1745, -3878), (-492, 231, 40)]
[(-15832, -1745, -3878), (-492, 231, 40)]
[(-15832, -1745, -3878), (-492, 231, 40)]
[(-15832, -1745, -3878), (-492, 231, 40)]
[(-15832, -1745, -3878), (-492, 231, 40)]
[(-15832, -1745, -3878), (-492, 231, 40)]
[(-15832, -1745, -3878), (-492, 231, 40)]
[(-15832, -1745, -3878), (-492, 231, 40)]
[(-15832, -1745, -3878), (-492, 231, 40)]
[(-15840, -1701, -3874), (-478, 181, 38)]
[(-15840, -1701, -3874), (-478, 181, 38)]
[(-15774, -1705, -3892), (-369, 139, 72)]
[(-15774, -1705, -3892), (-369, 139, 72)]
[(-15774, -1705, -3892), (-369, 139, 72)]
[(-15774, -1705, -3892), (-369, 139, 72)]
[(-15774, -1705, -3892), (-369, 139, 72)]
[(-15774, -1705, -3892), (-369, 139, 72)]
[(-15774, -1705, -3892), (-369, 139, 72)]
[(-15760, -1666, -3916), (-194, 127, 1)]
[(-15760, -1666, -3916), (-194, 127, 1)]
[(-15760, -1666, -3916), (-194, 127, 1)]
[(-15760, -1666, -3916), (-194, 127, 1)]
[(-15760, -1666, -3916), (-194, 127, 1)]
[(-15747, -1682, -3928), (-134, 103, -76)]
[(-15747, -1682, -3928), (-134, 103, -76)]
[(-15747, -1682, -3928), (-134, 103, -76)]
[(-15747, -1682, -3928), (-134, 103, -76)]
[(-15747, -1682, -3928), (-134, 103, -76)]
[(-15747, -1682, -3928), (-134, 103, -76)]
[(-15763, -1744, -3908), (-118, 117, -67)]
[(-15763, -1744, -3908), (-118, 117, -67)]
[(-15763, -1744, -3908), (-118, 117, -67)]
[(-15763, -1744, -3908), (-118, 117, -67)]
[(-15763, -1744, -3908), (-118, 117, -67)]
[(-15763, -1744, -3908), (-118, 117, -67)]
[(-15763, -1744, -3908), (-118, 117, -67)]
[(-15756, -1761, -3870), (-167, 114, -33)]
[(-15756, -1761, -3870), (-167, 114, -33)]
[(-15756, -1761, -3870), (-167, 114, -33)]
[(-15756, -1761, -3870), (-167, 114, -33)]
[(-15756, -1761, -3870), (-167, 114, -33)]
[(-15743, -1765, -3829), (-180, 109, -6)]
[(-15743, -1765, -3829), (-180, 109, -6)]
[(-15743, -1765, -3829), (-180, 109, -6)]
[(-15743, -1765, -3829), (-180, 109, -6)]
[(-15743, -1765, -3829), (-180, 109, -6)]
[(-15743, -1765, -3829), (-180, 109, -6)]
[(-15743, -1772, -3819), (-61, 46, -9)]
[(-15743, -1772, -3819), (-61, 46, -9)]
[(-15743, -1772, -3819), (-61, 46, -9)]
[(-15743, -1772, -3819), (-61, 46, -9)]
[(-15743, -1772, -3819), (-61, 46, -9)]
[(-15691, -1705, -3866), (-280, 82, -222)]
[(-15691, -1705, -3866), (-280, 82, -222)]
[(-15691, -1705, -3866), (-280, 82, -222)]
[(-15691, -1705, -3866), (-280, 82, -222)]
[(-15691, -1705, -3866), (-280, 82, -222)]
[(-15691, -1705, -3866), (-280, 82, -222)]
[(-15691, -1705, -3866), (-280, 82, -222)]
[(-15691, -1851, -3839), (-627, 131, -390)]
[(-15691, -1851, -3839), (-627, 131, -390)]
[(-15691, -1851, -3839), (-627, 131, -390)]
[(-15691, -1851, -3839), (-627, 131, -390)]
[(-15691, -1851, -3839), (-627, 131, -390)]
[(-15691, -1851, -3839), (-627, 131, -390)]
[(-15712, -1908, -3787), (-917, 86, -463)]
[(-15712, -1908, -3787), (-917, 86, -463)]
[(-15712, -1908, -3787), (-917, 86, -463)]
[(-15712, -1908, -3787), (-917, 86, -463)]
[(-15713, -1970, -3844), (-964, 186, -440)]
[(-15713, -1970, -3844), (-964, 186, -440)]
[(-15713, -1970, -3844), (-964, 186, -440)]
[(-15713, -1970, -3844), (-964, 186, -440)]
[(-15713, -1970, -3844), (-964, 186, -440)]
[(-15713, -1970, -3844), (-964, 186, -440)]
[(-15713, -1970, -3844), (-964, 186, -440)]
[(-15689, -2000, -3896), (-905, 182, -456)]
[(-15689, -2000, -3896), (-905, 182, -456)]
[(-15689, -2000, -3896), (-905, 182, -456)]
[(-15689, -2000, -3896), (-905, 182, -456)]
[(-15689, -2000, -3896), (-905, 182, -456)]
[(-15689, -2000, -3896), (-905, 182, -456)]
[(-15656, -2093, -3924), (-858, 193, -624)]
[(-15656, -2093, -3924), (-858, 193, -624)]
[(-15656, -2093, -3924), (-858, 193, -624)]
[(-15656, -2093, -3924), (-858, 193, -624)]
[(-15656, -2093, -3924), (-858, 193, -624)]
[(-15653, -2208, -3944), (-845, 283, -674)]
[(-15653, -2208, -3944), (-845, 283, -674)]
[(-15653, -2208, -3944), (-845, 283, -674)]
[(-15653, -2208, -3944), (-845, 283, -674)]
[(-15653, -2208, -3944), (-845, 283, -674)]
