[(-15976, -575, -3058), (278, 69, 68)]
[(-15985, -580, -3038), (182, 124, 39)]
[(-15985, -580, -3038), (182, 124, 39)]
[(-15985, -580, -3038), (182, 124, 39)]
[(-15981, -573, -3040), (183, 186, -6)]
[(-15981, -573, -3040), (183, 186, -6)]
[(-15981, -573, -3040), (183, 186, -6)]
[(-15981, -573, -3040), (183, 186, -6)]
[(-15981, -573, -3040), (183, 186, -6)]
[(-15981, -588, -3063), (73, 228, -36)]
[(-15981, -588, -3063), (73, 228, -36)]
[(-15981, -588, -3063), (73, 228, -36)]
[(-15981, -588, -3063), (73, 228, -36)]
[(-15981, -588, -3063), (73, 228, -36)]
[(-15981, -588, -3063), (73, 228, -36)]
[(-15978, -584, -3098), (-91, 248, -54)]
[(-15978, -584, -3098), (-91, 248, -54)]
[(-15978, -584, -3098), (-91, 248, -54)]
[(-15978, -584, -3098), (-91, 248, -54)]
[(-15978, -584, -3098), (-91, 248, -54)]
[(-15978, -584, -3098), (-91, 248, -54)]
[(-15978, -584, -3098), (-91, 248, -54)]
[(-15921, -590, -3131), (-259, 325, -69)]
[(-15921, -590, -3131), (-259, 325, -69)]
[(-15921, -590, -3131), (-259, 325, -69)]
[(-15921, -590, -3131), (-259, 325, -69)]
[(-15921, -590, -3131), (-259, 325, -69)]
[(-15917, -604, -3196), (-417, 316, -68)]
[(-15917, -604, -3196), (-417, 316, -68)]
[(-15917, -604, -3196), (-417, 316, -68)]
[(-15917, -604, -3196), (-417, 316, -68)]
[(-15917, -604, -3196), (-417, 316, -68)]
[(-15917, -604, -3196), (-417, 316, -68)]
[(-15970, -702, -3252), (-520, 378, -50)]
[(-15970, -702, -3252), (-520, 378, -50)]
[(-15970, -702, -3252), (-520, 378, -50)]
[(-15970, -702, -3252), (-520, 378, -50)]
[(-15970, -702, -3252), (-520, 378, -50)]
[(-15970, -702, -3252), (-520, 378, -50)]
[(-15970, -702, -3252), (-520, 378, -50)]
[(-15942, -702, -3327), (-580, 388, -109)]
[(-15942, -702, -3327), (-580, 388, -109)]
[(-15942, -702, -3327), (-580, 388, -109)]
[(-15942, -702, -3327), (-580, 388, -109)]
[(-15942, -702, -3327), (-580, 388, -109)]
[(-15943, -710, -3343), (-636, 325, -115)]
[(-15943, -710, -3343), (-636, 325, -115)]
[(-15943, -710, -3343), (-636, 325, -115)]
[(-15943, -710, -3343), (-636, 325, -115)]
[(-15943, -710, -3343), (-636, 325, -115)]
[(-15943, -710, -3343), (-636, 325, -115)]
[(-15959, -721, -3358), (-646, 254, -120)]
[(-15959, -721, -3358), (-646, 254, -120)]
[(-15959, -721, -3358), (-646, 254, -120)]
[(-15959, -721, -3358), (-646, 254, -120)]
[(-15959, -721, -3358), (-646, 254, -120)]
[(-15959, -721, -3358), (-646, 254, -120)]
[(-15959, -721, -3358), (-646, 254, -120)]
[(-15955, -709, -3373), (-633, 211, -109)]
[(-15955, -709, -3373), (-633, 211, -109)]
[(-15955, -709, -3373), (-633, 211, -109)]
[(-15955, -709, -3373), (-633, 211, -109)]
[(-15955, -709, -3373), (-633, 211, -109)]
[(-15930, -722, -3353), (-397, 149, -104)]
[(-15930, -722, -3353), (-397, 149, -104)]
[(-15930, -722, -3353), (-397, 149, -104)]
[(-15930, -722, -3353), (-397, 149, -104)]
