[(-15604, -447, -5045), (-135, 201, -37)]
[(-15632, -459, -5067), (-84, 193, -19)]
[(-15638, -460, -5056), (89, 190, -23)]
[(-15638, -460, -5056), (89, 190, -23)]
[(-15638, -460, -5056), (89, 190, -23)]
[(-15638, -460, -5056), (89, 190, -23)]
[(-15638, -460, -5056), (89, 190, -23)]
[(-15638, -460, -5056), (89, 190, -23)]
[(-15633, -464, -5057), (435, 5, -87)]
[(-15633, -464, -5057), (435, 5, -87)]
[(-15633, -464, -5057), (435, 5, -87)]
[(-15633, -464, -5057), (435, 5, -87)]
[(-15633, -464, -5057), (435, 5, -87)]
[(-15633, -464, -5057), (435, 5, -87)]
[(-15633, -464, -5057), (435, 5, -87)]
[(-15643, -472, -4996), (427, 125, -62)]
[(-15643, -472, -4996), (427, 125, -62)]
[(-15643, -472, -4996), (427, 125, -62)]
[(-15643, -472, -4996), (427, 125, -62)]
[(-15643, -472, -4996), (427, 125, -62)]
[(-15648, -491, -5015), (164, 338, -83)]
[(-15648, -491, -5015), (164, 338, -83)]
[(-15648, -491, -5015), (164, 338, -83)]
[(-15648, -491, -5015), (164, 338, -83)]
[(-15648, -491, -5015), (164, 338, -83)]
[(-15648, -491, -5015), (164, 338, -83)]
[(-15632, -511, -5009), (75, 277, -66)]
[(-15632, -511, -5009), (75, 277, -66)]
[(-15632, -511, -5009), (75, 277, -66)]
[(-15632, -511, -5009), (75, 277, -66)]
[(-15632, -511, -5009), (75, 277, -66)]
[(-15632, -511, -5009), (75, 277, -66)]
[(-15632, -511, -5009), (75, 277, -66)]
[(-15620, -524, -5043), (42, 202, -54)]
[(-15620, -524, -5043), (42, 202, -54)]
[(-15620, -524, -5043), (42, 202, -54)]
[(-15620, -524, -5043), (42, 202, -54)]
[(-15620, -524, -5043), (42, 202, -54)]
[(-15636, -529, -5044), (-38, 186, -26)]
[(-15636, -529, -5044), (-38, 186, -26)]
[(-15636, -529, -5044), (-38, 186, -26)]
[(-15636, -529, -5044), (-38, 186, -26)]
[(-15636, -529, -5044), (-38, 186, -26)]
[(-15636, -529, -5044), (-38, 186, -26)]
[(-15622, -544, -5057), (-95, 166, 1)]
[(-15622, -544, -5057), (-95, 166, 1)]
[(-15622, -544, -5057), (-95, 166, 1)]
[(-15622, -544, -5057), (-95, 166, 1)]
[(-15622, -544, -5057), (-95, 166, 1)]
[(-15622, -544, -5057), (-95, 166, 1)]
[(-15622, -544, -5057), (-95, 166, 1)]
[(-15596, -538, -5066), (-83, 175, 4)]
[(-15596, -538, -5066), (-83, 175, 4)]
[(-15596, -538, -5066), (-83, 175, 4)]
[(-15596, -538, -5066), (-83, 175, 4)]
[(-15596, -538, -5066), (-83, 175, 4)]
[(-15622, -556, -5060), (-113, 169, 10)]
[(-15622, -556, -5060), (-113, 169, 10)]
[(-15622, -556, -5060), (-113, 169, 10)]
[(-15622, -556, -5060), (-113, 169, 10)]
[(-15622, -556, -5060), (-113, 169, 10)]
[(-15622, -556, -5060), (-113, 169, 10)]
[(-15616, -540, -5048), (-278, 106, 7)]
[(-15616, -540, -5048), (-278, 106, 7)]
[(-15616, -540, -5048), (-278, 106, 7)]
[(-15616, -540, -5048), (-278, 106, 7)]
[(-15616, -540, -5048), (-278, 106, 7)]
[(-15616, -540, -5048), (-278, 106, 7)]
[(-15628, -527, -5046), (-447, 144, 14)]
[(-15628, -527, -5046), (-447, 144, 14)]
[(-15628, -527, -5046), (-447, 144, 14)]
[(-15628, -527, -5046), (-447, 144, 14)]
[(-15628, -527, -5046), (-447, 144, 14)]
[(-15644, -508, -5049), (-496, 157, 2)]
[(-15644, -508, -5049), (-496, 157, 2)]
[(-15644, -508, -5049), (-496, 157, 2)]
[(-15644, -508, -5049), (-496, 157, 2)]
[(-15644, -508, -5049), (-496, 157, 2)]
[(-15644, -508, -5049), (-496, 157, 2)]
[(-15629, -489, -5039), (-404, 161, -1)]
[(-15629, -489, -5039), (-404, 161, -1)]
[(-15629, -489, -5039), (-404, 161, -1)]
[(-15629, -489, -5039), (-404, 161, -1)]
[(-15629, -489, -5039), (-404, 161, -1)]
[(-15640, -484, -5008), (-387, 171, 13)]
[(-15640, -484, -5008), (-387, 171, 13)]
[(-15640, -484, -5008), (-387, 171, 13)]
[(-15640, -484, -5008), (-387, 171, 13)]
