[(-15659, -416, -5098), (-101, 154, 28)]
[(-15668, -408, -5062), (-7, 154, 14)]
[(-15668, -408, -5062), (-7, 154, 14)]
[(-15681, -410, -5009), (-30, 146, 16)]
[(-15681, -410, -5009), (-30, 146, 16)]
[(-15681, -410, -5009), (-30, 146, 16)]
[(-15681, -410, -5009), (-30, 146, 16)]
[(-15681, -410, -5009), (-30, 146, 16)]
[(-15681, -410, -5009), (-30, 146, 16)]
[(-15658, -410, -5024), (28, 114, 43)]
[(-15658, -410, -5024), (28, 114, 43)]
[(-15658, -410, -5024), (28, 114, 43)]
[(-15658, -410, -5024), (28, 114, 43)]
[(-15658, -410, -5024), (28, 114, 43)]
[(-15662, -417, -4968), (469, -35, 99)]
[(-15662, -417, -4968), (469, -35, 99)]
[(-15662, -417, -4968), (469, -35, 99)]
[(-15662, -417, -4968), (469, -35, 99)]
[(-15662, -417, -4968), (469, -35, 99)]
[(-15662, -417, -4968), (469, -35, 99)]
[(-15662, -417, -4968), (469, -35, 99)]
[(-15664, -412, -4968), (540, -3, 111)]
[(-15664, -412, -4968), (540, -3, 111)]
[(-15664, -412, -4968), (540, -3, 111)]
[(-15664, -412, -4968), (540, -3, 111)]
[(-15664, -412, -4968), (540, -3, 111)]
[(-15664, -412, -4968), (540, -3, 111)]
[(-15632, -450, -4935), (462, 95, 98)]
[(-15632, -450, -4935), (462, 95, 98)]
[(-15632, -450, -4935), (462, 95, 98)]
[(-15632, -450, -4935), (462, 95, 98)]
[(-15632, -450, -4935), (462, 95, 98)]
[(-15636, -466, -5014), (89, 391, 44)]
[(-15636, -466, -5014), (89, 391, 44)]
[(-15636, -466, -5014), (89, 391, 44)]
[(-15636, -466, -5014), (89, 391, 44)]
[(-15636, -466, -5014), (89, 391, 44)]
[(-15636, -466, -5014), (89, 391, 44)]
[(-15636, -466, -5014), (89, 391, 44)]
[(-15624, -472, -5012), (-19, 297, 44)]
[(-15624, -472, -5012), (-19, 297, 44)]
[(-15624, -472, -5012), (-19, 297, 44)]
[(-15624, -472, -5012), (-19, 297, 44)]
[(-15624, -472, -5012), (-19, 297, 44)]
[(-15624, -472, -5012), (-19, 297, 44)]
[(-15643, -456, -5012), (25, 244, 20)]
[(-15643, -456, -5012), (25, 244, 20)]
[(-15643, -456, -5012), (25, 244, 20)]
[(-15643, -456, -5012), (25, 244, 20)]
[(-15643, -456, -5012), (25, 244, 20)]
[(-15644, -428, -4963), (-34, 120, 36)]
[(-15644, -428, -4963), (-34, 120, 36)]
[(-15644, -428, -4963), (-34, 120, 36)]
[(-15644, -428, -4963), (-34, 120, 36)]
[(-15644, -428, -4963), (-34, 120, 36)]
[(-15644, -428, -4963), (-34, 120, 36)]
[(-15644, -428, -4963), (-34, 120, 36)]
[(-15633, -424, -4988), (-360, 165, -3)]
[(-15633, -424, -4988), (-360, 165, -3)]
[(-15633, -424, -4988), (-360, 165, -3)]
[(-15633, -424, -4988), (-360, 165, -3)]
[(-15633, -424, -4988), (-360, 165, -3)]
[(-15633, -424, -4988), (-360, 165, -3)]
[(-15637, -440, -4981), (-353, 183, 11)]
[(-15637, -440, -4981), (-353, 183, 11)]
[(-15637, -440, -4981), (-353, 183, 11)]
[(-15637, -440, -4981), (-353, 183, 11)]
[(-15637, -440, -4981), (-353, 183, 11)]
[(-15637, -440, -4981), (-353, 183, 11)]
[(-15637, -440, -4981), (-353, 183, 11)]
[(-15647, -410, -4988), (-353, 191, 0)]
[(-15647, -410, -4988), (-353, 191, 0)]
[(-15647, -410, -4988), (-353, 191, 0)]
[(-15640, -413, -4973), (-345, 210, -32)]
[(-15640, -413, -4973), (-345, 210, -32)]
[(-15640, -413, -4973), (-345, 210, -32)]
[(-15640, -413, -4973), (-345, 210, -32)]
[(-15640, -413, -4973), (-345, 210, -32)]
[(-15640, -413, -4973), (-345, 210, -32)]
[(-15640, -413, -4973), (-345, 210, -32)]
[(-15640, -413, -4973), (-345, 210, -32)]
[(-15640, -413, -4973), (-345, 210, -32)]
[(-15657, -411, -4968), (-269, 228, -23)]
[(-15657, -411, -4968), (-269, 228, -23)]
[(-15657, -411, -4968), (-269, 228, -23)]
[(-15657, -411, -4968), (-269, 228, -23)]
[(-15678, -403, -4978), (-285, 225, -31)]
[(-15678, -403, -4978), (-285, 225, -31)]
[(-15678, -403, -4978), (-285, 225, -31)]
[(-15678, -403, -4978), (-285, 225, -31)]
[(-15678, -403, -4978), (-285, 225, -31)]
[(-15678, -391, -4995), (-168, 217, -30)]
[(-15678, -391, -4995), (-168, 217, -30)]
[(-15678, -391, -4995), (-168, 217, -30)]
[(-15678, -391, -4995), (-168, 217, -30)]
[(-15678, -391, -4995), (-168, 217, -30)]
[(-15678, -391, -4995), (-168, 217, -30)]
[(-15678, -391, -4995), (-168, 217, -30)]
[(-15678, -386, -4999), (-228, 194, -24)]
[(-15678, -386, -4999), (-228, 194, -24)]
[(-15678, -386, -4999), (-228, 194, -24)]
[(-15678, -386, -4999), (-228, 194, -24)]
[(-15678, -386, -4999), (-228, 194, -24)]
[(-15693, -379, -4988), (-203, 196, -14)]
[(-15693, -379, -4988), (-203, 196, -14)]
[(-15693, -379, -4988), (-203, 196, -14)]
[(-15693, -379, -4988), (-203, 196, -14)]
[(-15693, -379, -4988), (-203, 196, -14)]
[(-15688, -404, -4988), (-150, 173, -33)]
[(-15688, -404, -4988), (-150, 173, -33)]
[(-15688, -404, -4988), (-150, 173, -33)]
[(-15688, -404, -4988), (-150, 173, -33)]
[(-15688, -404, -4988), (-150, 173, -33)]
[(-15688, -404, -4988), (-150, 173, -33)]
[(-15688, -404, -4988), (-150, 173, -33)]
