[(-15657, -342, -5071), (5, 160, 31)]
[(-15651, -343, -5059), (203, 45, 2)]
[(-15651, -343, -5059), (203, 45, 2)]
[(-15651, -343, -5059), (203, 45, 2)]
[(-15651, -343, -5059), (203, 45, 2)]
[(-15651, -343, -5059), (203, 45, 2)]
[(-15642, -364, -5035), (512, -71, -10)]
[(-15642, -364, -5035), (512, -71, -10)]
[(-15642, -364, -5035), (512, -71, -10)]
[(-15642, -364, -5035), (512, -71, -10)]
[(-15642, -364, -5035), (512, -71, -10)]
[(-15642, -364, -5035), (512, -71, -10)]
[(-15619, -388, -4973), (501, 86, 4)]
[(-15619, -388, -4973), (501, 86, 4)]
[(-15619, -388, -4973), (501, 86, 4)]
[(-15619, -388, -4973), (501, 86, 4)]
[(-15619, -388, -4973), (501, 86, 4)]
[(-15610, -412, -5008), (99, 322, -9)]
[(-15610, -412, -5008), (99, 322, -9)]
[(-15610, -412, -5008), (99, 322, -9)]
[(-15610, -412, -5008), (99, 322, -9)]
[(-15610, -412, -5008), (99, 322, -9)]
[(-15610, -412, -5008), (99, 322, -9)]
[(-15610, -412, -5008), (99, 322, -9)]
[(-15589, -417, -5001), (50, 263, -6)]
[(-15589, -417, -5001), (50, 263, -6)]
[(-15589, -417, -5001), (50, 263, -6)]
[(-15589, -417, -5001), (50, 263, -6)]
[(-15589, -417, -5001), (50, 263, -6)]
[(-15589, -417, -5001), (50, 263, -6)]
[(-15589, -417, -5001), (50, 263, -6)]
[(-15589, -417, -5001), (50, 263, -6)]
[(-15589, -417, -5001), (50, 263, -6)]
[(-15581, -412, -4996), (-10, 232, 4)]
[(-15581, -412, -4996), (-10, 232, 4)]
[(-15613, -382, -4944), (-113, 123, 11)]
[(-15613, -382, -4944), (-113, 123, 11)]
[(-15613, -382, -4944), (-113, 123, 11)]
[(-15613, -382, -4944), (-113, 123, 11)]
[(-15613, -382, -4944), (-113, 123, 11)]
[(-15613, -382, -4944), (-113, 123, 11)]
[(-15613, -382, -4944), (-113, 123, 11)]
[(-15631, -424, -4949), (-452, 199, 10)]
[(-15631, -424, -4949), (-452, 199, 10)]
[(-15631, -424, -4949), (-452, 199, 10)]
[(-15631, -424, -4949), (-452, 199, 10)]
[(-15631, -424, -4949), (-452, 199, 10)]
[(-15631, -424, -4949), (-452, 199, 10)]
[(-15611, -432, -4983), (-393, 158, 10)]
[(-15611, -432, -4983), (-393, 158, 10)]
[(-15611, -432, -4983), (-393, 158, 10)]
[(-15611, -432, -4983), (-393, 158, 10)]
[(-15611, -432, -4983), (-393, 158, 10)]
[(-15611, -432, -4983), (-393, 158, 10)]
[(-15611, -432, -4983), (-393, 158, 10)]
[(-15616, -387, -5001), (-400, 126, 25)]
[(-15616, -387, -5001), (-400, 126, 25)]
[(-15616, -387, -5001), (-400, 126, 25)]
[(-15616, -387, -5001), (-400, 126, 25)]
[(-15616, -387, -5001), (-400, 126, 25)]
[(-15628, -397, -5010), (-354, 167, 28)]
[(-15628, -397, -5010), (-354, 167, 28)]
[(-15628, -397, -5010), (-354, 167, 28)]
[(-15628, -397, -5010), (-354, 167, 28)]
[(-15628, -397, -5010), (-354, 167, 28)]
[(-15628, -397, -5010), (-354, 167, 28)]
[(-15620, -381, -5006), (-320, 174, 32)]
[(-15620, -381, -5006), (-320, 174, 32)]
[(-15620, -381, -5006), (-320, 174, 32)]
[(-15620, -381, -5006), (-320, 174, 32)]
[(-15620, -381, -5006), (-320, 174, 32)]
[(-15640, -372, -4988), (-247, 155, 4)]
[(-15640, -372, -4988), (-247, 155, 4)]
[(-15640, -372, -4988), (-247, 155, 4)]
[(-15640, -372, -4988), (-247, 155, 4)]
[(-15640, -372, -4988), (-247, 155, 4)]
[(-15640, -372, -4988), (-247, 155, 4)]
[(-15631, -396, -4996), (-206, 157, -14)]
[(-15631, -396, -4996), (-206, 157, -14)]
[(-15631, -396, -4996), (-206, 157, -14)]
[(-15631, -396, -4996), (-206, 157, -14)]
[(-15631, -396, -4996), (-206, 157, -14)]
[(-15631, -396, -4996), (-206, 157, -14)]
[(-15636, -392, -5041), (-224, 164, -3)]
[(-15636, -392, -5041), (-224, 164, -3)]
[(-15636, -392, -5041), (-224, 164, -3)]
[(-15636, -392, -5041), (-224, 164, -3)]
[(-15636, -392, -5041), (-224, 164, -3)]
[(-15627, -400, -5060), (-179, 171, 12)]
[(-15627, -400, -5060), (-179, 171, 12)]
[(-15627, -400, -5060), (-179, 171, 12)]
[(-15627, -400, -5060), (-179, 171, 12)]
[(-15627, -400, -5060), (-179, 171, 12)]
[(-15627, -400, -5060), (-179, 171, 12)]
[(-15627, -400, -5060), (-179, 171, 12)]
