[(-14953, 4185, -5609), (-114, 232, 144)]
[(-14924, 4204, -5630), (-94, 188, 116)]
[(-14924, 4204, -5630), (-94, 188, 116)]
[(-14924, 4204, -5630), (-94, 188, 116)]
[(-14924, 4204, -5630), (-94, 188, 116)]
[(-14924, 4204, -5630), (-94, 188, 116)]
[(-14896, 4232, -5642), (-46, 189, 94)]
[(-14896, 4232, -5642), (-46, 189, 94)]
[(-14896, 4232, -5642), (-46, 189, 94)]
[(-14896, 4232, -5642), (-46, 189, 94)]
[(-14896, 4232, -5642), (-46, 189, 94)]
[(-14896, 4232, -5642), (-46, 189, 94)]
[(-14896, 4225, -5636), (50, 158, 76)]
[(-14896, 4225, -5636), (50, 158, 76)]
[(-14896, 4225, -5636), (50, 158, 76)]
[(-14896, 4225, -5636), (50, 158, 76)]
[(-14896, 4225, -5636), (50, 158, 76)]
[(-14896, 4225, -5636), (50, 158, 76)]
[(-14896, 4225, -5636), (50, 158, 76)]
[(-14884, 4209, -5656), (47, 173, 78)]
[(-14884, 4209, -5656), (47, 173, 78)]
[(-14884, 4209, -5656), (47, 173, 78)]
[(-14884, 4209, -5656), (47, 173, 78)]
[(-14884, 4209, -5656), (47, 173, 78)]
[(-14889, 4223, -5655), (47, 166, 56)]
[(-14889, 4223, -5655), (47, 166, 56)]
[(-14889, 4223, -5655), (47, 166, 56)]
[(-14889, 4223, -5655), (47, 166, 56)]
[(-14889, 4223, -5655), (47, 166, 56)]
[(-14889, 4223, -5655), (47, 166, 56)]
[(-14911, 4224, -5648), (-22, 183, 67)]
[(-14911, 4224, -5648), (-22, 183, 67)]
[(-14911, 4224, -5648), (-22, 183, 67)]
[(-14911, 4224, -5648), (-22, 183, 67)]
[(-14911, 4224, -5648), (-22, 183, 67)]
[(-14911, 4224, -5648), (-22, 183, 67)]
[(-14911, 4224, -5648), (-22, 183, 67)]
[(-14888, 4235, -5672), (-60, 222, 83)]
[(-14888, 4235, -5672), (-60, 222, 83)]
[(-14888, 4235, -5672), (-60, 222, 83)]
[(-14888, 4235, -5672), (-60, 222, 83)]
[(-14888, 4235, -5672), (-60, 222, 83)]
[(-14885, 4244, -5710), (-416, 535, 140)]
[(-14885, 4244, -5710), (-416, 535, 140)]
[(-14885, 4244, -5710), (-416, 535, 140)]
[(-14885, 4244, -5710), (-416, 535, 140)]
[(-14885, 4244, -5710), (-416, 535, 140)]
[(-14885, 4244, -5710), (-416, 535, 140)]
[(-14874, 4282, -5711), (-334, 449, 75)]
[(-14874, 4282, -5711), (-334, 449, 75)]
[(-14874, 4282, -5711), (-334, 449, 75)]
[(-14874, 4282, -5711), (-334, 449, 75)]
[(-14874, 4282, -5711), (-334, 449, 75)]
[(-14874, 4282, -5711), (-334, 449, 75)]
[(-14874, 4282, -5711), (-334, 449, 75)]
[(-14894, 4272, -5695), (-274, 354, 69)]
[(-14894, 4272, -5695), (-274, 354, 69)]
[(-14894, 4272, -5695), (-274, 354, 69)]
[(-14894, 4272, -5695), (-274, 354, 69)]
[(-14894, 4272, -5695), (-274, 354, 69)]
[(-14856, 4269, -5688), (-222, 186, 81)]
[(-14856, 4269, -5688), (-222, 186, 81)]
[(-14856, 4269, -5688), (-222, 186, 81)]
[(-14856, 4269, -5688), (-222, 186, 81)]
[(-14856, 4269, -5688), (-222, 186, 81)]
[(-14856, 4269, -5688), (-222, 186, 81)]
[(-14851, 4300, -5694), (-111, 146, 90)]
[(-14851, 4300, -5694), (-111, 146, 90)]
[(-14851, 4300, -5694), (-111, 146, 90)]
[(-14851, 4300, -5694), (-111, 146, 90)]
[(-14851, 4300, -5694), (-111, 146, 90)]
[(-14851, 4300, -5694), (-111, 146, 90)]
[(-14851, 4300, -5694), (-111, 146, 90)]
[(-14857, 4328, -5674), (-170, 111, 71)]
[(-14857, 4328, -5674), (-170, 111, 71)]
[(-14857, 4328, -5674), (-170, 111, 71)]
[(-14857, 4328, -5674), (-170, 111, 71)]
[(-14862, 4375, -5653), (-192, 103, 32)]
[(-14862, 4375, -5653), (-192, 103, 32)]
[(-14862, 4375, -5653), (-192, 103, 32)]
[(-14862, 4375, -5653), (-192, 103, 32)]
[(-14862, 4375, -5653), (-192, 103, 32)]
[(-14862, 4375, -5653), (-192, 103, 32)]
[(-14886, 4373, -5604), (-226, 124, 15)]
[(-14886, 4373, -5604), (-226, 124, 15)]
[(-14886, 4373, -5604), (-226, 124, 15)]
[(-14886, 4373, -5604), (-226, 124, 15)]
[(-14886, 4373, -5604), (-226, 124, 15)]
[(-14886, 4373, -5604), (-226, 124, 15)]
[(-14886, 4373, -5604), (-226, 124, 15)]
[(-14912, 4348, -5607), (-229, 161, 22)]
[(-14912, 4348, -5607), (-229, 161, 22)]
[(-14912, 4348, -5607), (-229, 161, 22)]
[(-14912, 4348, -5607), (-229, 161, 22)]
[(-14912, 4348, -5607), (-229, 161, 22)]
[(-14908, 4325, -5658), (-205, 128, 73)]
[(-14908, 4325, -5658), (-205, 128, 73)]
[(-14908, 4325, -5658), (-205, 128, 73)]
[(-14908, 4325, -5658), (-205, 128, 73)]
[(-14908, 4325, -5658), (-205, 128, 73)]
