[(-14547, 5325, -5661), (-118, 153, 46)]
[(-14540, 5332, -5693), (-102, 194, 28)]
[(-14540, 5332, -5693), (-102, 194, 28)]
[(-14540, 5332, -5693), (-102, 194, 28)]
[(-14540, 5332, -5693), (-102, 194, 28)]
[(-14531, 5361, -5680), (-110, 196, 27)]
[(-14531, 5361, -5680), (-110, 196, 27)]
[(-14531, 5361, -5680), (-110, 196, 27)]
[(-14531, 5361, -5680), (-110, 196, 27)]
[(-14531, 5361, -5680), (-110, 196, 27)]
[(-14531, 5361, -5680), (-110, 196, 27)]
[(-14531, 5361, -5680), (-110, 196, 27)]
[(-14531, 5361, -5680), (-110, 196, 27)]
[(-14533, 5384, -5683), (-131, 207, 36)]
[(-14533, 5384, -5683), (-131, 207, 36)]
[(-14533, 5384, -5683), (-131, 207, 36)]
[(-14533, 5384, -5683), (-131, 207, 36)]
[(-14533, 5384, -5683), (-131, 207, 36)]
[(-14512, 5390, -5730), (-156, 228, 31)]
[(-14512, 5390, -5730), (-156, 228, 31)]
[(-14512, 5390, -5730), (-156, 228, 31)]
[(-14512, 5390, -5730), (-156, 228, 31)]
[(-14512, 5390, -5730), (-156, 228, 31)]
[(-14508, 5390, -5701), (-211, 243, 29)]
[(-14508, 5390, -5701), (-211, 243, 29)]
[(-14508, 5390, -5701), (-211, 243, 29)]
[(-14508, 5390, -5701), (-211, 243, 29)]
[(-14508, 5390, -5701), (-211, 243, 29)]
[(-14508, 5390, -5701), (-211, 243, 29)]
[(-14508, 5390, -5701), (-211, 243, 29)]
[(-14508, 5390, -5701), (-211, 243, 29)]
[(-14509, 5384, -5735), (-395, 314, 56)]
[(-14509, 5384, -5735), (-395, 314, 56)]
[(-14509, 5384, -5735), (-395, 314, 56)]
[(-14509, 5384, -5735), (-395, 314, 56)]
[(-14509, 5384, -5735), (-395, 314, 56)]
[(-14529, 5421, -5756), (-602, 475, 113)]
[(-14529, 5421, -5756), (-602, 475, 113)]
[(-14529, 5421, -5756), (-602, 475, 113)]
[(-14529, 5421, -5756), (-602, 475, 113)]
[(-14529, 5421, -5756), (-602, 475, 113)]
[(-14534, 5453, -5761), (-731, 543, 142)]
[(-14534, 5453, -5761), (-731, 543, 142)]
[(-14534, 5453, -5761), (-731, 543, 142)]
[(-14534, 5453, -5761), (-731, 543, 142)]
[(-14534, 5453, -5761), (-731, 543, 142)]
[(-14534, 5453, -5761), (-731, 543, 142)]
[(-14534, 5453, -5761), (-731, 543, 142)]
[(-14534, 5453, -5761), (-731, 543, 142)]
[(-14492, 5502, -5802), (-671, 535, 131)]
[(-14492, 5502, -5802), (-671, 535, 131)]
[(-14492, 5502, -5802), (-671, 535, 131)]
[(-14492, 5502, -5802), (-671, 535, 131)]
[(-14492, 5502, -5802), (-671, 535, 131)]
[(-14448, 5580, -5799), (-528, 414, 90)]
[(-14448, 5580, -5799), (-528, 414, 90)]
[(-14448, 5580, -5799), (-528, 414, 90)]
[(-14448, 5580, -5799), (-528, 414, 90)]
[(-14448, 5580, -5799), (-528, 414, 90)]
[(-14425, 5603, -5805), (-332, 297, 40)]
[(-14425, 5603, -5805), (-332, 297, 40)]
[(-14425, 5603, -5805), (-332, 297, 40)]
[(-14425, 5603, -5805), (-332, 297, 40)]
[(-14425, 5603, -5805), (-332, 297, 40)]
[(-14425, 5603, -5805), (-332, 297, 40)]
[(-14425, 5603, -5805), (-332, 297, 40)]
[(-14425, 5603, -5805), (-332, 297, 40)]
[(-14456, 5604, -5892), (266, -6, -85)]
[(-14456, 5604, -5892), (266, -6, -85)]
[(-14456, 5604, -5892), (266, -6, -85)]
[(-14456, 5604, -5892), (266, -6, -85)]
[(-14456, 5604, -5892), (266, -6, -85)]
[(-14469, 5555, -5875), (479, -112, -124)]
[(-14469, 5555, -5875), (479, -112, -124)]
[(-14469, 5555, -5875), (479, -112, -124)]
[(-14469, 5555, -5875), (479, -112, -124)]
[(-14469, 5555, -5875), (479, -112, -124)]
[(-14482, 5515, -5862), (542, -134, -118)]
[(-14482, 5515, -5862), (542, -134, -118)]
[(-14482, 5515, -5862), (542, -134, -118)]
[(-14482, 5515, -5862), (542, -134, -118)]
[(-14482, 5515, -5862), (542, -134, -118)]
[(-14482, 5515, -5862), (542, -134, -118)]
[(-14482, 5515, -5862), (542, -134, -118)]
[(-14482, 5515, -5862), (542, -134, -118)]
[(-14501, 5488, -5836), (432, -80, -74)]
[(-14501, 5488, -5836), (432, -80, -74)]
[(-14501, 5488, -5836), (432, -80, -74)]
[(-14501, 5488, -5836), (432, -80, -74)]
[(-14501, 5488, -5836), (432, -80, -74)]
[(-14524, 5442, -5818), (320, -47, -62)]
[(-14524, 5442, -5818), (320, -47, -62)]
[(-14524, 5442, -5818), (320, -47, -62)]
[(-14524, 5442, -5818), (320, -47, -62)]
[(-14524, 5442, -5818), (320, -47, -62)]
[(-14520, 5416, -5779), (246, 6, -37)]
[(-14520, 5416, -5779), (246, 6, -37)]
[(-14520, 5416, -5779), (246, 6, -37)]
[(-14520, 5416, -5779), (246, 6, -37)]
[(-14520, 5416, -5779), (246, 6, -37)]
[(-14520, 5416, -5779), (246, 6, -37)]
[(-14520, 5416, -5779), (246, 6, -37)]
[(-14520, 5416, -5779), (246, 6, -37)]
[(-14522, 5419, -5767), (152, 29, -3)]
[(-14522, 5419, -5767), (152, 29, -3)]
[(-14522, 5419, -5767), (152, 29, -3)]
[(-14522, 5419, -5767), (152, 29, -3)]
[(-14522, 5419, -5767), (152, 29, -3)]
[(-14531, 5429, -5744), (113, 43, 3)]
[(-14531, 5429, -5744), (113, 43, 3)]
[(-14531, 5429, -5744), (113, 43, 3)]
[(-14531, 5429, -5744), (113, 43, 3)]
[(-14531, 5429, -5744), (113, 43, 3)]
