[(-15332, 3566, -4521), (95, 62, 219)]
[(-15315, 3621, -4505), (131, 76, 203)]
[(-15315, 3621, -4505), (131, 76, 203)]
[(-15315, 3621, -4505), (131, 76, 203)]
[(-15315, 3621, -4505), (131, 76, 203)]
[(-15256, 3700, -4552), (-285, 466, -75)]
[(-15256, 3700, -4552), (-285, 466, -75)]
[(-15256, 3700, -4552), (-285, 466, -75)]
[(-15256, 3700, -4552), (-285, 466, -75)]
[(-15256, 3700, -4552), (-285, 466, -75)]
[(-15256, 3700, -4552), (-285, 466, -75)]
[(-15294, 3601, -4643), (-847, 880, -297)]
[(-15294, 3601, -4643), (-847, 880, -297)]
[(-15294, 3601, -4643), (-847, 880, -297)]
[(-15294, 3601, -4643), (-847, 880, -297)]
[(-15294, 3601, -4643), (-847, 880, -297)]
[(-15344, 3513, -4746), (-950, 871, -400)]
[(-15344, 3513, -4746), (-950, 871, -400)]
[(-15344, 3513, -4746), (-950, 871, -400)]
[(-15344, 3513, -4746), (-950, 871, -400)]
[(-15344, 3513, -4746), (-950, 871, -400)]
[(-15344, 3513, -4746), (-950, 871, -400)]
[(-15344, 3513, -4746), (-950, 871, -400)]
[(-15346, 3464, -4825), (-857, 807, -377)]
[(-15346, 3464, -4825), (-857, 807, -377)]
[(-15346, 3464, -4825), (-857, 807, -377)]
[(-15346, 3464, -4825), (-857, 807, -377)]
[(-15346, 3464, -4825), (-857, 807, -377)]
[(-15346, 3464, -4825), (-857, 807, -377)]
[(-15294, 3648, -4976), (-1983, 1744, -27)]
[(-15294, 3648, -4976), (-1983, 1744, -27)]
[(-15294, 3648, -4976), (-1983, 1744, -27)]
[(-15294, 3648, -4976), (-1983, 1744, -27)]
[(-15294, 3648, -4976), (-1983, 1744, -27)]
[(-15253, 3641, -5063), (-1679, 1485, -115)]
[(-15253, 3641, -5063), (-1679, 1485, -115)]
[(-15253, 3641, -5063), (-1679, 1485, -115)]
[(-15253, 3641, -5063), (-1679, 1485, -115)]
[(-15253, 3641, -5063), (-1679, 1485, -115)]
[(-15253, 3641, -5063), (-1679, 1485, -115)]
[(-15253, 3641, -5063), (-1679, 1485, -115)]
[(-15237, 3600, -5160), (-1424, 1250, -130)]
[(-15237, 3600, -5160), (-1424, 1250, -130)]
[(-15237, 3600, -5160), (-1424, 1250, -130)]
[(-15237, 3600, -5160), (-1424, 1250, -130)]
[(-15237, 3600, -5160), (-1424, 1250, -130)]
[(-15237, 3600, -5160), (-1424, 1250, -130)]
[(-15222, 3576, -5220), (-1158, 995, -73)]
[(-15222, 3576, -5220), (-1158, 995, -73)]
[(-15222, 3576, -5220), (-1158, 995, -73)]
[(-15222, 3576, -5220), (-1158, 995, -73)]
[(-15222, 3576, -5220), (-1158, 995, -73)]
[(-15206, 3555, -5282), (-1043, 849, -61)]
[(-15206, 3555, -5282), (-1043, 849, -61)]
[(-15206, 3555, -5282), (-1043, 849, -61)]
[(-15206, 3555, -5282), (-1043, 849, -61)]
[(-15206, 3555, -5282), (-1043, 849, -61)]
[(-15206, 3555, -5282), (-1043, 849, -61)]
[(-15206, 3555, -5282), (-1043, 849, -61)]
[(-15206, 3555, -5282), (-1043, 849, -61)]
[(-15189, 3546, -5335), (-856, 732, -44)]
[(-15189, 3546, -5335), (-856, 732, -44)]
[(-15189, 3546, -5335), (-856, 732, -44)]
[(-15189, 3546, -5335), (-856, 732, -44)]
[(-15165, 3540, -5401), (-694, 627, -21)]
[(-15165, 3540, -5401), (-694, 627, -21)]
[(-15165, 3540, -5401), (-694, 627, -21)]
[(-15165, 3540, -5401), (-694, 627, -21)]
[(-15165, 3540, -5401), (-694, 627, -21)]
[(-15151, 3523, -5436), (-572, 475, -50)]
[(-15151, 3523, -5436), (-572, 475, -50)]
[(-15151, 3523, -5436), (-572, 475, -50)]
[(-15151, 3523, -5436), (-572, 475, -50)]
[(-15151, 3523, -5436), (-572, 475, -50)]
[(-15151, 3523, -5436), (-572, 475, -50)]
[(-15163, 3488, -5439), (-526, 400, -81)]
[(-15163, 3488, -5439), (-526, 400, -81)]
[(-15163, 3488, -5439), (-526, 400, -81)]
[(-15163, 3488, -5439), (-526, 400, -81)]
[(-15163, 3488, -5439), (-526, 400, -81)]
[(-15163, 3488, -5439), (-526, 400, -81)]
[(-15163, 3488, -5439), (-526, 400, -81)]
[(-15173, 3478, -5463), (-586, 327, -113)]
[(-15173, 3478, -5463), (-586, 327, -113)]
[(-15173, 3478, -5463), (-586, 327, -113)]
