[(-14823, 4498, -5696), (44, 14, 90)]
[(-14804, 4539, -5671), (-93, 138, 125)]
[(-14788, 4568, -5655), (-155, 210, 101)]
[(-14788, 4568, -5655), (-155, 210, 101)]
[(-14788, 4568, -5655), (-155, 210, 101)]
[(-14788, 4568, -5655), (-155, 210, 101)]
[(-14788, 4568, -5655), (-155, 210, 101)]
[(-14788, 4568, -5655), (-155, 210, 101)]
[(-14807, 4544, -5620), (-30, 227, 49)]
[(-14807, 4544, -5620), (-30, 227, 49)]
[(-14807, 4544, -5620), (-30, 227, 49)]
[(-14807, 4544, -5620), (-30, 227, 49)]
[(-14807, 4544, -5620), (-30, 227, 49)]
[(-14816, 4591, -5648), (240, 126, 98)]
[(-14816, 4591, -5648), (240, 126, 98)]
[(-14816, 4591, -5648), (240, 126, 98)]
[(-14816, 4591, -5648), (240, 126, 98)]
[(-14816, 4591, -5648), (240, 126, 98)]
[(-14816, 4591, -5648), (240, 126, 98)]
[(-14816, 4591, -5648), (240, 126, 98)]
[(-14808, 4611, -5645), (72, 242, 101)]
[(-14808, 4611, -5645), (72, 242, 101)]
[(-14808, 4611, -5645), (72, 242, 101)]
[(-14808, 4611, -5645), (72, 242, 101)]
[(-14808, 4611, -5645), (72, 242, 101)]
[(-14808, 4611, -5645), (72, 242, 101)]
[(-14808, 4611, -5645), (72, 242, 101)]
[(-14782, 4636, -5612), (-8, 299, 74)]
[(-14782, 4636, -5612), (-8, 299, 74)]
[(-14782, 4636, -5612), (-8, 299, 74)]
[(-14782, 4636, -5612), (-8, 299, 74)]
[(-14788, 4623, -5600), (-31, 247, 51)]
[(-14788, 4623, -5600), (-31, 247, 51)]
[(-14788, 4623, -5600), (-31, 247, 51)]
[(-14788, 4623, -5600), (-31, 247, 51)]
[(-14788, 4623, -5600), (-31, 247, 51)]
[(-14788, 4623, -5600), (-31, 247, 51)]
[(-14788, 4623, -5600), (-31, 247, 51)]
[(-14777, 4621, -5640), (-127, 269, 29)]
[(-14777, 4621, -5640), (-127, 269, 29)]
[(-14777, 4621, -5640), (-127, 269, 29)]
[(-14777, 4621, -5640), (-127, 269, 29)]
[(-14777, 4621, -5640), (-127, 269, 29)]
[(-14777, 4621, -5640), (-127, 269, 29)]
[(-14794, 4616, -5653), (-163, 217, 35)]
[(-14794, 4616, -5653), (-163, 217, 35)]
[(-14794, 4616, -5653), (-163, 217, 35)]
[(-14794, 4616, -5653), (-163, 217, 35)]
[(-14794, 4616, -5653), (-163, 217, 35)]
[(-14798, 4632, -5651), (-408, 302, 14)]
[(-14798, 4632, -5651), (-408, 302, 14)]
[(-14798, 4632, -5651), (-408, 302, 14)]
[(-14798, 4632, -5651), (-408, 302, 14)]
[(-14798, 4632, -5651), (-408, 302, 14)]
[(-14798, 4632, -5651), (-408, 302, 14)]
[(-14798, 4632, -5651), (-408, 302, 14)]
[(-14788, 4651, -5668), (-508, 338, 22)]
[(-14788, 4651, -5668), (-508, 338, 22)]
[(-14788, 4651, -5668), (-508, 338, 22)]
[(-14788, 4651, -5668), (-508, 338, 22)]
[(-14788, 4651, -5668), (-508, 338, 22)]
[(-14788, 4651, -5668), (-508, 338, 22)]
[(-14777, 4661, -5726), (-647, 360, 19)]
[(-14777, 4661, -5726), (-647, 360, 19)]
[(-14777, 4661, -5726), (-647, 360, 19)]
[(-14777, 4661, -5726), (-647, 360, 19)]
[(-14777, 4661, -5726), (-647, 360, 19)]
[(-14780, 4699, -5710), (-632, 331, -2)]
[(-14780, 4699, -5710), (-632, 331, -2)]
[(-14780, 4699, -5710), (-632, 331, -2)]
[(-14780, 4699, -5710), (-632, 331, -2)]
[(-14780, 4699, -5710), (-632, 331, -2)]
[(-14780, 4699, -5710), (-632, 331, -2)]
[(-14780, 4699, -5710), (-632, 331, -2)]
[(-14780, 4699, -5710), (-632, 331, -2)]
[(-14780, 4699, -5710), (-632, 331, -2)]
[(-14806, 4714, -5684), (-553, 269, -12)]
[(-14806, 4714, -5684), (-553, 269, -12)]
[(-14806, 4714, -5684), (-553, 269, -12)]
[(-14806, 4714, -5684), (-553, 269, -12)]
[(-14825, 4612, -5666), (5, -113, 112)]
