[(-15048, 4416, -5050), (23, 72, -44)]
[(-15061, 4403, -5058), (110, 76, -46)]
[(-15061, 4403, -5058), (110, 76, -46)]
[(-15068, 4382, -5085), (-179, 308, 21)]
[(-15068, 4382, -5085), (-179, 308, 21)]
[(-15068, 4382, -5085), (-179, 308, 21)]
[(-15068, 4382, -5085), (-179, 308, 21)]
[(-15068, 4382, -5085), (-179, 308, 21)]
[(-15073, 4576, -5111), (-230, 320, -54)]
[(-15073, 4576, -5111), (-230, 320, -54)]
[(-15073, 4576, -5111), (-230, 320, -54)]
[(-15073, 4576, -5111), (-230, 320, -54)]
[(-15073, 4576, -5111), (-230, 320, -54)]
[(-15073, 4576, -5111), (-230, 320, -54)]
[(-15073, 4576, -5111), (-230, 320, -54)]
[(-15073, 4576, -5111), (-230, 320, -54)]
[(-15092, 4515, -5124), (-205, 279, -46)]
[(-15092, 4515, -5124), (-205, 279, -46)]
[(-15092, 4515, -5124), (-205, 279, -46)]
[(-15092, 4515, -5124), (-205, 279, -46)]
[(-15092, 4515, -5124), (-205, 279, -46)]
[(-15092, 4515, -5124), (-205, 279, -46)]
[(-15092, 4515, -5124), (-205, 279, -46)]
[(-15061, 4512, -5139), (-58, 211, -44)]
[(-15061, 4512, -5139), (-58, 211, -44)]
[(-15061, 4512, -5139), (-58, 211, -44)]
[(-15056, 4504, -5146), (-191, 249, -8)]
[(-15056, 4504, -5146), (-191, 249, -8)]
[(-15056, 4504, -5146), (-191, 249, -8)]
[(-15056, 4504, -5146), (-191, 249, -8)]
[(-15056, 4504, -5146), (-191, 249, -8)]
[(-15056, 4504, -5146), (-191, 249, -8)]
[(-15036, 4473, -5152), (-233, 267, -10)]
[(-15036, 4473, -5152), (-233, 267, -10)]
[(-15036, 4473, -5152), (-233, 267, -10)]
[(-15036, 4473, -5152), (-233, 267, -10)]
[(-15036, 4473, -5152), (-233, 267, -10)]
[(-15036, 4473, -5152), (-233, 267, -10)]
[(-15036, 4473, -5152), (-233, 267, -10)]
[(-15047, 4424, -5169), (-211, 264, -8)]
[(-15047, 4424, -5169), (-211, 264, -8)]
[(-15047, 4424, -5169), (-211, 264, -8)]
[(-15047, 4424, -5169), (-211, 264, -8)]
[(-15047, 4424, -5169), (-211, 264, -8)]
[(-15047, 4424, -5169), (-211, 264, -8)]
[(-15030, 4424, -5181), (-235, 260, 2)]
[(-15030, 4424, -5181), (-235, 260, 2)]
[(-15030, 4424, -5181), (-235, 260, 2)]
[(-15030, 4424, -5181), (-235, 260, 2)]
[(-15030, 4424, -5181), (-235, 260, 2)]
[(-15046, 4423, -5175), (-234, 255, 8)]
[(-15046, 4423, -5175), (-234, 255, 8)]
[(-15046, 4423, -5175), (-234, 255, 8)]
[(-15046, 4423, -5175), (-234, 255, 8)]
[(-15046, 4423, -5175), (-234, 255, 8)]
[(-15046, 4423, -5175), (-234, 255, 8)]
[(-15046, 4423, -5175), (-234, 255, 8)]
[(-15037, 4397, -5166), (-193, 223, 10)]
[(-15037, 4397, -5166), (-193, 223, 10)]
[(-15037, 4397, -5166), (-193, 223, 10)]
[(-15037, 4397, -5166), (-193, 223, 10)]
[(-15037, 4397, -5166), (-193, 223, 10)]
[(-15052, 4405, -5177), (-222, 217, 9)]
[(-15052, 4405, -5177), (-222, 217, 9)]
[(-15052, 4405, -5177), (-222, 217, 9)]
[(-15052, 4405, -5177), (-222, 217, 9)]
[(-15052, 4405, -5177), (-222, 217, 9)]
[(-15023, 4389, -5164), (-200, 194, -3)]
[(-15023, 4389, -5164), (-200, 194, -3)]
[(-15023, 4389, -5164), (-200, 194, -3)]
[(-15023, 4389, -5164), (-200, 194, -3)]
[(-15023, 4389, -5164), (-200, 194, -3)]
[(-15023, 4389, -5164), (-200, 194, -3)]
[(-15023, 4389, -5164), (-200, 194, -3)]
[(-15023, 4389, -5164), (-200, 194, -3)]
[(-15041, 4386, -5167), (-169, 203, 8)]
[(-15041, 4386, -5167), (-169, 203, 8)]
[(-15041, 4386, -5167), (-169, 203, 8)]
[(-15041, 4386, -5167), (-169, 203, 8)]
[(-15041, 4386, -5167), (-169, 203, 8)]
[(-15025, 4379, -5161), (-163, 206, 24)]
[(-15025, 4379, -5161), (-163, 206, 24)]
