[(-14828, 3420, -6733), (15, 47, 86)]
[(-14856, 3428, -6689), (-6, 78, 76)]
[(-14856, 3428, -6689), (-6, 78, 76)]
[(-14836, 3426, -6681), (-21, 117, 62)]
[(-14836, 3426, -6681), (-21, 117, 62)]
[(-14836, 3426, -6681), (-21, 117, 62)]
[(-14859, 3439, -6676), (-24, 148, 37)]
[(-14859, 3439, -6676), (-24, 148, 37)]
[(-14859, 3439, -6676), (-24, 148, 37)]
[(-14859, 3439, -6676), (-24, 148, 37)]
[(-14859, 3439, -6676), (-24, 148, 37)]
[(-14859, 3439, -6676), (-24, 148, 37)]
[(-14859, 3439, -6676), (-24, 148, 37)]
[(-14865, 3456, -6647), (-40, 186, 10)]
[(-14865, 3456, -6647), (-40, 186, 10)]
[(-14865, 3456, -6647), (-40, 186, 10)]
[(-14865, 3456, -6647), (-40, 186, 10)]
[(-14865, 3456, -6647), (-40, 186, 10)]
[(-14865, 3456, -6647), (-40, 186, 10)]
[(-14873, 3467, -6650), (-41, 207, 6)]
[(-14873, 3467, -6650), (-41, 207, 6)]
[(-14873, 3467, -6650), (-41, 207, 6)]
[(-14873, 3467, -6650), (-41, 207, 6)]
[(-14873, 3467, -6650), (-41, 207, 6)]
[(-14873, 3467, -6650), (-41, 207, 6)]
[(-14873, 3467, -6650), (-41, 207, 6)]
[(-14856, 3460, -6655), (-46, 199, 12)]
[(-14856, 3460, -6655), (-46, 199, 12)]
[(-14856, 3460, -6655), (-46, 199, 12)]
[(-14856, 3460, -6655), (-46, 199, 12)]
[(-14856, 3460, -6655), (-46, 199, 12)]
[(-14856, 3460, -6655), (-46, 199, 12)]
[(-14856, 3460, -6655), (-46, 199, 12)]
[(-14844, 3433, -6649), (-41, 198, 10)]
[(-14844, 3433, -6649), (-41, 198, 10)]
[(-14844, 3433, -6649), (-41, 198, 10)]
[(-14844, 3433, -6649), (-41, 198, 10)]
[(-14853, 3426, -6636), (-45, 178, 5)]
[(-14853, 3426, -6636), (-45, 178, 5)]
[(-14853, 3426, -6636), (-45, 178, 5)]
[(-14853, 3426, -6636), (-45, 178, 5)]
[(-14853, 3426, -6636), (-45, 178, 5)]
[(-14868, 3412, -6624), (-35, 143, 13)]
[(-14868, 3412, -6624), (-35, 143, 13)]
[(-14868, 3412, -6624), (-35, 143, 13)]
[(-14868, 3412, -6624), (-35, 143, 13)]
[(-14868, 3412, -6624), (-35, 143, 13)]
[(-14868, 3412, -6624), (-35, 143, 13)]
[(-14868, 3412, -6624), (-35, 143, 13)]
[(-14891, 3424, -6614), (-113, 212, 2)]
[(-14891, 3424, -6614), (-113, 212, 2)]
[(-14891, 3424, -6614), (-113, 212, 2)]
[(-14891, 3424, -6614), (-113, 212, 2)]
[(-14891, 3424, -6614), (-113, 212, 2)]
[(-14891, 3424, -6614), (-113, 212, 2)]
[(-14900, 3443, -6611), (-165, 235, -14)]
[(-14900, 3443, -6611), (-165, 235, -14)]
[(-14900, 3443, -6611), (-165, 235, -14)]
[(-14900, 3443, -6611), (-165, 235, -14)]
[(-14900, 3443, -6611), (-165, 235, -14)]
[(-14895, 3450, -6577), (-186, 51, -15)]
[(-14895, 3450, -6577), (-186, 51, -15)]
[(-14895, 3450, -6577), (-186, 51, -15)]
[(-14895, 3450, -6577), (-186, 51, -15)]
[(-14895, 3450, -6577), (-186, 51, -15)]
[(-14895, 3450, -6577), (-186, 51, -15)]
[(-14895, 3450, -6577), (-186, 51, -15)]
[(-14895, 3450, -6577), (-186, 51, -15)]
[(-14902, 3448, -6564), (-215, 19, 7)]
[(-14902, 3448, -6564), (-215, 19, 7)]
[(-14902, 3448, -6564), (-215, 19, 7)]
[(-14902, 3448, -6564), (-215, 19, 7)]
[(-14897, 3479, -6513), (-220, 121, 20)]
[(-14897, 3479, -6513), (-220, 121, 20)]
[(-14897, 3479, -6513), (-220, 121, 20)]
[(-14897, 3479, -6513), (-220, 121, 20)]
[(-14897, 3479, -6513), (-220, 121, 20)]
[(-14885, 3480, -6497), (-252, 364, -39)]
[(-14885, 3480, -6497), (-252, 364, -39)]
[(-14885, 3480, -6497), (-252, 364, -39)]
[(-14885, 3480, -6497), (-252, 364, -39)]
[(-14885, 3480, -6497), (-252, 364, -39)]
[(-14885, 3480, -6497), (-252, 364, -39)]
[(-14880, 3459, -6532), (-207, 383, -55)]
[(-14880, 3459, -6532), (-207, 383, -55)]
[(-14880, 3459, -6532), (-207, 383, -55)]
[(-14880, 3459, -6532), (-207, 383, -55)]
[(-14880, 3459, -6532), (-207, 383, -55)]
[(-14880, 3459, -6532), (-207, 383, -55)]
[(-14880, 3459, -6532), (-207, 383, -55)]
[(-14886, 3430, -6531), (-190, 355, -74)]
[(-14886, 3430, -6531), (-190, 355, -74)]
[(-14886, 3430, -6531), (-190, 355, -74)]
