[(-14723, 3794, -6799), (-177, 213, -1)]
[(-14705, 3796, -6784), (-163, 162, 2)]
[(-14705, 3796, -6784), (-163, 162, 2)]
[(-14705, 3796, -6784), (-163, 162, 2)]
[(-14708, 3800, -6764), (-148, 145, -4)]
[(-14708, 3800, -6764), (-148, 145, -4)]
[(-14708, 3800, -6764), (-148, 145, -4)]
[(-14708, 3800, -6764), (-148, 145, -4)]
[(-14708, 3800, -6764), (-148, 145, -4)]
[(-14708, 3800, -6764), (-148, 145, -4)]
[(-14708, 3800, -6764), (-148, 145, -4)]
[(-14708, 3800, -6764), (-148, 145, -4)]
[(-14708, 3800, -6764), (-148, 145, -4)]
[(-14718, 3779, -6769), (-89, 122, -11)]
[(-14718, 3779, -6769), (-89, 122, -11)]
[(-14731, 3778, -6747), (-61, 131, 7)]
[(-14731, 3778, -6747), (-61, 131, 7)]
[(-14731, 3778, -6747), (-61, 131, 7)]
[(-14731, 3778, -6747), (-61, 131, 7)]
[(-14731, 3778, -6747), (-61, 131, 7)]
[(-14731, 3778, -6747), (-61, 131, 7)]
[(-14731, 3778, -6747), (-61, 131, 7)]
[(-14759, 3784, -6735), (-59, 150, 15)]
[(-14759, 3784, -6735), (-59, 150, 15)]
[(-14759, 3784, -6735), (-59, 150, 15)]
[(-14759, 3784, -6735), (-59, 150, 15)]
[(-14759, 3784, -6735), (-59, 150, 15)]
[(-14759, 3784, -6735), (-59, 150, 15)]
[(-14760, 3774, -6748), (-44, 188, 38)]
[(-14760, 3774, -6748), (-44, 188, 38)]
[(-14760, 3774, -6748), (-44, 188, 38)]
[(-14760, 3774, -6748), (-44, 188, 38)]
[(-14760, 3774, -6748), (-44, 188, 38)]
[(-14757, 3799, -6733), (-34, 204, 67)]
[(-14757, 3799, -6733), (-34, 204, 67)]
[(-14757, 3799, -6733), (-34, 204, 67)]
[(-14757, 3799, -6733), (-34, 204, 67)]
[(-14757, 3799, -6733), (-34, 204, 67)]
[(-14757, 3799, -6733), (-34, 204, 67)]
[(-14757, 3799, -6733), (-34, 204, 67)]
[(-14719, 3804, -6746), (-57, 224, 32)]
[(-14719, 3804, -6746), (-57, 224, 32)]
[(-14719, 3804, -6746), (-57, 224, 32)]
[(-14719, 3804, -6746), (-57, 224, 32)]
[(-14719, 3804, -6746), (-57, 224, 32)]
[(-14719, 3804, -6746), (-57, 224, 32)]
[(-14712, 3773, -6752), (-63, 231, 10)]
[(-14712, 3773, -6752), (-63, 231, 10)]
[(-14712, 3773, -6752), (-63, 231, 10)]
[(-14712, 3773, -6752), (-63, 231, 10)]
[(-14712, 3773, -6752), (-63, 231, 10)]
[(-14712, 3773, -6752), (-63, 231, 10)]
[(-14712, 3773, -6752), (-63, 231, 10)]
[(-14714, 3783, -6765), (-62, 240, 9)]
[(-14714, 3783, -6765), (-62, 240, 9)]
[(-14714, 3783, -6765), (-62, 240, 9)]
[(-14714, 3783, -6765), (-62, 240, 9)]
[(-14716, 3779, -6767), (5, 197, 47)]
[(-14716, 3779, -6767), (5, 197, 47)]
[(-14716, 3779, -6767), (5, 197, 47)]
[(-14716, 3779, -6767), (5, 197, 47)]
[(-14716, 3779, -6767), (5, 197, 47)]
[(-14716, 3779, -6767), (5, 197, 47)]
[(-14700, 3773, -6782), (21, 222, 40)]
[(-14700, 3773, -6782), (21, 222, 40)]
[(-14700, 3773, -6782), (21, 222, 40)]
[(-14700, 3773, -6782), (21, 222, 40)]
[(-14700, 3773, -6782), (21, 222, 40)]
[(-14692, 3786, -6764), (58, 131, 28)]
[(-14692, 3786, -6764), (58, 131, 28)]
[(-14692, 3786, -6764), (58, 131, 28)]
[(-14692, 3786, -6764), (58, 131, 28)]
[(-14692, 3786, -6764), (58, 131, 28)]
[(-14716, 3783, -6756), (133, 0, 120)]
[(-14716, 3783, -6756), (133, 0, 120)]
[(-14716, 3783, -6756), (133, 0, 120)]
[(-14716, 3783, -6756), (133, 0, 120)]
[(-14716, 3783, -6756), (133, 0, 120)]
[(-14716, 3783, -6756), (133, 0, 120)]
