[(-14243, 5301, -6906), (-139, 176, -37)]
[(-14248, 5277, -6885), (-114, 181, -12)]
[(-14248, 5277, -6885), (-114, 181, -12)]
[(-14248, 5277, -6885), (-114, 181, -12)]
[(-14248, 5277, -6885), (-114, 181, -12)]
[(-14248, 5277, -6885), (-114, 181, -12)]
[(-14264, 5263, -6875), (-110, 179, -14)]
[(-14264, 5263, -6875), (-110, 179, -14)]
[(-14264, 5263, -6875), (-110, 179, -14)]
[(-14264, 5263, -6875), (-110, 179, -14)]
[(-14264, 5263, -6875), (-110, 179, -14)]
[(-14237, 5267, -6868), (-190, 325, -47)]
[(-14237, 5267, -6868), (-190, 325, -47)]
[(-14237, 5267, -6868), (-190, 325, -47)]
[(-14237, 5267, -6868), (-190, 325, -47)]
[(-14237, 5267, -6868), (-190, 325, -47)]
[(-14237, 5267, -6868), (-190, 325, -47)]
[(-14237, 5267, -6868), (-190, 325, -47)]
[(-14237, 5267, -6868), (-190, 325, -47)]
[(-14190, 5264, -6938), (-454, 663, -131)]
[(-14190, 5264, -6938), (-454, 663, -131)]
[(-14190, 5264, -6938), (-454, 663, -131)]
[(-14190, 5264, -6938), (-454, 663, -131)]
[(-14190, 5264, -6938), (-454, 663, -131)]
[(-14160, 5260, -6998), (-642, 796, -112)]
[(-14160, 5260, -6998), (-642, 796, -112)]
[(-14160, 5260, -6998), (-642, 796, -112)]
[(-14160, 5260, -6998), (-642, 796, -112)]
[(-14160, 5260, -6998), (-642, 796, -112)]
[(-14122, 5252, -7018), (-412, 532, 7)]
[(-14122, 5252, -7018), (-412, 532, 7)]
[(-14122, 5252, -7018), (-412, 532, 7)]
[(-14122, 5252, -7018), (-412, 532, 7)]
[(-14122, 5252, -7018), (-412, 532, 7)]
[(-14122, 5252, -7018), (-412, 532, 7)]
[(-14122, 5252, -7018), (-412, 532, 7)]
[(-14122, 5252, -7018), (-412, 532, 7)]
[(-14166, 5212, -7059), (280, -156, 244)]
[(-14166, 5212, -7059), (280, -156, 244)]
[(-14166, 5212, -7059), (280, -156, 244)]
[(-14166, 5212, -7059), (280, -156, 244)]
[(-14166, 5212, -7059), (280, -156, 244)]
[(-14175, 5217, -7013), (554, -282, 368)]
[(-14175, 5217, -7013), (554, -282, 368)]
[(-14175, 5217, -7013), (554, -282, 368)]
[(-14175, 5217, -7013), (554, -282, 368)]
[(-14175, 5217, -7013), (554, -282, 368)]
[(-14154, 5274, -6980), (424, -176, 276)]
[(-14154, 5274, -6980), (424, -176, 276)]
[(-14154, 5274, -6980), (424, -176, 276)]
[(-14154, 5274, -6980), (424, -176, 276)]
[(-14154, 5274, -6980), (424, -176, 276)]
[(-14154, 5274, -6980), (424, -176, 276)]
[(-14154, 5274, -6980), (424, -176, 276)]
[(-14154, 5274, -6980), (424, -176, 276)]
[(-14162, 5273, -6977), (255, -72, 190)]
[(-14162, 5273, -6977), (255, -72, 190)]
[(-14162, 5273, -6977), (255, -72, 190)]
[(-14162, 5273, -6977), (255, -72, 190)]
[(-14162, 5273, -6977), (255, -72, 190)]
[(-14173, 5284, -6976), (187, -33, 118)]
[(-14173, 5284, -6976), (187, -33, 118)]
[(-14173, 5284, -6976), (187, -33, 118)]
[(-14173, 5284, -6976), (187, -33, 118)]
[(-14188, 5291, -6932), (143, 31, 76)]
[(-14188, 5291, -6932), (143, 31, 76)]
[(-14188, 5291, -6932), (143, 31, 76)]
[(-14188, 5291, -6932), (143, 31, 76)]
[(-14188, 5291, -6932), (143, 31, 76)]
[(-14188, 5291, -6932), (143, 31, 76)]
[(-14188, 5291, -6932), (143, 31, 76)]
[(-14188, 5291, -6932), (143, 31, 76)]
[(-14192, 5274, -6954), (139, 50, 88)]
[(-14192, 5274, -6954), (139, 50, 88)]
[(-14192, 5274, -6954), (139, 50, 88)]
[(-14192, 5274, -6954), (139, 50, 88)]
[(-14192, 5274, -6954), (139, 50, 88)]
[(-14211, 5284, -6944), (80, 99, 85)]
[(-14211, 5284, -6944), (80, 99, 85)]
[(-14211, 5284, -6944), (80, 99, 85)]
[(-14211, 5284, -6944), (80, 99, 85)]
[(-14211, 5284, -6944), (80, 99, 85)]
[(-14208, 5315, -6924), (12, 121, 80)]
[(-14208, 5315, -6924), (12, 121, 80)]
