[(-14598, 3512, -7284), (21, 137, 94)]
[(-14597, 3535, -7299), (-6, 160, 74)]
[(-14597, 3535, -7299), (-6, 160, 74)]
[(-14597, 3535, -7299), (-6, 160, 74)]
[(-14595, 3544, -7271), (-45, 171, 61)]
[(-14595, 3544, -7271), (-45, 171, 61)]
[(-14595, 3544, -7271), (-45, 171, 61)]
[(-14595, 3544, -7271), (-45, 171, 61)]
[(-14595, 3544, -7271), (-45, 171, 61)]
[(-14594, 3559, -7264), (-35, 177, 68)]
[(-14594, 3559, -7264), (-35, 177, 68)]
[(-14594, 3559, -7264), (-35, 177, 68)]
[(-14594, 3559, -7264), (-35, 177, 68)]
[(-14594, 3559, -7264), (-35, 177, 68)]
[(-14594, 3559, -7264), (-35, 177, 68)]
[(-14605, 3554, -7284), (-131, 109, 31)]
[(-14605, 3554, -7284), (-131, 109, 31)]
[(-14605, 3554, -7284), (-131, 109, 31)]
[(-14605, 3554, -7284), (-131, 109, 31)]
[(-14605, 3554, -7284), (-131, 109, 31)]
[(-14605, 3554, -7284), (-131, 109, 31)]
[(-14605, 3554, -7284), (-131, 109, 31)]
[(-14605, 3554, -7284), (-131, 109, 31)]
[(-14635, 3538, -7232), (-351, 89, -9)]
[(-14635, 3538, -7232), (-351, 89, -9)]
[(-14635, 3538, -7232), (-351, 89, -9)]
[(-14635, 3538, -7232), (-351, 89, -9)]
[(-14684, 3529, -7127), (198, 5, 111)]
[(-14684, 3529, -7127), (198, 5, 111)]
[(-14684, 3529, -7127), (198, 5, 111)]
[(-14684, 3529, -7127), (198, 5, 111)]
[(-14684, 3529, -7127), (198, 5, 111)]
[(-14684, 3529, -7127), (198, 5, 111)]
[(-14848, 3378, -7238), (560, -443, 317)]
[(-14848, 3378, -7238), (560, -443, 317)]
[(-14848, 3378, -7238), (560, -443, 317)]
[(-14848, 3378, -7238), (560, -443, 317)]
[(-14848, 3378, -7238), (560, -443, 317)]
[(-14848, 3378, -7238), (560, -443, 317)]
[(-14848, 3378, -7238), (560, -443, 317)]
[(-14818, 3405, -7215), (407, -213, 297)]
[(-14818, 3405, -7215), (407, -213, 297)]
[(-14818, 3405, -7215), (407, -213, 297)]
[(-14818, 3405, -7215), (407, -213, 297)]
[(-14818, 3405, -7215), (407, -213, 297)]
[(-14756, 3472, -7192), (345, -116, 239)]
[(-14756, 3472, -7192), (345, -116, 239)]
[(-14756, 3472, -7192), (345, -116, 239)]
[(-14756, 3472, -7192), (345, -116, 239)]
[(-14756, 3472, -7192), (345, -116, 239)]
[(-14756, 3472, -7192), (345, -116, 239)]
[(-14724, 3499, -7199), (326, 0, 135)]
[(-14724, 3499, -7199), (326, 0, 135)]
[(-14724, 3499, -7199), (326, 0, 135)]
[(-14724, 3499, -7199), (326, 0, 135)]
[(-14724, 3499, -7199), (326, 0, 135)]
[(-14724, 3499, -7199), (326, 0, 135)]
[(-14724, 3499, -7199), (326, 0, 135)]
[(-14703, 3536, -7190), (354, 17, 122)]
[(-14703, 3536, -7190), (354, 17, 122)]
[(-14703, 3536, -7190), (354, 17, 122)]
[(-14703, 3536, -7190), (354, 17, 122)]
[(-14703, 3536, -7190), (354, 17, 122)]
[(-14692, 3580, -7170), (294, 27, 103)]
[(-14692, 3580, -7170), (294, 27, 103)]
[(-14692, 3580, -7170), (294, 27, 103)]
[(-14692, 3580, -7170), (294, 27, 103)]
[(-14671, 3557, -7160), (230, 64, 71)]
[(-14671, 3557, -7160), (230, 64, 71)]
[(-14671, 3557, -7160), (230, 64, 71)]
[(-14671, 3557, -7160), (230, 64, 71)]
[(-14671, 3557, -7160), (230, 64, 71)]
[(-14671, 3557, -7160), (230, 64, 71)]
[(-14671, 3557, -7160), (230, 64, 71)]
[(-14689, 3520, -7165), (189, 99, 60)]
[(-14689, 3520, -7165), (189, 99, 60)]
[(-14689, 3520, -7165), (189, 99, 60)]
[(-14689, 3520, -7165), (189, 99, 60)]
[(-14689, 3520, -7165), (189, 99, 60)]
[(-14689, 3520, -7165), (189, 99, 60)]
[(-14672, 3535, -7191), (136, 127, 90)]
[(-14672, 3535, -7191), (136, 127, 90)]
[(-14672, 3535, -7191), (136, 127, 90)]
[(-14672, 3535, -7191), (136, 127, 90)]
[(-14672, 3535, -7191), (136, 127, 90)]
[(-14683, 3576, -7203), (60, 121, 74)]
[(-14683, 3576, -7203), (60, 121, 74)]
