[(-13812, 5204, -8065), (-203, 255, -42)]
[(-13794, 5175, -8090), (-248, 300, -84)]
[(-13794, 5175, -8090), (-248, 300, -84)]
[(-13794, 5175, -8090), (-248, 300, -84)]
[(-13794, 5175, -8090), (-248, 300, -84)]
[(-13792, 5188, -8116), (-328, 398, -114)]
[(-13792, 5188, -8116), (-328, 398, -114)]
[(-13792, 5188, -8116), (-328, 398, -114)]
[(-13792, 5188, -8116), (-328, 398, -114)]
[(-13792, 5188, -8116), (-328, 398, -114)]
[(-13752, 5192, -8192), (-521, 613, -190)]
[(-13752, 5192, -8192), (-521, 613, -190)]
[(-13752, 5192, -8192), (-521, 613, -190)]
[(-13752, 5192, -8192), (-521, 613, -190)]
[(-13752, 5192, -8192), (-521, 613, -190)]
[(-13752, 5192, -8192), (-521, 613, -190)]
[(-13752, 5192, -8192), (-521, 613, -190)]
[(-13752, 5192, -8192), (-521, 613, -190)]
[(-13750, 5182, -8214), (-798, 861, -304)]
[(-13750, 5182, -8214), (-798, 861, -304)]
[(-13750, 5182, -8214), (-798, 861, -304)]
[(-13750, 5182, -8214), (-798, 861, -304)]
[(-13750, 5182, -8214), (-798, 861, -304)]
[(-13726, 5133, -8182), (-642, 658, -263)]
[(-13726, 5133, -8182), (-642, 658, -263)]
[(-13726, 5133, -8182), (-642, 658, -263)]
[(-13726, 5133, -8182), (-642, 658, -263)]
[(-13726, 5133, -8182), (-642, 658, -263)]
[(-13765, 5068, -8166), (511, -242, 317)]
[(-13765, 5068, -8166), (511, -242, 317)]
[(-13765, 5068, -8166), (511, -242, 317)]
[(-13765, 5068, -8166), (511, -242, 317)]
[(-13765, 5068, -8166), (511, -242, 317)]
[(-13765, 5068, -8166), (511, -242, 317)]
[(-13765, 5068, -8166), (511, -242, 317)]
[(-13765, 5068, -8166), (511, -242, 317)]
[(-13727, 5080, -8160), (686, -349, 472)]
[(-13727, 5080, -8160), (686, -349, 472)]
[(-13727, 5080, -8160), (686, -349, 472)]
[(-13727, 5080, -8160), (686, -349, 472)]
[(-13727, 5080, -8160), (686, -349, 472)]
[(-13726, 5083, -8158), (631, -201, 415)]
[(-13726, 5083, -8158), (631, -201, 415)]
[(-13726, 5083, -8158), (631, -201, 415)]
[(-13726, 5083, -8158), (631, -201, 415)]
[(-13726, 5083, -8158), (631, -201, 415)]
[(-13726, 5083, -8158), (631, -201, 415)]
[(-13756, 5110, -8156), (384, -126, 266)]
[(-13756, 5110, -8156), (384, -126, 266)]
[(-13756, 5110, -8156), (384, -126, 266)]
[(-13756, 5110, -8156), (384, -126, 266)]
[(-13756, 5110, -8156), (384, -126, 266)]
[(-13756, 5110, -8156), (384, -126, 266)]
[(-13756, 5110, -8156), (384, -126, 266)]
[(-13764, 5088, -8147), (-22, 253, 92)]
[(-13764, 5088, -8147), (-22, 253, 92)]
[(-13764, 5088, -8147), (-22, 253, 92)]
[(-13764, 5088, -8147), (-22, 253, 92)]
[(-13764, 5088, -8147), (-22, 253, 92)]
[(-13765, 5120, -8173), (-110, 284, 55)]
[(-13765, 5120, -8173), (-110, 284, 55)]
[(-13765, 5120, -8173), (-110, 284, 55)]
[(-13765, 5120, -8173), (-110, 284, 55)]
[(-13720, 5127, -8160), (-177, 269, 3)]
[(-13720, 5127, -8160), (-177, 269, 3)]
[(-13720, 5127, -8160), (-177, 269, 3)]
[(-13720, 5127, -8160), (-177, 269, 3)]
[(-13720, 5127, -8160), (-177, 269, 3)]
[(-13720, 5127, -8160), (-177, 269, 3)]
[(-13720, 5127, -8160), (-177, 269, 3)]
[(-13689, 5100, -8177), (-130, 165, 64)]
[(-13689, 5100, -8177), (-130, 165, 64)]
[(-13689, 5100, -8177), (-130, 165, 64)]
[(-13689, 5100, -8177), (-130, 165, 64)]
[(-13689, 5100, -8177), (-130, 165, 64)]
[(-13696, 5109, -8208), (23, 80, 79)]
[(-13696, 5109, -8208), (23, 80, 79)]
[(-13696, 5109, -8208), (23, 80, 79)]
[(-13696, 5109, -8208), (23, 80, 79)]
[(-13696, 5109, -8208), (23, 80, 79)]
[(-13696, 5109, -8208), (23, 80, 79)]
[(-13711, 5093, -8219), (252, -83, 166)]
[(-13711, 5093, -8219), (252, -83, 166)]
[(-13711, 5093, -8219), (252, -83, 166)]
[(-13711, 5093, -8219), (252, -83, 166)]
[(-13711, 5093, -8219), (252, -83, 166)]
