[(-14192, 4153, -7794), (41, -11, 77)]
[(-14209, 4187, -7753), (5, 22, 63)]
[(-14208, 4159, -7720), (-26, 65, 56)]
[(-14208, 4159, -7720), (-26, 65, 56)]
[(-14208, 4159, -7720), (-26, 65, 56)]
[(-14208, 4159, -7720), (-26, 65, 56)]
[(-14208, 4159, -7720), (-26, 65, 56)]
[(-14213, 4176, -7684), (2, 72, 57)]
[(-14213, 4176, -7684), (2, 72, 57)]
[(-14213, 4176, -7684), (2, 72, 57)]
[(-14213, 4176, -7684), (2, 72, 57)]
[(-14213, 4176, -7684), (2, 72, 57)]
[(-14213, 4176, -7684), (2, 72, 57)]
[(-14247, 4158, -7663), (132, 1, 113)]
[(-14247, 4158, -7663), (132, 1, 113)]
[(-14247, 4158, -7663), (132, 1, 113)]
[(-14247, 4158, -7663), (132, 1, 113)]
[(-14247, 4158, -7663), (132, 1, 113)]
[(-14330, 4208, -7549), (504, -239, 229)]
[(-14330, 4208, -7549), (504, -239, 229)]
[(-14330, 4208, -7549), (504, -239, 229)]
[(-14330, 4208, -7549), (504, -239, 229)]
[(-14330, 4208, -7549), (504, -239, 229)]
[(-14330, 4208, -7549), (504, -239, 229)]
[(-14330, 4208, -7549), (504, -239, 229)]
[(-14330, 4208, -7549), (504, -239, 229)]
[(-14330, 4208, -7549), (504, -239, 229)]
[(-14330, 4208, -7549), (504, -239, 229)]
[(-14336, 4346, -7551), (508, -25, 216)]
[(-14336, 4346, -7551), (508, -25, 216)]
[(-14336, 4346, -7551), (508, -25, 216)]
[(-14336, 4346, -7551), (508, -25, 216)]
[(-14336, 4346, -7551), (508, -25, 216)]
[(-14432, 4398, -7468), (-627, 1428, -145)]
[(-14432, 4398, -7468), (-627, 1428, -145)]
[(-14432, 4398, -7468), (-627, 1428, -145)]
[(-14432, 4398, -7468), (-627, 1428, -145)]
[(-14417, 4159, -7600), (-878, 1185, -146)]
[(-14417, 4159, -7600), (-878, 1185, -146)]
[(-14417, 4159, -7600), (-878, 1185, -146)]
[(-14417, 4159, -7600), (-878, 1185, -146)]
[(-14417, 4159, -7600), (-878, 1185, -146)]
[(-14417, 4159, -7600), (-878, 1185, -146)]
[(-14417, 4159, -7600), (-878, 1185, -146)]
[(-14283, 4170, -7746), (-739, 1011, -207)]
[(-14283, 4170, -7746), (-739, 1011, -207)]
[(-14283, 4170, -7746), (-739, 1011, -207)]
[(-14283, 4170, -7746), (-739, 1011, -207)]
[(-14283, 4170, -7746), (-739, 1011, -207)]
[(-14283, 4170, -7746), (-739, 1011, -207)]
[(-14283, 4170, -7746), (-739, 1011, -207)]
[(-14362, 4204, -7761), (357, -399, 247)]
[(-14362, 4204, -7761), (357, -399, 247)]
[(-14362, 4204, -7761), (357, -399, 247)]
[(-14362, 4204, -7761), (357, -399, 247)]
[(-14286, 4276, -7756), (639, -418, 352)]
[(-14286, 4276, -7756), (639, -418, 352)]
[(-14286, 4276, -7756), (639, -418, 352)]
[(-14286, 4276, -7756), (639, -418, 352)]
[(-14286, 4276, -7756), (639, -418, 352)]
[(-14286, 4276, -7756), (639, -418, 352)]
[(-14286, 4276, -7756), (639, -418, 352)]
[(-14293, 4218, -7763), (502, -224, 262)]
[(-14293, 4218, -7763), (502, -224, 262)]
[(-14293, 4218, -7763), (502, -224, 262)]
[(-14293, 4218, -7763), (502, -224, 262)]
[(-14285, 4218, -7756), (335, -84, 182)]
[(-14285, 4218, -7756), (335, -84, 182)]
[(-14285, 4218, -7756), (335, -84, 182)]
[(-14285, 4218, -7756), (335, -84, 182)]
[(-14285, 4218, -7756), (335, -84, 182)]
[(-14285, 4218, -7756), (335, -84, 182)]
[(-14263, 4209, -7766), (202, -16, 171)]
[(-14263, 4209, -7766), (202, -16, 171)]
[(-14263, 4209, -7766), (202, -16, 171)]
[(-14263, 4209, -7766), (202, -16, 171)]
[(-14263, 4209, -7766), (202, -16, 171)]
[(-14263, 4209, -7766), (202, -16, 171)]
[(-14263, 4209, -7766), (202, -16, 171)]
[(-14268, 4232, -7720), (76, 21, 127)]
[(-14268, 4232, -7720), (76, 21, 127)]
[(-14268, 4232, -7720), (76, 21, 127)]
[(-14268, 4232, -7720), (76, 21, 127)]
[(-14268, 4232, -7720), (76, 21, 127)]
[(-14254, 4205, -7712), (25, 67, 102)]
