[(-15678, 1642, -4758), (-65, 138, 51)]
[(-15668, 1632, -4752), (-84, 157, 70)]
[(-15668, 1632, -4752), (-84, 157, 70)]
[(-15668, 1632, -4752), (-84, 157, 70)]
[(-15668, 1632, -4752), (-84, 157, 70)]
[(-15668, 1632, -4752), (-84, 157, 70)]
[(-15660, 1662, -4753), (-91, 173, 76)]
[(-15660, 1662, -4753), (-91, 173, 76)]
[(-15660, 1662, -4753), (-91, 173, 76)]
[(-15660, 1662, -4753), (-91, 173, 76)]
[(-15660, 1662, -4753), (-91, 173, 76)]
[(-15651, 1668, -4739), (-77, 177, 76)]
[(-15651, 1668, -4739), (-77, 177, 76)]
[(-15651, 1668, -4739), (-77, 177, 76)]
[(-15651, 1668, -4739), (-77, 177, 76)]
[(-15651, 1668, -4739), (-77, 177, 76)]
[(-15651, 1668, -4739), (-77, 177, 76)]
[(-15651, 1668, -4739), (-77, 177, 76)]
[(-15651, 1668, -4739), (-77, 177, 76)]
[(-15646, 1668, -4732), (-174, 236, 58)]
[(-15646, 1668, -4732), (-174, 236, 58)]
[(-15646, 1668, -4732), (-174, 236, 58)]
[(-15646, 1668, -4732), (-174, 236, 58)]
[(-15646, 1668, -4732), (-174, 236, 58)]
[(-15671, 1732, -4720), (-386, 430, 55)]
[(-15671, 1732, -4720), (-386, 430, 55)]
[(-15671, 1732, -4720), (-386, 430, 55)]
[(-15671, 1732, -4720), (-386, 430, 55)]
[(-15671, 1732, -4720), (-386, 430, 55)]
[(-15671, 1732, -4720), (-386, 430, 55)]
[(-15612, 1735, -4828), (-591, 928, 111)]
[(-15612, 1735, -4828), (-591, 928, 111)]
[(-15612, 1735, -4828), (-591, 928, 111)]
[(-15612, 1735, -4828), (-591, 928, 111)]
[(-15612, 1735, -4828), (-591, 928, 111)]
[(-15612, 1735, -4828), (-591, 928, 111)]
[(-15612, 1735, -4828), (-591, 928, 111)]
[(-15594, 1799, -4940), (-663, 957, 196)]
[(-15594, 1799, -4940), (-663, 957, 196)]
[(-15594, 1799, -4940), (-663, 957, 196)]
[(-15594, 1799, -4940), (-663, 957, 196)]
[(-15594, 1799, -4940), (-663, 957, 196)]
[(-15576, 1863, -5083), (-591, 783, 113)]
[(-15576, 1863, -5083), (-591, 783, 113)]
[(-15576, 1863, -5083), (-591, 783, 113)]
[(-15576, 1863, -5083), (-591, 783, 113)]
[(-15576, 1863, -5083), (-591, 783, 113)]
[(-15576, 1863, -5083), (-591, 783, 113)]
[(-15553, 1900, -5264), (-541, 594, 62)]
[(-15553, 1900, -5264), (-541, 594, 62)]
[(-15553, 1900, -5264), (-541, 594, 62)]
[(-15553, 1900, -5264), (-541, 594, 62)]
[(-15553, 1900, -5264), (-541, 594, 62)]
[(-15553, 1900, -5264), (-541, 594, 62)]
[(-15553, 1900, -5264), (-541, 594, 62)]
[(-15497, 1910, -5364), (-396, 323, 1)]
[(-15497, 1910, -5364), (-396, 323, 1)]
[(-15497, 1910, -5364), (-396, 323, 1)]
[(-15497, 1910, -5364), (-396, 323, 1)]
[(-15497, 1910, -5364), (-396, 323, 1)]
[(-15577, 1880, -5446), (430, -556, -114)]
[(-15577, 1880, -5446), (430, -556, -114)]
[(-15577, 1880, -5446), (430, -556, -114)]
[(-15577, 1880, -5446), (430, -556, -114)]
[(-15577, 1880, -5446), (430, -556, -114)]
[(-15577, 1880, -5446), (430, -556, -114)]
[(-15577, 1880, -5224), (623, -480, -44)]
[(-15577, 1880, -5224), (623, -480, -44)]
[(-15577, 1880, -5224), (623, -480, -44)]
[(-15577, 1880, -5224), (623, -480, -44)]
[(-15577, 1880, -5224), (623, -480, -44)]
[(-15577, 1880, -5224), (623, -480, -44)]
[(-15577, 1880, -5224), (623, -480, -44)]
[(-15574, 1869, -5150), (512, -345, 32)]
[(-15574, 1869, -5150), (512, -345, 32)]
[(-15574, 1869, -5150), (512, -345, 32)]
[(-15574, 1869, -5150), (512, -345, 32)]
[(-15574, 1869, -5150), (512, -345, 32)]
[(-15583, 1846, -5090), (357, -250, 70)]
[(-15583, 1846, -5090), (357, -250, 70)]
[(-15583, 1846, -5090), (357, -250, 70)]
[(-15583, 1846, -5090), (357, -250, 70)]
