[(-15756, 897, -4377), (334, 1, -1)]
[(-15770, 875, -4367), (192, 75, 13)]
[(-15770, 875, -4367), (192, 75, 13)]
[(-15762, 837, -4331), (54, 213, 65)]
[(-15762, 837, -4331), (54, 213, 65)]
[(-15762, 837, -4331), (54, 213, 65)]
[(-15762, 837, -4331), (54, 213, 65)]
[(-15762, 837, -4331), (54, 213, 65)]
[(-15762, 837, -4331), (54, 213, 65)]
[(-15792, 860, -4304), (165, 190, 40)]
[(-15792, 860, -4304), (165, 190, 40)]
[(-15792, 860, -4304), (165, 190, 40)]
[(-15792, 860, -4304), (165, 190, 40)]
[(-15792, 860, -4304), (165, 190, 40)]
[(-15788, 867, -4313), (17, 156, 19)]
[(-15788, 867, -4313), (17, 156, 19)]
[(-15788, 867, -4313), (17, 156, 19)]
[(-15788, 867, -4313), (17, 156, 19)]
[(-15788, 867, -4313), (17, 156, 19)]
[(-15788, 867, -4313), (17, 156, 19)]
[(-15788, 867, -4313), (17, 156, 19)]
[(-15788, 862, -4342), (-4, 154, 44)]
[(-15788, 862, -4342), (-4, 154, 44)]
[(-15788, 862, -4342), (-4, 154, 44)]
[(-15788, 862, -4342), (-4, 154, 44)]
[(-15788, 862, -4342), (-4, 154, 44)]
[(-15788, 862, -4342), (-4, 154, 44)]
[(-15799, 874, -4328), (-36, 165, 43)]
[(-15799, 874, -4328), (-36, 165, 43)]
[(-15799, 874, -4328), (-36, 165, 43)]
[(-15799, 874, -4328), (-36, 165, 43)]
[(-15799, 874, -4328), (-36, 165, 43)]
[(-15804, 873, -4364), (-72, 162, 48)]
[(-15804, 873, -4364), (-72, 162, 48)]
[(-15804, 873, -4364), (-72, 162, 48)]
[(-15804, 873, -4364), (-72, 162, 48)]
[(-15804, 873, -4364), (-72, 162, 48)]
[(-15804, 873, -4364), (-72, 162, 48)]
[(-15804, 873, -4364), (-72, 162, 48)]
[(-15804, 873, -4364), (-72, 162, 48)]
[(-15798, 880, -4359), (-93, 170, 36)]
[(-15798, 880, -4359), (-93, 170, 36)]
[(-15798, 880, -4359), (-93, 170, 36)]
[(-15798, 880, -4359), (-93, 170, 36)]
[(-15798, 880, -4359), (-93, 170, 36)]
[(-15817, 878, -4376), (0, 214, 28)]
[(-15817, 878, -4376), (0, 214, 28)]
[(-15817, 878, -4376), (0, 214, 28)]
[(-15817, 878, -4376), (0, 214, 28)]
[(-15817, 878, -4376), (0, 214, 28)]
[(-15830, 901, -4404), (8, 196, 71)]
[(-15830, 901, -4404), (8, 196, 71)]
[(-15830, 901, -4404), (8, 196, 71)]
[(-15830, 901, -4404), (8, 196, 71)]
[(-15830, 901, -4404), (8, 196, 71)]
[(-15830, 901, -4404), (8, 196, 71)]
[(-15830, 901, -4404), (8, 196, 71)]
[(-15830, 901, -4404), (8, 196, 71)]
[(-15828, 927, -4372), (-152, 180, 179)]
[(-15828, 927, -4372), (-152, 180, 179)]
[(-15828, 927, -4372), (-152, 180, 179)]
[(-15828, 927, -4372), (-152, 180, 179)]
[(-15828, 927, -4372), (-152, 180, 179)]
[(-15797, 985, -4341), (-213, 291, 229)]
[(-15797, 985, -4341), (-213, 291, 229)]
[(-15797, 985, -4341), (-213, 291, 229)]
[(-15788, 893, -4324), (29, 315, 51)]
[(-15788, 893, -4324), (29, 315, 51)]
[(-15788, 893, -4324), (29, 315, 51)]
[(-15788, 893, -4324), (29, 315, 51)]
[(-15788, 893, -4324), (29, 315, 51)]
[(-15788, 893, -4324), (29, 315, 51)]
[(-15778, 986, -4372), (135, 347, 81)]
[(-15778, 986, -4372), (135, 347, 81)]
[(-15778, 986, -4372), (135, 347, 81)]
[(-15778, 986, -4372), (135, 347, 81)]
[(-15778, 986, -4372), (135, 347, 81)]
[(-15778, 986, -4372), (135, 347, 81)]
[(-15768, 1060, -4414), (30, 349, 150)]
[(-15768, 1060, -4414), (30, 349, 150)]
[(-15768, 1060, -4414), (30, 349, 150)]
[(-15768, 1060, -4414), (30, 349, 150)]
[(-15768, 1060, -4414), (30, 349, 150)]
[(-15755, 1127, -4448), (-178, 397, 244)]
[(-15755, 1127, -4448), (-178, 397, 244)]
[(-15755, 1127, -4448), (-178, 397, 244)]
[(-15755, 1127, -4448), (-178, 397, 244)]
[(-15755, 1127, -4448), (-178, 397, 244)]
[(-15755, 1127, -4448), (-178, 397, 244)]
[(-15755, 1127, -4448), (-178, 397, 244)]
