[(-15715, 1537, -4324), (3, 103, 34)]
[(-15733, 1555, -4334), (-22, 137, 46)]
[(-15733, 1555, -4334), (-22, 137, 46)]
[(-15733, 1555, -4334), (-22, 137, 46)]
[(-15733, 1555, -4334), (-22, 137, 46)]
[(-15718, 1564, -4342), (-69, 175, 61)]
[(-15718, 1564, -4342), (-69, 175, 61)]
[(-15718, 1564, -4342), (-69, 175, 61)]
[(-15718, 1564, -4342), (-69, 175, 61)]
[(-15718, 1564, -4342), (-69, 175, 61)]
[(-15741, 1553, -4390), (-64, 137, 50)]
[(-15741, 1553, -4390), (-64, 137, 50)]
[(-15741, 1553, -4390), (-64, 137, 50)]
[(-15741, 1553, -4390), (-64, 137, 50)]
[(-15741, 1553, -4390), (-64, 137, 50)]
[(-15721, 1539, -4358), (-95, 100, 61)]
[(-15721, 1539, -4358), (-95, 100, 61)]
[(-15721, 1539, -4358), (-95, 100, 61)]
[(-15721, 1539, -4358), (-95, 100, 61)]
[(-15721, 1539, -4358), (-95, 100, 61)]
[(-15721, 1539, -4358), (-95, 100, 61)]
[(-15721, 1539, -4358), (-95, 100, 61)]
[(-15721, 1539, -4358), (-95, 100, 61)]
[(-15737, 1546, -4373), (-74, 142, 63)]
[(-15737, 1546, -4373), (-74, 142, 63)]
[(-15737, 1546, -4373), (-74, 142, 63)]
[(-15737, 1546, -4373), (-74, 142, 63)]
[(-15737, 1546, -4373), (-74, 142, 63)]
[(-15740, 1499, -4404), (-98, 83, 107)]
[(-15740, 1499, -4404), (-98, 83, 107)]
[(-15740, 1499, -4404), (-98, 83, 107)]
[(-15740, 1499, -4404), (-98, 83, 107)]
[(-15740, 1499, -4404), (-98, 83, 107)]
[(-15765, 1551, -4376), (-113, 81, 130)]
[(-15765, 1551, -4376), (-113, 81, 130)]
[(-15765, 1551, -4376), (-113, 81, 130)]
[(-15765, 1551, -4376), (-113, 81, 130)]
[(-15765, 1551, -4376), (-113, 81, 130)]
[(-15765, 1551, -4376), (-113, 81, 130)]
[(-15765, 1551, -4376), (-113, 81, 130)]
[(-15765, 1551, -4376), (-113, 81, 130)]
[(-15751, 1567, -4352), (-184, 110, 163)]
[(-15751, 1567, -4352), (-184, 110, 163)]
[(-15751, 1567, -4352), (-184, 110, 163)]
[(-15751, 1567, -4352), (-184, 110, 163)]
[(-15751, 1567, -4352), (-184, 110, 163)]
[(-15748, 1607, -4356), (-178, 129, 189)]
[(-15748, 1607, -4356), (-178, 129, 189)]
[(-15748, 1607, -4356), (-178, 129, 189)]
[(-15748, 1607, -4356), (-178, 129, 189)]
[(-15748, 1607, -4356), (-178, 129, 189)]
[(-15748, 1607, -4356), (-178, 129, 189)]
[(-15755, 1696, -4384), (-237, 140, 204)]
[(-15755, 1696, -4384), (-237, 140, 204)]
[(-15755, 1696, -4384), (-237, 140, 204)]
[(-15755, 1696, -4384), (-237, 140, 204)]
[(-15755, 1696, -4384), (-237, 140, 204)]
[(-15755, 1696, -4384), (-237, 140, 204)]
[(-15755, 1696, -4384), (-237, 140, 204)]
[(-15740, 1861, -4337), (-332, 164, 234)]
[(-15740, 1861, -4337), (-332, 164, 234)]
[(-15740, 1861, -4337), (-332, 164, 234)]
[(-15687, 1824, -4390), (-174, 247, 129)]
[(-15687, 1824, -4390), (-174, 247, 129)]
[(-15687, 1824, -4390), (-174, 247, 129)]
[(-15687, 1824, -4390), (-174, 247, 129)]
[(-15687, 1824, -4390), (-174, 247, 129)]
[(-15697, 1723, -4396), (-99, 312, 79)]
[(-15697, 1723, -4396), (-99, 312, 79)]
[(-15697, 1723, -4396), (-99, 312, 79)]
[(-15697, 1723, -4396), (-99, 312, 79)]
[(-15697, 1723, -4396), (-99, 312, 79)]
[(-15697, 1723, -4396), (-99, 312, 79)]
[(-15692, 1754, -4432), (13, 314, -34)]
[(-15692, 1754, -4432), (13, 314, -34)]
[(-15692, 1754, -4432), (13, 314, -34)]
[(-15692, 1754, -4432), (13, 314, -34)]
[(-15692, 1754, -4432), (13, 314, -34)]
[(-15692, 1754, -4432), (13, 314, -34)]
[(-15692, 1754, -4432), (13, 314, -34)]
[(-15681, 1722, -4520), (153, 313, -4)]
[(-15681, 1722, -4520), (153, 313, -4)]
[(-15681, 1722, -4520), (153, 313, -4)]
[(-15681, 1722, -4520), (153, 313, -4)]
[(-15681, 1722, -4520), (153, 313, -4)]
