[(-15704, 1687, -4360), (-148, 141, 46)]
[(-15715, 1695, -4351), (-150, 131, 61)]
[(-15715, 1695, -4351), (-150, 131, 61)]
[(-15715, 1695, -4351), (-150, 131, 61)]
[(-15725, 1718, -4350), (-147, 148, 63)]
[(-15725, 1718, -4350), (-147, 148, 63)]
[(-15725, 1718, -4350), (-147, 148, 63)]
[(-15725, 1718, -4350), (-147, 148, 63)]
[(-15725, 1718, -4350), (-147, 148, 63)]
[(-15725, 1718, -4350), (-147, 148, 63)]
[(-15725, 1718, -4350), (-147, 148, 63)]
[(-15721, 1730, -4353), (-151, 153, 46)]
[(-15721, 1730, -4353), (-151, 153, 46)]
[(-15721, 1730, -4353), (-151, 153, 46)]
[(-15721, 1730, -4353), (-151, 153, 46)]
[(-15721, 1730, -4353), (-151, 153, 46)]
[(-15721, 1730, -4353), (-151, 153, 46)]
[(-15710, 1732, -4377), (-152, 163, 36)]
[(-15710, 1732, -4377), (-152, 163, 36)]
[(-15710, 1732, -4377), (-152, 163, 36)]
[(-15710, 1732, -4377), (-152, 163, 36)]
[(-15710, 1732, -4377), (-152, 163, 36)]
[(-15698, 1720, -4381), (-123, 192, 27)]
[(-15698, 1720, -4381), (-123, 192, 27)]
[(-15698, 1720, -4381), (-123, 192, 27)]
[(-15698, 1720, -4381), (-123, 192, 27)]
[(-15698, 1720, -4381), (-123, 192, 27)]
[(-15697, 1723, -4394), (-101, 164, 28)]
[(-15697, 1723, -4394), (-101, 164, 28)]
[(-15697, 1723, -4394), (-101, 164, 28)]
[(-15697, 1723, -4394), (-101, 164, 28)]
[(-15697, 1723, -4394), (-101, 164, 28)]
[(-15697, 1723, -4394), (-101, 164, 28)]
[(-15711, 1728, -4403), (-121, 168, 28)]
[(-15711, 1728, -4403), (-121, 168, 28)]
[(-15711, 1728, -4403), (-121, 168, 28)]
[(-15711, 1728, -4403), (-121, 168, 28)]
[(-15711, 1728, -4403), (-121, 168, 28)]
[(-15721, 1741, -4406), (-124, 172, 49)]
[(-15721, 1741, -4406), (-124, 172, 49)]
[(-15721, 1741, -4406), (-124, 172, 49)]
[(-15721, 1741, -4406), (-124, 172, 49)]
[(-15721, 1741, -4406), (-124, 172, 49)]
[(-15721, 1741, -4406), (-124, 172, 49)]
[(-15721, 1741, -4406), (-124, 172, 49)]
[(-15722, 1752, -4413), (-92, 176, 24)]
[(-15722, 1752, -4413), (-92, 176, 24)]
[(-15722, 1752, -4413), (-92, 176, 24)]
[(-15722, 1752, -4413), (-92, 176, 24)]
[(-15722, 1752, -4413), (-92, 176, 24)]
[(-15722, 1752, -4413), (-92, 176, 24)]
[(-15724, 1756, -4407), (-77, 181, 11)]
[(-15724, 1756, -4407), (-77, 181, 11)]
[(-15724, 1756, -4407), (-77, 181, 11)]
[(-15724, 1756, -4407), (-77, 181, 11)]
[(-15724, 1756, -4407), (-77, 181, 11)]
[(-15722, 1777, -4417), (-98, 181, 17)]
[(-15722, 1777, -4417), (-98, 181, 17)]
[(-15722, 1777, -4417), (-98, 181, 17)]
[(-15722, 1777, -4417), (-98, 181, 17)]
[(-15722, 1777, -4417), (-98, 181, 17)]
[(-15722, 1777, -4417), (-98, 181, 17)]
[(-15722, 1777, -4417), (-98, 181, 17)]
[(-15722, 1777, -4417), (-98, 181, 17)]
[(-15720, 1780, -4394), (-96, 194, 21)]
[(-15720, 1780, -4394), (-96, 194, 21)]
[(-15720, 1780, -4394), (-96, 194, 21)]
[(-15720, 1780, -4394), (-96, 194, 21)]
[(-15720, 1780, -4394), (-96, 194, 21)]
[(-15734, 1796, -4388), (-75, 180, 50)]
[(-15734, 1796, -4388), (-75, 180, 50)]
[(-15734, 1796, -4388), (-75, 180, 50)]
[(-15734, 1796, -4388), (-75, 180, 50)]
[(-15734, 1796, -4388), (-75, 180, 50)]
[(-15711, 1804, -4412), (-56, 189, 21)]
[(-15711, 1804, -4412), (-56, 189, 21)]
[(-15711, 1804, -4412), (-56, 189, 21)]
[(-15711, 1804, -4412), (-56, 189, 21)]
[(-15711, 1804, -4412), (-56, 189, 21)]
[(-15711, 1804, -4412), (-56, 189, 21)]
[(-15711, 1804, -4412), (-56, 189, 21)]
[(-15711, 1804, -4412), (-56, 189, 21)]
[(-15732, 1786, -4386), (-76, 188, 19)]
[(-15732, 1786, -4386), (-76, 188, 19)]
[(-15732, 1786, -4386), (-76, 188, 19)]
