[(-15504, 1529, -5520), (22, 223, 8)]
[(-15498, 1536, -5497), (-57, 190, 19)]
[(-15498, 1536, -5497), (-57, 190, 19)]
[(-15498, 1536, -5497), (-57, 190, 19)]
[(-15498, 1536, -5497), (-57, 190, 19)]
[(-15498, 1536, -5497), (-57, 190, 19)]
[(-15498, 1536, -5497), (-57, 190, 19)]
[(-15496, 1520, -5514), (-44, 180, 9)]
[(-15496, 1520, -5514), (-44, 180, 9)]
[(-15496, 1520, -5514), (-44, 180, 9)]
[(-15496, 1520, -5514), (-44, 180, 9)]
[(-15496, 1520, -5514), (-44, 180, 9)]
[(-15496, 1520, -5514), (-44, 180, 9)]
[(-15513, 1497, -5498), (-49, 192, 4)]
[(-15513, 1497, -5498), (-49, 192, 4)]
[(-15513, 1497, -5498), (-49, 192, 4)]
[(-15513, 1497, -5498), (-49, 192, 4)]
[(-15513, 1497, -5498), (-49, 192, 4)]
[(-15513, 1497, -5498), (-49, 192, 4)]
[(-15513, 1497, -5498), (-49, 192, 4)]
[(-15502, 1495, -5485), (-63, 192, 6)]
[(-15502, 1495, -5485), (-63, 192, 6)]
[(-15502, 1495, -5485), (-63, 192, 6)]
[(-15502, 1495, -5485), (-63, 192, 6)]
[(-15502, 1495, -5485), (-63, 192, 6)]
[(-15500, 1483, -5475), (-80, 194, 8)]
[(-15500, 1483, -5475), (-80, 194, 8)]
[(-15500, 1483, -5475), (-80, 194, 8)]
[(-15500, 1483, -5475), (-80, 194, 8)]
[(-15500, 1483, -5475), (-80, 194, 8)]
[(-15500, 1483, -5475), (-80, 194, 8)]
[(-15500, 1483, -5475), (-80, 194, 8)]
[(-15500, 1483, -5475), (-80, 194, 8)]
[(-15508, 1509, -5480), (-70, 196, 30)]
[(-15508, 1509, -5480), (-70, 196, 30)]
[(-15508, 1509, -5480), (-70, 196, 30)]
[(-15498, 1480, -5487), (-81, 183, 58)]
[(-15498, 1480, -5487), (-81, 183, 58)]
[(-15498, 1480, -5487), (-81, 183, 58)]
[(-15498, 1480, -5487), (-81, 183, 58)]
[(-15498, 1480, -5487), (-81, 183, 58)]
[(-15498, 1480, -5487), (-81, 183, 58)]
[(-15497, 1483, -5501), (-373, 349, 50)]
[(-15497, 1483, -5501), (-373, 349, 50)]
[(-15497, 1483, -5501), (-373, 349, 50)]
[(-15497, 1483, -5501), (-373, 349, 50)]
[(-15497, 1483, -5501), (-373, 349, 50)]
[(-15497, 1483, -5501), (-373, 349, 50)]
[(-15497, 1483, -5501), (-373, 349, 50)]
[(-15503, 1471, -5556), (-497, 781, 34)]
[(-15503, 1471, -5556), (-497, 781, 34)]
[(-15503, 1471, -5556), (-497, 781, 34)]
[(-15503, 1471, -5556), (-497, 781, 34)]
[(-15503, 1471, -5556), (-497, 781, 34)]
[(-15486, 1482, -5621), (-451, 875, 8)]
[(-15486, 1482, -5621), (-451, 875, 8)]
[(-15486, 1482, -5621), (-451, 875, 8)]
[(-15486, 1482, -5621), (-451, 875, 8)]
[(-15486, 1482, -5621), (-451, 875, 8)]
[(-15486, 1482, -5621), (-451, 875, 8)]
[(-15423, 1544, -5758), (-329, 713, 4)]
[(-15423, 1544, -5758), (-329, 713, 4)]
[(-15423, 1544, -5758), (-329, 713, 4)]
[(-15423, 1544, -5758), (-329, 713, 4)]
[(-15423, 1544, -5758), (-329, 713, 4)]
[(-15423, 1544, -5758), (-329, 713, 4)]
[(-15423, 1544, -5758), (-329, 713, 4)]
[(-15419, 1560, -5831), (-274, 633, 39)]
[(-15419, 1560, -5831), (-274, 633, 39)]
[(-15419, 1560, -5831), (-274, 633, 39)]
[(-15419, 1560, -5831), (-274, 633, 39)]
[(-15419, 1560, -5831), (-274, 633, 39)]
[(-15389, 1568, -5920), (-316, 513, 35)]
[(-15389, 1568, -5920), (-316, 513, 35)]
[(-15389, 1568, -5920), (-316, 513, 35)]
[(-15389, 1568, -5920), (-316, 513, 35)]
[(-15389, 1568, -5920), (-316, 513, 35)]
[(-15389, 1568, -5920), (-316, 513, 35)]
[(-15340, 1563, -5974), (-224, 465, 19)]
[(-15340, 1563, -5974), (-224, 465, 19)]
[(-15340, 1563, -5974), (-224, 465, 19)]
[(-15340, 1563, -5974), (-224, 465, 19)]
[(-15340, 1563, -5974), (-224, 465, 19)]
[(-15340, 1563, -5974), (-224, 465, 19)]
[(-15340, 1563, -5974), (-224, 465, 19)]
[(-15323, 1558, -6005), (-7, 274, 21)]
[(-15323, 1558, -6005), (-7, 274, 21)]
[(-15323, 1558, -6005), (-7, 274, 21)]
[(-15323, 1558, -6005), (-7, 274, 21)]
[(-15323, 1558, -6005), (-7, 274, 21)]
[(-15336, 1469, -5936), (282, 101, 85)]
[(-15336, 1469, -5936), (282, 101, 85)]
[(-15336, 1469, -5936), (282, 101, 85)]
[(-15336, 1469, -5936), (282, 101, 85)]
[(-15336, 1469, -5936), (282, 101, 85)]
[(-15336, 1469, -5936), (282, 101, 85)]
