[(-15668, 1256, -4815), (-116, 206, 4)]
[(-15655, 1260, -4824), (-127, 215, 11)]
[(-15655, 1260, -4824), (-127, 215, 11)]
[(-15701, 1248, -4827), (-76, 208, -8)]
[(-15701, 1248, -4827), (-76, 208, -8)]
[(-15701, 1248, -4827), (-76, 208, -8)]
[(-15701, 1248, -4827), (-76, 208, -8)]
[(-15701, 1248, -4827), (-76, 208, -8)]
[(-15701, 1248, -4827), (-76, 208, -8)]
[(-15697, 1243, -4817), (-99, 190, -12)]
[(-15697, 1243, -4817), (-99, 190, -12)]
[(-15697, 1243, -4817), (-99, 190, -12)]
[(-15697, 1243, -4817), (-99, 190, -12)]
[(-15697, 1243, -4817), (-99, 190, -12)]
[(-15697, 1243, -4817), (-99, 190, -12)]
[(-15697, 1243, -4817), (-99, 190, -12)]
[(-15698, 1266, -4798), (-97, 190, 4)]
[(-15698, 1266, -4798), (-97, 190, 4)]
[(-15698, 1266, -4798), (-97, 190, 4)]
[(-15698, 1266, -4798), (-97, 190, 4)]
[(-15698, 1266, -4798), (-97, 190, 4)]
[(-15694, 1271, -4810), (-150, 195, 10)]
[(-15694, 1271, -4810), (-150, 195, 10)]
[(-15694, 1271, -4810), (-150, 195, 10)]
[(-15694, 1271, -4810), (-150, 195, 10)]
[(-15694, 1271, -4810), (-150, 195, 10)]
[(-15694, 1271, -4810), (-150, 195, 10)]
[(-15704, 1251, -4807), (-287, 248, 12)]
[(-15704, 1251, -4807), (-287, 248, 12)]
[(-15704, 1251, -4807), (-287, 248, 12)]
[(-15704, 1251, -4807), (-287, 248, 12)]
[(-15704, 1251, -4807), (-287, 248, 12)]
[(-15704, 1251, -4807), (-287, 248, 12)]
[(-15704, 1251, -4807), (-287, 248, 12)]
[(-15704, 1251, -4807), (-287, 248, 12)]
[(-15704, 1251, -4807), (-287, 248, 12)]
[(-15702, 1248, -4814), (-175, 229, -5)]
[(-15702, 1248, -4814), (-175, 229, -5)]
[(-15702, 1248, -4814), (-175, 229, -5)]
[(-15673, 1248, -4823), (-417, 383, -28)]
[(-15673, 1248, -4823), (-417, 383, -28)]
[(-15673, 1248, -4823), (-417, 383, -28)]
[(-15673, 1248, -4823), (-417, 383, -28)]
[(-15673, 1248, -4823), (-417, 383, -28)]
[(-15673, 1248, -4823), (-417, 383, -28)]
[(-15650, 1272, -4831), (-451, 340, -37)]
[(-15650, 1272, -4831), (-451, 340, -37)]
[(-15650, 1272, -4831), (-451, 340, -37)]
[(-15650, 1272, -4831), (-451, 340, -37)]
[(-15650, 1272, -4831), (-451, 340, -37)]
[(-15650, 1272, -4831), (-451, 340, -37)]
[(-15650, 1272, -4831), (-451, 340, -37)]
[(-15641, 1296, -4848), (-489, 414, -47)]
[(-15641, 1296, -4848), (-489, 414, -47)]
[(-15641, 1296, -4848), (-489, 414, -47)]
[(-15641, 1296, -4848), (-489, 414, -47)]
[(-15641, 1296, -4848), (-489, 414, -47)]
[(-15636, 1308, -4876), (-415, 314, -38)]
[(-15636, 1308, -4876), (-415, 314, -38)]
[(-15636, 1308, -4876), (-415, 314, -38)]
[(-15636, 1308, -4876), (-415, 314, -38)]
[(-15636, 1308, -4876), (-415, 314, -38)]
[(-15636, 1308, -4876), (-415, 314, -38)]
[(-15637, 1262, -4975), (-61, 78, 24)]
[(-15637, 1262, -4975), (-61, 78, 24)]
[(-15637, 1262, -4975), (-61, 78, 24)]
[(-15637, 1262, -4975), (-61, 78, 24)]
[(-15637, 1262, -4975), (-61, 78, 24)]
[(-15637, 1262, -4975), (-61, 78, 24)]
[(-15637, 1262, -4975), (-61, 78, 24)]
[(-15582, 1280, -4969), (694, 159, 53)]
[(-15582, 1280, -4969), (694, 159, 53)]
[(-15582, 1280, -4969), (694, 159, 53)]
[(-15582, 1280, -4969), (694, 159, 53)]
[(-15582, 1280, -4969), (694, 159, 53)]
[(-15628, 1248, -4974), (619, 126, 14)]
[(-15628, 1248, -4974), (619, 126, 14)]
[(-15628, 1248, -4974), (619, 126, 14)]
[(-15628, 1248, -4974), (619, 126, 14)]
[(-15628, 1248, -4974), (619, 126, 14)]
[(-15628, 1248, -4974), (619, 126, 14)]
