[(-15822, 828, -4215), (-119, 181, -1)]
[(-15828, 827, -4201), (-89, 189, -4)]
[(-15828, 827, -4201), (-89, 189, -4)]
[(-15828, 827, -4201), (-89, 189, -4)]
[(-15828, 827, -4201), (-89, 189, -4)]
[(-15828, 844, -4188), (-103, 193, 5)]
[(-15828, 844, -4188), (-103, 193, 5)]
[(-15828, 844, -4188), (-103, 193, 5)]
[(-15828, 844, -4188), (-103, 193, 5)]
[(-15828, 844, -4188), (-103, 193, 5)]
[(-15850, 853, -4167), (-77, 223, 1)]
[(-15850, 853, -4167), (-77, 223, 1)]
[(-15850, 853, -4167), (-77, 223, 1)]
[(-15850, 853, -4167), (-77, 223, 1)]
[(-15850, 853, -4167), (-77, 223, 1)]
[(-15850, 853, -4167), (-77, 223, 1)]
[(-15830, 832, -4131), (264, 200, 26)]
[(-15830, 832, -4131), (264, 200, 26)]
[(-15830, 832, -4131), (264, 200, 26)]
[(-15830, 832, -4131), (264, 200, 26)]
[(-15830, 832, -4131), (264, 200, 26)]
[(-15830, 832, -4131), (264, 200, 26)]
[(-15830, 832, -4131), (264, 200, 26)]
[(-15772, 783, -4153), (910, 86, 72)]
[(-15772, 783, -4153), (910, 86, 72)]
[(-15772, 783, -4153), (910, 86, 72)]
[(-15772, 783, -4153), (910, 86, 72)]
[(-15772, 783, -4153), (910, 86, 72)]
[(-15770, 760, -4176), (947, 92, 103)]
[(-15770, 760, -4176), (947, 92, 103)]
[(-15770, 760, -4176), (947, 92, 103)]
[(-15770, 760, -4176), (947, 92, 103)]
[(-15770, 760, -4176), (947, 92, 103)]
[(-15770, 760, -4176), (947, 92, 103)]
[(-15768, 704, -4193), (1009, 146, 159)]
[(-15768, 704, -4193), (1009, 146, 159)]
[(-15768, 704, -4193), (1009, 146, 159)]
[(-15768, 704, -4193), (1009, 146, 159)]
[(-15768, 704, -4193), (1009, 146, 159)]
[(-15768, 704, -4193), (1009, 146, 159)]
[(-15768, 704, -4193), (1009, 146, 159)]
[(-15768, 704, -4193), (1009, 146, 159)]
[(-15768, 704, -4193), (1009, 146, 159)]
[(-15793, 775, -4192), (1087, 294, 249)]
