[(-15688, 944, -4895), (-130, 234, -4)]
[(-15656, 959, -4958), (15, 245, -12)]
[(-15656, 959, -4958), (15, 245, -12)]
[(-15670, 928, -4952), (6, 231, -22)]
[(-15670, 928, -4952), (6, 231, -22)]
[(-15670, 928, -4952), (6, 231, -22)]
[(-15670, 928, -4952), (6, 231, -22)]
[(-15670, 928, -4952), (6, 231, -22)]
[(-15670, 928, -4952), (6, 231, -22)]
[(-15670, 928, -4952), (6, 231, -22)]
[(-15670, 928, -4952), (6, 231, -22)]
[(-15624, 889, -4967), (14, 195, 3)]
[(-15624, 889, -4967), (14, 195, 3)]
[(-15624, 889, -4967), (14, 195, 3)]
[(-15624, 889, -4967), (14, 195, 3)]
[(-15624, 889, -4967), (14, 195, 3)]
[(-15595, 872, -4973), (-10, 189, 37)]
[(-15595, 872, -4973), (-10, 189, 37)]
[(-15595, 872, -4973), (-10, 189, 37)]
[(-15595, 872, -4973), (-10, 189, 37)]
[(-15595, 872, -4973), (-10, 189, 37)]
[(-15595, 872, -4973), (-10, 189, 37)]
[(-15619, 870, -4964), (54, 164, 51)]
[(-15619, 870, -4964), (54, 164, 51)]
[(-15619, 870, -4964), (54, 164, 51)]
[(-15619, 870, -4964), (54, 164, 51)]
[(-15619, 870, -4964), (54, 164, 51)]
[(-15619, 870, -4964), (54, 164, 51)]
[(-15619, 870, -4964), (54, 164, 51)]
[(-15609, 920, -4973), (122, 5, 63)]
[(-15609, 920, -4973), (122, 5, 63)]
[(-15609, 920, -4973), (122, 5, 63)]
[(-15609, 920, -4973), (122, 5, 63)]
[(-15609, 920, -4973), (122, 5, 63)]
[(-15622, 872, -4927), (56, 15, 179)]
[(-15622, 872, -4927), (56, 15, 179)]
[(-15622, 872, -4927), (56, 15, 179)]
[(-15622, 872, -4927), (56, 15, 179)]
[(-15622, 872, -4927), (56, 15, 179)]
[(-15622, 872, -4927), (56, 15, 179)]
[(-15641, 866, -4904), (22, 50, 208)]
[(-15641, 866, -4904), (22, 50, 208)]
[(-15641, 866, -4904), (22, 50, 208)]
[(-15641, 866, -4904), (22, 50, 208)]
[(-15641, 866, -4904), (22, 50, 208)]
[(-15641, 866, -4904), (22, 50, 208)]
[(-15641, 866, -4904), (22, 50, 208)]
[(-15648, 868, -4937), (32, 191, 178)]
[(-15648, 868, -4937), (32, 191, 178)]
[(-15648, 868, -4937), (32, 191, 178)]
[(-15648, 868, -4937), (32, 191, 178)]
[(-15648, 868, -4937), (32, 191, 178)]
[(-15648, 868, -4937), (32, 191, 178)]
[(-15643, 898, -5007), (-128, 480, -54)]
[(-15643, 898, -5007), (-128, 480, -54)]
[(-15643, 898, -5007), (-128, 480, -54)]
[(-15643, 898, -5007), (-128, 480, -54)]
[(-15643, 898, -5007), (-128, 480, -54)]
[(-15660, 876, -5065), (-149, 309, -84)]
[(-15660, 876, -5065), (-149, 309, -84)]
[(-15660, 876, -5065), (-149, 309, -84)]
[(-15660, 876, -5065), (-149, 309, -84)]
[(-15660, 876, -5065), (-149, 309, -84)]
[(-15660, 876, -5065), (-149, 309, -84)]
[(-15660, 876, -5065), (-149, 309, -84)]
[(-15667, 826, -5042), (-215, 277, -6)]
[(-15667, 826, -5042), (-215, 277, -6)]
[(-15667, 826, -5042), (-215, 277, -6)]
[(-15667, 826, -5042), (-215, 277, -6)]
[(-15667, 826, -5042), (-215, 277, -6)]
[(-15667, 826, -5042), (-215, 277, -6)]
[(-15669, 849, -5065), (-355, 278, 85)]
[(-15669, 849, -5065), (-355, 278, 85)]
[(-15669, 849, -5065), (-355, 278, 85)]
[(-15669, 849, -5065), (-355, 278, 85)]
[(-15669, 849, -5065), (-355, 278, 85)]
[(-15668, 832, -5028), (-263, 279, 123)]
[(-15668, 832, -5028), (-263, 279, 123)]
[(-15668, 832, -5028), (-263, 279, 123)]
[(-15668, 832, -5028), (-263, 279, 123)]
[(-15668, 832, -5028), (-263, 279, 123)]
[(-15668, 832, -5028), (-263, 279, 123)]
[(-15668, 832, -5028), (-263, 279, 123)]
[(-15639, 868, -5041), (-177, 269, 44)]
[(-15639, 868, -5041), (-177, 269, 44)]
[(-15639, 868, -5041), (-177, 269, 44)]
[(-15639, 868, -5041), (-177, 269, 44)]
[(-15639, 868, -5041), (-177, 269, 44)]
[(-15654, 868, -5041), (-177, 273, 72)]
[(-15654, 868, -5041), (-177, 273, 72)]
[(-15654, 868, -5041), (-177, 273, 72)]
[(-15654, 868, -5041), (-177, 273, 72)]
[(-15632, 938, -5086), (-177, 245, 116)]
[(-15632, 938, -5086), (-177, 245, 116)]
[(-15632, 938, -5086), (-177, 245, 116)]
[(-15632, 938, -5086), (-177, 245, 116)]
[(-15632, 938, -5086), (-177, 245, 116)]
[(-15632, 938, -5086), (-177, 245, 116)]
[(-15632, 938, -5086), (-177, 245, 116)]
[(-15621, 924, -5051), (-244, 221, 93)]
[(-15621, 924, -5051), (-244, 221, 93)]
[(-15621, 924, -5051), (-244, 221, 93)]
[(-15621, 924, -5051), (-244, 221, 93)]
[(-15621, 924, -5051), (-244, 221, 93)]
[(-15604, 944, -5108), (-96, 204, 56)]
[(-15604, 944, -5108), (-96, 204, 56)]
[(-15604, 944, -5108), (-96, 204, 56)]
[(-15604, 944, -5108), (-96, 204, 56)]
[(-15604, 944, -5108), (-96, 204, 56)]
[(-15604, 944, -5108), (-96, 204, 56)]
[(-15601, 965, -5094), (-213, 260, 131)]
[(-15601, 965, -5094), (-213, 260, 131)]
[(-15601, 965, -5094), (-213, 260, 131)]
