[(-15479, 1052, -5579), (-88, 163, -13)]
[(-15473, 1068, -5552), (-84, 158, -8)]
[(-15473, 1068, -5552), (-84, 158, -8)]
[(-15473, 1068, -5552), (-84, 158, -8)]
[(-15473, 1068, -5552), (-84, 158, -8)]
[(-15473, 1068, -5552), (-84, 158, -8)]
[(-15485, 1064, -5557), (-70, 121, 7)]
[(-15485, 1064, -5557), (-70, 121, 7)]
[(-15485, 1064, -5557), (-70, 121, 7)]
[(-15485, 1064, -5557), (-70, 121, 7)]
[(-15496, 1046, -5552), (-91, 99, -7)]
[(-15496, 1046, -5552), (-91, 99, -7)]
[(-15496, 1046, -5552), (-91, 99, -7)]
[(-15496, 1046, -5552), (-91, 99, -7)]
[(-15496, 1046, -5552), (-91, 99, -7)]
[(-15496, 1046, -5552), (-91, 99, -7)]
[(-15496, 1046, -5552), (-91, 99, -7)]
[(-15496, 1046, -5552), (-91, 99, -7)]
[(-15496, 1046, -5552), (-91, 99, -7)]
[(-15482, 1018, -5549), (-40, 20, -1)]
[(-15482, 1018, -5549), (-40, 20, -1)]
[(-15482, 1018, -5549), (-40, 20, -1)]
[(-15482, 1018, -5549), (-40, 20, -1)]
[(-15473, 1024, -5517), (10, 28, 33)]
[(-15473, 1024, -5517), (10, 28, 33)]
[(-15473, 1024, -5517), (10, 28, 33)]
[(-15473, 1024, -5517), (10, 28, 33)]
[(-15473, 1024, -5517), (10, 28, 33)]
[(-15498, 1022, -5511), (40, 75, 156)]
[(-15498, 1022, -5511), (40, 75, 156)]
[(-15498, 1022, -5511), (40, 75, 156)]
[(-15498, 1022, -5511), (40, 75, 156)]
[(-15498, 1022, -5511), (40, 75, 156)]
[(-15498, 1022, -5511), (40, 75, 156)]
[(-15498, 1022, -5511), (40, 75, 156)]
[(-15518, 1021, -5487), (129, 103, 281)]
[(-15518, 1021, -5487), (129, 103, 281)]
[(-15518, 1021, -5487), (129, 103, 281)]
[(-15518, 1021, -5487), (129, 103, 281)]
[(-15518, 1021, -5487), (129, 103, 281)]
[(-15518, 1021, -5487), (129, 103, 281)]
[(-15523, 986, -5479), (44, 491, 255)]
[(-15523, 986, -5479), (44, 491, 255)]
[(-15523, 986, -5479), (44, 491, 255)]
[(-15523, 986, -5479), (44, 491, 255)]
[(-15523, 986, -5479), (44, 491, 255)]
[(-15523, 986, -5479), (44, 491, 255)]
[(-15523, 986, -5479), (44, 491, 255)]
[(-15436, 1170, -5578), (201, 291, -333)]
[(-15436, 1170, -5578), (201, 291, -333)]
[(-15436, 1170, -5578), (201, 291, -333)]
[(-15436, 1170, -5578), (201, 291, -333)]
[(-15436, 1170, -5578), (201, 291, -333)]
[(-15458, 1141, -5593), (99, 241, -117)]
[(-15458, 1141, -5593), (99, 241, -117)]
[(-15458, 1141, -5593), (99, 241, -117)]
[(-15458, 1141, -5593), (99, 241, -117)]
[(-15458, 1141, -5593), (99, 241, -117)]
[(-15458, 1141, -5593), (99, 241, -117)]
[(-15495, 1114, -5582), (-29, 273, -31)]
[(-15495, 1114, -5582), (-29, 273, -31)]
[(-15495, 1114, -5582), (-29, 273, -31)]
[(-15495, 1114, -5582), (-29, 273, -31)]
[(-15495, 1114, -5582), (-29, 273, -31)]
[(-15484, 1187, -5550), (-166, 261, 116)]
[(-15484, 1187, -5550), (-166, 261, 116)]
[(-15484, 1187, -5550), (-166, 261, 116)]
[(-15484, 1187, -5550), (-166, 261, 116)]
[(-15484, 1187, -5550), (-166, 261, 116)]
[(-15484, 1187, -5550), (-166, 261, 116)]
[(-15483, 1151, -5533), (-260, 316, 4)]
[(-15483, 1151, -5533), (-260, 316, 4)]
[(-15483, 1151, -5533), (-260, 316, 4)]
[(-15483, 1151, -5533), (-260, 316, 4)]
[(-15483, 1151, -5533), (-260, 316, 4)]
[(-15483, 1151, -5533), (-260, 316, 4)]
[(-15483, 1151, -5533), (-260, 316, 4)]
[(-15511, 1158, -5531), (-279, 294, -47)]
[(-15511, 1158, -5531), (-279, 294, -47)]
[(-15511, 1158, -5531), (-279, 294, -47)]
[(-15511, 1158, -5531), (-279, 294, -47)]
[(-15511, 1158, -5531), (-279, 294, -47)]
[(-15488, 1172, -5545), (-211, 247, 22)]
[(-15488, 1172, -5545), (-211, 247, 22)]
[(-15488, 1172, -5545), (-211, 247, 22)]
[(-15488, 1172, -5545), (-211, 247, 22)]
[(-15497, 1153, -5562), (-218, 266, -23)]
[(-15497, 1153, -5562), (-218, 266, -23)]
[(-15497, 1153, -5562), (-218, 266, -23)]
[(-15497, 1153, -5562), (-218, 266, -23)]
[(-15497, 1153, -5562), (-218, 266, -23)]
[(-15497, 1153, -5562), (-218, 266, -23)]
[(-15497, 1153, -5562), (-218, 266, -23)]
[(-15497, 1153, -5562), (-218, 266, -23)]
[(-15497, 1153, -5562), (-218, 266, -23)]
[(-15492, 1180, -5572), (-94, 255, -72)]
[(-15492, 1180, -5572), (-94, 255, -72)]
[(-15492, 1180, -5572), (-94, 255, -72)]
[(-15492, 1180, -5572), (-94, 255, -72)]
[(-15471, 1126, -5594), (-164, 238, 43)]
[(-15471, 1126, -5594), (-164, 238, 43)]
[(-15471, 1126, -5594), (-164, 238, 43)]
[(-15471, 1126, -5594), (-164, 238, 43)]
[(-15471, 1126, -5594), (-164, 238, 43)]
[(-15471, 1126, -5594), (-164, 238, 43)]
[(-15493, 1207, -5576), (-167, 260, 78)]
[(-15493, 1207, -5576), (-167, 260, 78)]
[(-15493, 1207, -5576), (-167, 260, 78)]
