[(-14006, 7475, -4552), (-151, 130, 0)]
[(-14000, 7501, -4557), (-120, 125, -12)]
[(-14000, 7501, -4557), (-120, 125, -12)]
[(-13998, 7493, -4563), (-95, 102, 5)]
[(-13998, 7493, -4563), (-95, 102, 5)]
[(-13998, 7493, -4563), (-95, 102, 5)]
[(-13998, 7493, -4563), (-95, 102, 5)]
[(-13998, 7493, -4563), (-95, 102, 5)]
[(-14000, 7494, -4523), (-106, 9, 66)]
[(-14000, 7494, -4523), (-106, 9, 66)]
[(-14000, 7494, -4523), (-106, 9, 66)]
[(-14000, 7494, -4523), (-106, 9, 66)]
[(-14000, 7494, -4523), (-106, 9, 66)]
[(-14000, 7494, -4523), (-106, 9, 66)]
[(-14000, 7494, -4523), (-106, 9, 66)]
[(-14019, 7475, -4528), (-107, 79, 96)]
[(-14019, 7475, -4528), (-107, 79, 96)]
[(-14019, 7475, -4528), (-107, 79, 96)]
[(-14019, 7475, -4528), (-107, 79, 96)]
[(-14019, 7475, -4528), (-107, 79, 96)]
[(-14019, 7475, -4528), (-107, 79, 96)]
[(-14108, 7594, -4486), (-163, -3, 248)]
[(-14108, 7594, -4486), (-163, -3, 248)]
[(-14108, 7594, -4486), (-163, -3, 248)]
[(-14108, 7594, -4486), (-163, -3, 248)]
[(-14108, 7594, -4486), (-163, -3, 248)]
[(-14072, 7563, -4468), (-164, 19, 266)]
[(-14072, 7563, -4468), (-164, 19, 266)]
[(-14072, 7563, -4468), (-164, 19, 266)]
[(-14072, 7563, -4468), (-164, 19, 266)]
[(-14072, 7563, -4468), (-164, 19, 266)]
[(-14035, 7564, -4477), (-144, 104, 201)]
[(-14035, 7564, -4477), (-144, 104, 201)]
[(-14035, 7564, -4477), (-144, 104, 201)]
[(-14035, 7564, -4477), (-144, 104, 201)]
[(-14035, 7564, -4477), (-144, 104, 201)]
[(-14035, 7564, -4477), (-144, 104, 201)]
[(-14035, 7564, -4477), (-144, 104, 201)]
[(-14035, 7564, -4477), (-144, 104, 201)]
[(-14008, 7571, -4513), (-106, 130, 145)]
[(-14008, 7571, -4513), (-106, 130, 145)]
[(-14008, 7571, -4513), (-106, 130, 145)]
[(-14008, 7571, -4513), (-106, 130, 145)]
[(-14008, 7571, -4513), (-106, 130, 145)]
[(-14012, 7586, -4534), (-123, 151, 73)]
[(-14012, 7586, -4534), (-123, 151, 73)]
[(-14012, 7586, -4534), (-123, 151, 73)]
[(-14012, 7586, -4534), (-123, 151, 73)]
[(-14012, 7586, -4534), (-123, 151, 73)]
[(-14011, 7572, -4536), (-131, 116, 42)]
[(-14011, 7572, -4536), (-131, 116, 42)]
[(-14011, 7572, -4536), (-131, 116, 42)]
[(-14011, 7572, -4536), (-131, 116, 42)]
[(-14011, 7572, -4536), (-131, 116, 42)]
[(-14011, 7572, -4536), (-131, 116, 42)]
[(-14011, 7572, -4536), (-131, 116, 42)]
[(-14011, 7572, -4536), (-131, 116, 42)]
[(-14021, 7545, -4519), (-157, 107, 22)]
[(-14021, 7545, -4519), (-157, 107, 22)]
[(-14021, 7545, -4519), (-157, 107, 22)]
[(-14008, 7547, -4502), (-162, 102, 2)]
[(-14008, 7547, -4502), (-162, 102, 2)]
[(-14008, 7547, -4502), (-162, 102, 2)]
[(-14008, 7547, -4502), (-162, 102, 2)]
[(-14008, 7547, -4502), (-162, 102, 2)]
[(-14019, 7522, -4460), (-169, 139, -30)]
[(-14019, 7522, -4460), (-169, 139, -30)]
[(-14019, 7522, -4460), (-169, 139, -30)]
[(-14019, 7522, -4460), (-169, 139, -30)]
[(-14019, 7522, -4460), (-169, 139, -30)]
[(-14019, 7522, -4460), (-169, 139, -30)]
[(-14019, 7522, -4460), (-169, 139, -30)]
[(-14019, 7522, -4460), (-169, 139, -30)]
[(-14029, 7519, -4468), (-151, 116, -38)]
[(-14029, 7519, -4468), (-151, 116, -38)]
[(-14029, 7519, -4468), (-151, 116, -38)]
[(-14029, 7519, -4468), (-151, 116, -38)]
[(-14029, 7519, -4468), (-151, 116, -38)]
[(-14029, 7503, -4458), (-152, 125, -54)]
[(-14029, 7503, -4458), (-152, 125, -54)]
[(-14029, 7503, -4458), (-152, 125, -54)]
[(-14029, 7503, -4458), (-152, 125, -54)]
