[(-14550, 6536, -4301), (-237, 717, -47)]
[(-14507, 6488, -4498), (-131, 399, -52)]
[(-14507, 6488, -4498), (-131, 399, -52)]
[(-14507, 6488, -4498), (-131, 399, -52)]
[(-14507, 6488, -4498), (-131, 399, -52)]
[(-14507, 6488, -4498), (-131, 399, -52)]
[(-14507, 6488, -4498), (-131, 399, -52)]
[(-14507, 6488, -4498), (-131, 399, -52)]
[(-14507, 6488, -4498), (-131, 399, -52)]
[(-14493, 6496, -4537), (-103, 295, -18)]
[(-14493, 6496, -4537), (-103, 295, -18)]
[(-14493, 6496, -4537), (-103, 295, -18)]
[(-14493, 6496, -4537), (-103, 295, -18)]
[(-14490, 6524, -4523), (-70, 177, 30)]
[(-14490, 6524, -4523), (-70, 177, 30)]
[(-14490, 6524, -4523), (-70, 177, 30)]
[(-14490, 6524, -4523), (-70, 177, 30)]
[(-14490, 6524, -4523), (-70, 177, 30)]
[(-14520, 6520, -4493), (16, -5, 109)]
[(-14520, 6520, -4493), (16, -5, 109)]
[(-14520, 6520, -4493), (16, -5, 109)]
[(-14520, 6520, -4493), (16, -5, 109)]
[(-14520, 6520, -4493), (16, -5, 109)]
[(-14520, 6520, -4493), (16, -5, 109)]
[(-14520, 6520, -4493), (16, -5, 109)]
[(-14520, 6520, -4493), (16, -5, 109)]
[(-14527, 6537, -4460), (65, -169, 218)]
[(-14527, 6537, -4460), (65, -169, 218)]
[(-14527, 6537, -4460), (65, -169, 218)]
[(-14527, 6537, -4460), (65, -169, 218)]
[(-14527, 6537, -4460), (65, -169, 218)]
[(-14528, 6538, -4364), (18, -164, 240)]
[(-14528, 6538, -4364), (18, -164, 240)]
[(-14528, 6538, -4364), (18, -164, 240)]
[(-14528, 6538, -4364), (18, -164, 240)]
[(-14528, 6538, -4364), (18, -164, 240)]
[(-14479, 6576, -4329), (-90, -107, 220)]
[(-14479, 6576, -4329), (-90, -107, 220)]
[(-14479, 6576, -4329), (-90, -107, 220)]
[(-14479, 6576, -4329), (-90, -107, 220)]
[(-14479, 6576, -4329), (-90, -107, 220)]
[(-14479, 6576, -4329), (-90, -107, 220)]
[(-14479, 6576, -4329), (-90, -107, 220)]
[(-14472, 6655, -4288), (-134, -4, 229)]
[(-14472, 6655, -4288), (-134, -4, 229)]
[(-14472, 6655, -4288), (-134, -4, 229)]
[(-14472, 6655, -4288), (-134, -4, 229)]
[(-14472, 6655, -4288), (-134, -4, 229)]
[(-14472, 6655, -4288), (-134, -4, 229)]
[(-14463, 6697, -4276), (-148, 70, 195)]
[(-14463, 6697, -4276), (-148, 70, 195)]
[(-14463, 6697, -4276), (-148, 70, 195)]
[(-14463, 6697, -4276), (-148, 70, 195)]
[(-14463, 6697, -4276), (-148, 70, 195)]
[(-14424, 6732, -4248), (-149, 87, 169)]
[(-14424, 6732, -4248), (-149, 87, 169)]
[(-14424, 6732, -4248), (-149, 87, 169)]
[(-14424, 6732, -4248), (-149, 87, 169)]
[(-14424, 6732, -4248), (-149, 87, 169)]
[(-14424, 6732, -4248), (-149, 87, 169)]
[(-14424, 6732, -4248), (-149, 87, 169)]
[(-14384, 6773, -4212), (-188, 103, 131)]
[(-14384, 6773, -4212), (-188, 103, 131)]
[(-14384, 6773, -4212), (-188, 103, 131)]
[(-14384, 6773, -4212), (-188, 103, 131)]
[(-14384, 6773, -4212), (-188, 103, 131)]
[(-14384, 6773, -4212), (-188, 103, 131)]
[(-14388, 6773, -4172), (-165, 110, 107)]
[(-14388, 6773, -4172), (-165, 110, 107)]
[(-14388, 6773, -4172), (-165, 110, 107)]
[(-14388, 6773, -4172), (-165, 110, 107)]
[(-14388, 6773, -4172), (-165, 110, 107)]
[(-14396, 6823, -4177), (-167, 114, 91)]
[(-14396, 6823, -4177), (-167, 114, 91)]
[(-14396, 6823, -4177), (-167, 114, 91)]
[(-14396, 6823, -4177), (-167, 114, 91)]
[(-14396, 6823, -4177), (-167, 114, 91)]
[(-14396, 6823, -4177), (-167, 114, 91)]
[(-14390, 6808, -4143), (-152, 133, 65)]
[(-14390, 6808, -4143), (-152, 133, 65)]
[(-14390, 6808, -4143), (-152, 133, 65)]
[(-14390, 6808, -4143), (-152, 133, 65)]
[(-14390, 6808, -4143), (-152, 133, 65)]
[(-14390, 6808, -4143), (-152, 133, 65)]
[(-14385, 6810, -4156), (-103, 129, 47)]
[(-14385, 6810, -4156), (-103, 129, 47)]
[(-14385, 6810, -4156), (-103, 129, 47)]
[(-14385, 6810, -4156), (-103, 129, 47)]
[(-14385, 6810, -4156), (-103, 129, 47)]
[(-14388, 6806, -4152), (-84, 140, 36)]
[(-14388, 6806, -4152), (-84, 140, 36)]
[(-14388, 6806, -4152), (-84, 140, 36)]
[(-14388, 6806, -4152), (-84, 140, 36)]
[(-14388, 6806, -4152), (-84, 140, 36)]
[(-14388, 6806, -4152), (-84, 140, 36)]
[(-14388, 6806, -4152), (-84, 140, 36)]
[(-14388, 6806, -4152), (-84, 140, 36)]
[(-14399, 6818, -4175), (-99, 148, 21)]
[(-14399, 6818, -4175), (-99, 148, 21)]
[(-14399, 6818, -4175), (-99, 148, 21)]
