[(-14347, 6896, -4249), (-146, 261, -81)]
[(-14406, 6888, -4163), (52, -154, 194)]
[(-14406, 6888, -4163), (52, -154, 194)]
[(-14406, 6888, -4163), (52, -154, 194)]
[(-14406, 6888, -4163), (52, -154, 194)]
[(-14406, 6888, -4163), (52, -154, 194)]
[(-14380, 6928, -4172), (31, -93, 245)]
[(-14380, 6928, -4172), (31, -93, 245)]
[(-14380, 6928, -4172), (31, -93, 245)]
[(-14380, 6928, -4172), (31, -93, 245)]
[(-14380, 6928, -4172), (31, -93, 245)]
[(-14382, 6986, -4143), (91, -120, 324)]
[(-14382, 6986, -4143), (91, -120, 324)]
[(-14382, 6986, -4143), (91, -120, 324)]
[(-14382, 6986, -4143), (91, -120, 324)]
[(-14382, 6986, -4143), (91, -120, 324)]
[(-14382, 6986, -4143), (91, -120, 324)]
[(-14382, 6986, -4143), (91, -120, 324)]
[(-14317, 7065, -4130), (68, -33, 325)]
[(-14317, 7065, -4130), (68, -33, 325)]
[(-14317, 7065, -4130), (68, -33, 325)]
[(-14317, 7065, -4130), (68, -33, 325)]
[(-14317, 7065, -4130), (68, -33, 325)]
[(-14317, 7065, -4130), (68, -33, 325)]
[(-14325, 7094, -4128), (11, 70, 271)]
[(-14325, 7094, -4128), (11, 70, 271)]
[(-14325, 7094, -4128), (11, 70, 271)]
[(-14325, 7094, -4128), (11, 70, 271)]
[(-14325, 7094, -4128), (11, 70, 271)]
[(-14280, 7130, -4123), (10, 96, 229)]
[(-14280, 7130, -4123), (10, 96, 229)]
[(-14280, 7130, -4123), (10, 96, 229)]
[(-14280, 7130, -4123), (10, 96, 229)]
[(-14280, 7130, -4123), (10, 96, 229)]
[(-14280, 7130, -4123), (10, 96, 229)]
[(-14280, 7130, -4123), (10, 96, 229)]
[(-14275, 7150, -4140), (-10, 145, 162)]
[(-14275, 7150, -4140), (-10, 145, 162)]
[(-14275, 7150, -4140), (-10, 145, 162)]
[(-14275, 7150, -4140), (-10, 145, 162)]
[(-14275, 7150, -4140), (-10, 145, 162)]
[(-14275, 7150, -4140), (-10, 145, 162)]
[(-14275, 7150, -4140), (-10, 145, 162)]
[(-14275, 7150, -4140), (-10, 145, 162)]
[(-14255, 7191, -4176), (-21, 132, 146)]
[(-14255, 7191, -4176), (-21, 132, 146)]
[(-14255, 7191, -4176), (-21, 132, 146)]
[(-14207, 7239, -4164), (-82, 138, 82)]
[(-14207, 7239, -4164), (-82, 138, 82)]
[(-14207, 7239, -4164), (-82, 138, 82)]
[(-14207, 7239, -4164), (-82, 138, 82)]
[(-14207, 7239, -4164), (-82, 138, 82)]
[(-14207, 7239, -4164), (-82, 138, 82)]
[(-14207, 7239, -4164), (-82, 138, 82)]
[(-14207, 7239, -4164), (-82, 138, 82)]
[(-14228, 7236, -4132), (-112, 161, 43)]
[(-14228, 7236, -4132), (-112, 161, 43)]
[(-14228, 7236, -4132), (-112, 161, 43)]
[(-14228, 7236, -4132), (-112, 161, 43)]
[(-14228, 7236, -4132), (-112, 161, 43)]
[(-14263, 7235, -4120), (-79, 151, 34)]
[(-14263, 7235, -4120), (-79, 151, 34)]
[(-14263, 7235, -4120), (-79, 151, 34)]
[(-14263, 7235, -4120), (-79, 151, 34)]
[(-14252, 7228, -4132), (-55, 161, 39)]
[(-14252, 7228, -4132), (-55, 161, 39)]
[(-14252, 7228, -4132), (-55, 161, 39)]
[(-14252, 7228, -4132), (-55, 161, 39)]
[(-14252, 7228, -4132), (-55, 161, 39)]
[(-14252, 7228, -4132), (-55, 161, 39)]
[(-14252, 7228, -4132), (-55, 161, 39)]
[(-14252, 7228, -4132), (-55, 161, 39)]
[(-14230, 7250, -4112), (-72, 151, 22)]
[(-14230, 7250, -4112), (-72, 151, 22)]
[(-14230, 7250, -4112), (-72, 151, 22)]
[(-14230, 7250, -4112), (-72, 151, 22)]
[(-14230, 7250, -4112), (-72, 151, 22)]
[(-14220, 7230, -4088), (-68, 141, 9)]
[(-14220, 7230, -4088), (-68, 141, 9)]
[(-14220, 7230, -4088), (-68, 141, 9)]
[(-14220, 7230, -4088), (-68, 141, 9)]
[(-14220, 7230, -4088), (-68, 141, 9)]
[(-14227, 7237, -4075), (-99, 155, -25)]
[(-14227, 7237, -4075), (-99, 155, -25)]
