[(-13687, 8070, -4669), (-150, 205, 10)]
[(-13674, 8020, -4565), (150, -43, 124)]
[(-13674, 8020, -4565), (150, -43, 124)]
[(-13674, 8020, -4565), (150, -43, 124)]
[(-13674, 8020, -4565), (150, -43, 124)]
[(-13674, 8020, -4565), (150, -43, 124)]
[(-13674, 8020, -4565), (150, -43, 124)]
[(-13674, 8020, -4565), (150, -43, 124)]
[(-13674, 8020, -4565), (150, -43, 124)]
[(-13691, 8041, -4564), (195, -82, 112)]
[(-13691, 8041, -4564), (195, -82, 112)]
[(-13691, 8041, -4564), (195, -82, 112)]
[(-13691, 8041, -4564), (195, -82, 112)]
[(-13691, 8041, -4564), (195, -82, 112)]
[(-13691, 8108, -4552), (97, -57, 100)]
[(-13691, 8108, -4552), (97, -57, 100)]
[(-13691, 8108, -4552), (97, -57, 100)]
[(-13691, 8108, -4552), (97, -57, 100)]
[(-13691, 8108, -4552), (97, -57, 100)]
[(-13691, 8108, -4552), (97, -57, 100)]
[(-13700, 8086, -4502), (29, 24, 70)]
[(-13700, 8086, -4502), (29, 24, 70)]
[(-13700, 8086, -4502), (29, 24, 70)]
[(-13700, 8086, -4502), (29, 24, 70)]
[(-13700, 8086, -4502), (29, 24, 70)]
[(-13700, 8086, -4502), (29, 24, 70)]
[(-13700, 8086, -4502), (29, 24, 70)]
[(-13702, 8092, -4541), (-10, 55, 69)]
[(-13702, 8092, -4541), (-10, 55, 69)]
[(-13702, 8092, -4541), (-10, 55, 69)]
[(-13702, 8092, -4541), (-10, 55, 69)]
[(-13702, 8092, -4541), (-10, 55, 69)]
[(-13686, 8101, -4542), (-22, 82, 78)]
[(-13686, 8101, -4542), (-22, 82, 78)]
[(-13686, 8101, -4542), (-22, 82, 78)]
[(-13686, 8101, -4542), (-22, 82, 78)]
[(-13686, 8101, -4542), (-22, 82, 78)]
[(-13686, 8101, -4542), (-22, 82, 78)]
[(-13697, 8092, -4551), (-35, 120, 61)]
[(-13697, 8092, -4551), (-35, 120, 61)]
[(-13697, 8092, -4551), (-35, 120, 61)]
[(-13697, 8092, -4551), (-35, 120, 61)]
[(-13697, 8092, -4551), (-35, 120, 61)]
[(-13697, 8092, -4551), (-35, 120, 61)]
[(-13697, 8092, -4551), (-35, 120, 61)]
[(-13712, 8100, -4565), (-5, 143, 70)]
[(-13712, 8100, -4565), (-5, 143, 70)]
[(-13712, 8100, -4565), (-5, 143, 70)]
[(-13712, 8100, -4565), (-5, 143, 70)]
[(-13712, 8100, -4565), (-5, 143, 70)]
[(-13715, 8064, -4540), (-15, 157, 78)]
[(-13715, 8064, -4540), (-15, 157, 78)]
[(-13715, 8064, -4540), (-15, 157, 78)]
[(-13715, 8064, -4540), (-15, 157, 78)]
[(-13715, 8064, -4540), (-15, 157, 78)]
[(-13715, 8064, -4540), (-15, 157, 78)]
[(-13697, 8064, -4552), (-45, 148, 57)]
[(-13697, 8064, -4552), (-45, 148, 57)]
[(-13697, 8064, -4552), (-45, 148, 57)]
[(-13697, 8064, -4552), (-45, 148, 57)]
[(-13693, 8063, -4544), (-63, 166, 39)]
[(-13693, 8063, -4544), (-63, 166, 39)]
[(-13693, 8063, -4544), (-63, 166, 39)]
[(-13693, 8063, -4544), (-63, 166, 39)]
[(-13693, 8063, -4544), (-63, 166, 39)]
[(-13693, 8063, -4544), (-63, 166, 39)]
[(-13693, 8063, -4544), (-63, 166, 39)]
[(-13671, 8048, -4538), (-52, 137, 37)]
[(-13671, 8048, -4538), (-52, 137, 37)]
[(-13671, 8048, -4538), (-52, 137, 37)]
[(-13671, 8048, -4538), (-52, 137, 37)]
[(-13671, 8048, -4538), (-52, 137, 37)]
[(-13671, 8048, -4538), (-52, 137, 37)]
[(-13667, 8055, -4543), (-86, 186, 24)]
[(-13667, 8055, -4543), (-86, 186, 24)]
[(-13667, 8055, -4543), (-86, 186, 24)]
[(-13667, 8055, -4543), (-86, 186, 24)]
[(-13667, 8055, -4543), (-86, 186, 24)]
[(-13656, 8078, -4556), (-163, 199, -11)]
[(-13656, 8078, -4556), (-163, 199, -11)]
[(-13656, 8078, -4556), (-163, 199, -11)]
[(-13656, 8078, -4556), (-163, 199, -11)]
[(-13656, 8078, -4556), (-163, 199, -11)]
[(-13656, 8078, -4556), (-163, 199, -11)]
