[(-14353, 7007, -3988), (-82, -47, 81)]
[(-14352, 7076, -3983), (-117, 557, -128)]
[(-14343, 7116, -4036), (12, 463, -30)]
[(-14343, 7116, -4036), (12, 463, -30)]
[(-14343, 7116, -4036), (12, 463, -30)]
[(-14343, 7116, -4036), (12, 463, -30)]
[(-14343, 7116, -4036), (12, 463, -30)]
[(-14343, 7116, -4036), (12, 463, -30)]
[(-14375, 7082, -4039), (-20, 406, -14)]
[(-14375, 7082, -4039), (-20, 406, -14)]
[(-14375, 7082, -4039), (-20, 406, -14)]
[(-14375, 7082, -4039), (-20, 406, -14)]
[(-14375, 7082, -4039), (-20, 406, -14)]
[(-14356, 7075, -4022), (-28, 380, -25)]
[(-14356, 7075, -4022), (-28, 380, -25)]
[(-14356, 7075, -4022), (-28, 380, -25)]
[(-14356, 7075, -4022), (-28, 380, -25)]
[(-14356, 7075, -4022), (-28, 380, -25)]
[(-14356, 7075, -4022), (-28, 380, -25)]
[(-14356, 7075, -4022), (-28, 380, -25)]
[(-14352, 7038, -4057), (-15, 328, -14)]
[(-14352, 7038, -4057), (-15, 328, -14)]
[(-14352, 7038, -4057), (-15, 328, -14)]
[(-14352, 7038, -4057), (-15, 328, -14)]
[(-14352, 7038, -4057), (-15, 328, -14)]
[(-14352, 7038, -4057), (-15, 328, -14)]
[(-14368, 7013, -4072), (-30, 271, -13)]
[(-14368, 7013, -4072), (-30, 271, -13)]
[(-14368, 7013, -4072), (-30, 271, -13)]
[(-14368, 7013, -4072), (-30, 271, -13)]
[(-14368, 7013, -4072), (-30, 271, -13)]
[(-14384, 7011, -4056), (-28, 239, -5)]
[(-14384, 7011, -4056), (-28, 239, -5)]
[(-14384, 7011, -4056), (-28, 239, -5)]
[(-14384, 7011, -4056), (-28, 239, -5)]
[(-14384, 7011, -4056), (-28, 239, -5)]
[(-14384, 7011, -4056), (-28, 239, -5)]
[(-14384, 7011, -4056), (-28, 239, -5)]
[(-14394, 6988, -4044), (-27, 249, 4)]
[(-14394, 6988, -4044), (-27, 249, 4)]
[(-14394, 6988, -4044), (-27, 249, 4)]
[(-14394, 6988, -4044), (-27, 249, 4)]
[(-14394, 6988, -4044), (-27, 249, 4)]
[(-14394, 6988, -4044), (-27, 249, 4)]
[(-14360, 6986, -4079), (4, 235, 21)]
[(-14360, 6986, -4079), (4, 235, 21)]
[(-14360, 6986, -4079), (4, 235, 21)]
[(-14360, 6986, -4079), (4, 235, 21)]
[(-14360, 6986, -4079), (4, 235, 21)]
[(-14395, 6961, -4107), (29, 212, 17)]
[(-14395, 6961, -4107), (29, 212, 17)]
[(-14395, 6961, -4107), (29, 212, 17)]
[(-14395, 6961, -4107), (29, 212, 17)]
[(-14395, 6961, -4107), (29, 212, 17)]
[(-14395, 6961, -4107), (29, 212, 17)]
[(-14395, 6961, -4107), (29, 212, 17)]
[(-14398, 6960, -4114), (-50, 192, 25)]
[(-14398, 6960, -4114), (-50, 192, 25)]
[(-14398, 6960, -4114), (-50, 192, 25)]
[(-14398, 6960, -4114), (-50, 192, 25)]
[(-14398, 6960, -4114), (-50, 192, 25)]
[(-14398, 6960, -4114), (-50, 192, 25)]
[(-14412, 6957, -4086), (-74, 214, 30)]
[(-14412, 6957, -4086), (-74, 214, 30)]
[(-14412, 6957, -4086), (-74, 214, 30)]
[(-14412, 6957, -4086), (-74, 214, 30)]
[(-14412, 6957, -4086), (-74, 214, 30)]
[(-14380, 6945, -4106), (-87, 207, 57)]
[(-14380, 6945, -4106), (-87, 207, 57)]
[(-14380, 6945, -4106), (-87, 207, 57)]
[(-14380, 6945, -4106), (-87, 207, 57)]
[(-14380, 6945, -4106), (-87, 207, 57)]
[(-14380, 6945, -4106), (-87, 207, 57)]
[(-14374, 6954, -4092), (-50, 212, 51)]
[(-14374, 6954, -4092), (-50, 212, 51)]
[(-14374, 6954, -4092), (-50, 212, 51)]
[(-14374, 6954, -4092), (-50, 212, 51)]
[(-14374, 6954, -4092), (-50, 212, 51)]
[(-14374, 6954, -4092), (-50, 212, 51)]
[(-14387, 6963, -4128), (-27, 196, 51)]
[(-14387, 6963, -4128), (-27, 196, 51)]
[(-14387, 6963, -4128), (-27, 196, 51)]
[(-14387, 6963, -4128), (-27, 196, 51)]
[(-14387, 6963, -4128), (-27, 196, 51)]
[(-14372, 6945, -4164), (-14, 193, 57)]
[(-14372, 6945, -4164), (-14, 193, 57)]
[(-14372, 6945, -4164), (-14, 193, 57)]
[(-14372, 6945, -4164), (-14, 193, 57)]
[(-14372, 6945, -4164), (-14, 193, 57)]
[(-14372, 6945, -4164), (-14, 193, 57)]
[(-14372, 6945, -4164), (-14, 193, 57)]
[(-14372, 6945, -4164), (-14, 193, 57)]
