[(-14408, 6895, -4035), (-122, 394, -90)]
[(-14409, 6839, -4104), (-53, 273, 4)]
[(-14409, 6839, -4104), (-53, 273, 4)]
[(-14409, 6839, -4104), (-53, 273, 4)]
[(-14409, 6839, -4104), (-53, 273, 4)]
[(-14409, 6839, -4104), (-53, 273, 4)]
[(-14409, 6839, -4104), (-53, 273, 4)]
[(-14403, 6840, -4149), (-51, 244, 49)]
[(-14403, 6840, -4149), (-51, 244, 49)]
[(-14403, 6840, -4149), (-51, 244, 49)]
[(-14403, 6840, -4149), (-51, 244, 49)]
[(-14403, 6840, -4149), (-51, 244, 49)]
[(-14422, 6835, -4143), (-74, 253, 29)]
[(-14422, 6835, -4143), (-74, 253, 29)]
[(-14422, 6835, -4143), (-74, 253, 29)]
[(-14422, 6835, -4143), (-74, 253, 29)]
[(-14422, 6835, -4143), (-74, 253, 29)]
[(-14422, 6835, -4143), (-74, 253, 29)]
[(-14422, 6835, -4143), (-74, 253, 29)]
[(-14420, 6834, -4153), (-63, 204, 44)]
[(-14420, 6834, -4153), (-63, 204, 44)]
[(-14420, 6834, -4153), (-63, 204, 44)]
[(-14420, 6834, -4153), (-63, 204, 44)]
[(-14420, 6834, -4153), (-63, 204, 44)]
[(-14420, 6834, -4153), (-63, 204, 44)]
[(-14439, 6852, -4150), (-51, 148, 49)]
[(-14439, 6852, -4150), (-51, 148, 49)]
[(-14439, 6852, -4150), (-51, 148, 49)]
[(-14439, 6852, -4150), (-51, 148, 49)]
[(-14439, 6852, -4150), (-51, 148, 49)]
[(-14445, 6805, -4137), (-43, 125, 53)]
[(-14445, 6805, -4137), (-43, 125, 53)]
[(-14445, 6805, -4137), (-43, 125, 53)]
[(-14445, 6805, -4137), (-43, 125, 53)]
[(-14445, 6805, -4137), (-43, 125, 53)]
[(-14445, 6805, -4137), (-43, 125, 53)]
[(-14445, 6805, -4137), (-43, 125, 53)]
[(-14438, 6824, -4154), (-5, 128, 50)]
[(-14438, 6824, -4154), (-5, 128, 50)]
[(-14438, 6824, -4154), (-5, 128, 50)]
[(-14438, 6824, -4154), (-5, 128, 50)]
[(-14438, 6824, -4154), (-5, 128, 50)]
[(-14438, 6824, -4154), (-5, 128, 50)]
[(-14417, 6838, -4144), (68, 115, 86)]
[(-14417, 6838, -4144), (68, 115, 86)]
[(-14417, 6838, -4144), (68, 115, 86)]
[(-14417, 6838, -4144), (68, 115, 86)]
[(-14417, 6838, -4144), (68, 115, 86)]
[(-14385, 6844, -4198), (52, 137, 72)]
[(-14385, 6844, -4198), (52, 137, 72)]
[(-14385, 6844, -4198), (52, 137, 72)]
[(-14385, 6844, -4198), (52, 137, 72)]
[(-14385, 6844, -4198), (52, 137, 72)]
[(-14385, 6844, -4198), (52, 137, 72)]
[(-14385, 6844, -4198), (52, 137, 72)]
[(-14385, 6844, -4198), (52, 137, 72)]
[(-14419, 6845, -4226), (-14, 109, 46)]
[(-14419, 6845, -4226), (-14, 109, 46)]
[(-14419, 6845, -4226), (-14, 109, 46)]
[(-14419, 6845, -4226), (-14, 109, 46)]
[(-14413, 6844, -4182), (-77, 138, 48)]
[(-14413, 6844, -4182), (-77, 138, 48)]
[(-14413, 6844, -4182), (-77, 138, 48)]
[(-14413, 6844, -4182), (-77, 138, 48)]
[(-14413, 6844, -4182), (-77, 138, 48)]
[(-14392, 6866, -4185), (-105, 135, 44)]
[(-14392, 6866, -4185), (-105, 135, 44)]
[(-14392, 6866, -4185), (-105, 135, 44)]
[(-14392, 6866, -4185), (-105, 135, 44)]
[(-14392, 6866, -4185), (-105, 135, 44)]
[(-14392, 6866, -4185), (-105, 135, 44)]
[(-14392, 6866, -4185), (-105, 135, 44)]
[(-14392, 6866, -4185), (-105, 135, 44)]
[(-14404, 6875, -4169), (-107, 134, 13)]
[(-14404, 6875, -4169), (-107, 134, 13)]
[(-14404, 6875, -4169), (-107, 134, 13)]
[(-14404, 6875, -4169), (-107, 134, 13)]
[(-14404, 6875, -4169), (-107, 134, 13)]
[(-14401, 6870, -4152), (-76, 129, -1)]
[(-14401, 6870, -4152), (-76, 129, -1)]
[(-14401, 6870, -4152), (-76, 129, -1)]
[(-14401, 6870, -4152), (-76, 129, -1)]
[(-14401, 6870, -4152), (-76, 129, -1)]
