[(-14149, 7180, -4529), (-226, 172, -34)]
[(-14168, 7190, -4556), (-203, 484, -93)]
[(-14159, 7165, -4590), (-158, 319, 4)]
[(-14159, 7165, -4590), (-158, 319, 4)]
[(-14159, 7165, -4590), (-158, 319, 4)]
[(-14159, 7165, -4590), (-158, 319, 4)]
[(-14159, 7165, -4590), (-158, 319, 4)]
[(-14166, 7163, -4596), (-163, 320, -17)]
[(-14166, 7163, -4596), (-163, 320, -17)]
[(-14166, 7163, -4596), (-163, 320, -17)]
[(-14166, 7163, -4596), (-163, 320, -17)]
[(-14166, 7163, -4596), (-163, 320, -17)]
[(-14166, 7163, -4596), (-163, 320, -17)]
[(-14164, 7152, -4612), (-159, 259, -19)]
[(-14164, 7152, -4612), (-159, 259, -19)]
[(-14164, 7152, -4612), (-159, 259, -19)]
[(-14164, 7152, -4612), (-159, 259, -19)]
[(-14164, 7152, -4612), (-159, 259, -19)]
[(-14164, 7152, -4612), (-159, 259, -19)]
[(-14164, 7152, -4612), (-159, 259, -19)]
[(-14178, 7156, -4576), (-132, 209, -24)]
[(-14178, 7156, -4576), (-132, 209, -24)]
[(-14178, 7156, -4576), (-132, 209, -24)]
[(-14178, 7156, -4576), (-132, 209, -24)]
[(-14178, 7156, -4576), (-132, 209, -24)]
[(-14178, 7156, -4576), (-132, 209, -24)]
[(-14204, 7128, -4519), (-49, 99, 34)]
[(-14204, 7128, -4519), (-49, 99, 34)]
[(-14204, 7128, -4519), (-49, 99, 34)]
[(-14204, 7128, -4519), (-49, 99, 34)]
[(-14204, 7128, -4519), (-49, 99, 34)]
[(-14240, 7148, -4511), (0, 96, 84)]
[(-14240, 7148, -4511), (0, 96, 84)]
[(-14240, 7148, -4511), (0, 96, 84)]
[(-14240, 7148, -4511), (0, 96, 84)]
[(-14240, 7148, -4511), (0, 96, 84)]
[(-14240, 7148, -4511), (0, 96, 84)]
[(-14240, 7148, -4511), (0, 96, 84)]
[(-14240, 7148, -4511), (0, 96, 84)]
[(-14268, 7171, -4537), (29, 76, 70)]
[(-14268, 7171, -4537), (29, 76, 70)]
[(-14268, 7171, -4537), (29, 76, 70)]
[(-14268, 7171, -4537), (29, 76, 70)]
[(-14219, 7175, -4540), (-64, 106, 52)]
[(-14219, 7175, -4540), (-64, 106, 52)]
[(-14219, 7175, -4540), (-64, 106, 52)]
[(-14219, 7175, -4540), (-64, 106, 52)]
[(-14199, 7174, -4512), (-124, 126, 24)]
[(-14199, 7174, -4512), (-124, 126, 24)]
[(-14199, 7174, -4512), (-124, 126, 24)]
[(-14199, 7174, -4512), (-124, 126, 24)]
[(-14199, 7174, -4512), (-124, 126, 24)]
[(-14199, 7174, -4512), (-124, 126, 24)]
[(-14199, 7174, -4512), (-124, 126, 24)]
[(-14199, 7174, -4512), (-124, 126, 24)]
[(-14188, 7184, -4483), (-117, 129, 8)]
[(-14188, 7184, -4483), (-117, 129, 8)]
[(-14188, 7184, -4483), (-117, 129, 8)]
[(-14188, 7184, -4483), (-117, 129, 8)]
[(-14188, 7184, -4483), (-117, 129, 8)]
[(-14192, 7169, -4437), (-102, 130, -2)]
[(-14192, 7169, -4437), (-102, 130, -2)]
[(-14192, 7169, -4437), (-102, 130, -2)]
[(-14192, 7169, -4437), (-102, 130, -2)]
[(-14192, 7169, -4437), (-102, 130, -2)]
[(-14179, 7160, -4415), (-95, 138, -3)]
[(-14179, 7160, -4415), (-95, 138, -3)]
