[(-14378, 6856, -4253), (-99, 120, 2)]
[(-14401, 6799, -4233), (-165, 142, -29)]
[(-14401, 6799, -4233), (-165, 142, -29)]
[(-14432, 6794, -4232), (-211, 147, -28)]
[(-14432, 6794, -4232), (-211, 147, -28)]
[(-14432, 6794, -4232), (-211, 147, -28)]
[(-14432, 6794, -4232), (-211, 147, -28)]
[(-14432, 6794, -4232), (-211, 147, -28)]
[(-14432, 6794, -4232), (-211, 147, -28)]
[(-14438, 6790, -4219), (-287, 179, -30)]
[(-14438, 6790, -4219), (-287, 179, -30)]
[(-14438, 6790, -4219), (-287, 179, -30)]
[(-14438, 6790, -4219), (-287, 179, -30)]
[(-14438, 6790, -4219), (-287, 179, -30)]
[(-14438, 6790, -4219), (-287, 179, -30)]
[(-14438, 6790, -4219), (-287, 179, -30)]
[(-14448, 6764, -4192), (-383, 321, -64)]
[(-14448, 6764, -4192), (-383, 321, -64)]
[(-14448, 6764, -4192), (-383, 321, -64)]
[(-14448, 6764, -4192), (-383, 321, -64)]
[(-14448, 6764, -4192), (-383, 321, -64)]
[(-14473, 6713, -4284), (-484, 565, -147)]
[(-14473, 6713, -4284), (-484, 565, -147)]
[(-14473, 6713, -4284), (-484, 565, -147)]
[(-14473, 6713, -4284), (-484, 565, -147)]
[(-14473, 6713, -4284), (-484, 565, -147)]
[(-14473, 6713, -4284), (-484, 565, -147)]
[(-14463, 6652, -4303), (-444, 583, -181)]
[(-14463, 6652, -4303), (-444, 583, -181)]
[(-14463, 6652, -4303), (-444, 583, -181)]
[(-14463, 6652, -4303), (-444, 583, -181)]
[(-14463, 6652, -4303), (-444, 583, -181)]
[(-14463, 6652, -4303), (-444, 583, -181)]
[(-14463, 6652, -4303), (-444, 583, -181)]
[(-14466, 6612, -4360), (-364, 452, -148)]
[(-14466, 6612, -4360), (-364, 452, -148)]
[(-14466, 6612, -4360), (-364, 452, -148)]
[(-14466, 6612, -4360), (-364, 452, -148)]
[(-14466, 6612, -4360), (-364, 452, -148)]
[(-14456, 6579, -4387), (-295, 384, -111)]
[(-14456, 6579, -4387), (-295, 384, -111)]
[(-14456, 6579, -4387), (-295, 384, -111)]
[(-14456, 6579, -4387), (-295, 384, -111)]
[(-14456, 6579, -4387), (-295, 384, -111)]
[(-14456, 6579, -4387), (-295, 384, -111)]
[(-14461, 6582, -4391), (-227, 269, -73)]
[(-14461, 6582, -4391), (-227, 269, -73)]
[(-14461, 6582, -4391), (-227, 269, -73)]
[(-14461, 6582, -4391), (-227, 269, -73)]
[(-14461, 6582, -4391), (-227, 269, -73)]
[(-14461, 6582, -4391), (-227, 269, -73)]
[(-14461, 6582, -4391), (-227, 269, -73)]
[(-14476, 6575, -4375), (-182, 248, -50)]
[(-14476, 6575, -4375), (-182, 248, -50)]
[(-14476, 6575, -4375), (-182, 248, -50)]
[(-14476, 6575, -4375), (-182, 248, -50)]
[(-14476, 6575, -4375), (-182, 248, -50)]
[(-14455, 6573, -4377), (-97, 188, -10)]
[(-14455, 6573, -4377), (-97, 188, -10)]
[(-14455, 6573, -4377), (-97, 188, -10)]
[(-14455, 6573, -4377), (-97, 188, -10)]
[(-14455, 6573, -4377), (-97, 188, -10)]
[(-14455, 6573, -4377), (-97, 188, -10)]
[(-14466, 6588, -4408), (-58, 178, 10)]
[(-14466, 6588, -4408), (-58, 178, 10)]
[(-14466, 6588, -4408), (-58, 178, 10)]
[(-14466, 6588, -4408), (-58, 178, 10)]
[(-14466, 6588, -4408), (-58, 178, 10)]
[(-14466, 6588, -4408), (-58, 178, 10)]
[(-14482, 6560, -4420), (-89, 182, 22)]
[(-14482, 6560, -4420), (-89, 182, 22)]
[(-14482, 6560, -4420), (-89, 182, 22)]
[(-14482, 6560, -4420), (-89, 182, 22)]
[(-14480, 6549, -4425), (-108, 181, 24)]
[(-14480, 6549, -4425), (-108, 181, 24)]
[(-14480, 6549, -4425), (-108, 181, 24)]
[(-14480, 6549, -4425), (-108, 181, 24)]
[(-14480, 6549, -4425), (-108, 181, 24)]
[(-14480, 6549, -4425), (-108, 181, 24)]
[(-14478, 6563, -4412), (-104, 189, 34)]
[(-14478, 6563, -4412), (-104, 189, 34)]
[(-14478, 6563, -4412), (-104, 189, 34)]
[(-14478, 6563, -4412), (-104, 189, 34)]
[(-14478, 6563, -4412), (-104, 189, 34)]
[(-14469, 6576, -4393), (-98, 172, 39)]
[(-14469, 6576, -4393), (-98, 172, 39)]
[(-14469, 6576, -4393), (-98, 172, 39)]
[(-14469, 6576, -4393), (-98, 172, 39)]
[(-14469, 6576, -4393), (-98, 172, 39)]
[(-14469, 6576, -4393), (-98, 172, 39)]
[(-14469, 6576, -4393), (-98, 172, 39)]
[(-14464, 6544, -4371), (-30, 82, 71)]
[(-14464, 6544, -4371), (-30, 82, 71)]
