[(-14516, 6696, -3549), (0, 29, 103)]
[(-14600, 6616, -3487), (39, 105, 5)]
[(-14599, 6644, -3536), (-14, 64, 19)]
[(-14599, 6644, -3536), (-14, 64, 19)]
[(-14599, 6644, -3536), (-14, 64, 19)]
[(-14599, 6644, -3536), (-14, 64, 19)]
[(-14599, 6644, -3536), (-14, 64, 19)]
[(-14599, 6644, -3536), (-14, 64, 19)]
[(-14614, 6644, -3566), (-47, 74, 33)]
[(-14614, 6644, -3566), (-47, 74, 33)]
[(-14614, 6644, -3566), (-47, 74, 33)]
[(-14614, 6644, -3566), (-47, 74, 33)]
[(-14614, 6644, -3566), (-47, 74, 33)]
[(-14573, 6677, -3607), (-106, 121, 9)]
[(-14573, 6677, -3607), (-106, 121, 9)]
[(-14573, 6677, -3607), (-106, 121, 9)]
[(-14573, 6677, -3607), (-106, 121, 9)]
[(-14573, 6677, -3607), (-106, 121, 9)]
[(-14573, 6677, -3607), (-106, 121, 9)]
[(-14573, 6677, -3607), (-106, 121, 9)]
[(-14546, 6656, -3654), (-232, 24, -41)]
[(-14546, 6656, -3654), (-232, 24, -41)]
[(-14546, 6656, -3654), (-232, 24, -41)]
[(-14546, 6656, -3654), (-232, 24, -41)]
[(-14546, 6656, -3654), (-232, 24, -41)]
[(-14546, 6656, -3654), (-232, 24, -41)]
[(-14529, 6638, -3674), (-225, 53, -55)]
[(-14529, 6638, -3674), (-225, 53, -55)]
[(-14529, 6638, -3674), (-225, 53, -55)]
[(-14529, 6638, -3674), (-225, 53, -55)]
[(-14529, 6638, -3674), (-225, 53, -55)]
[(-14467, 6650, -3689), (-567, 157, -209)]
[(-14467, 6650, -3689), (-567, 157, -209)]
[(-14467, 6650, -3689), (-567, 157, -209)]
[(-14467, 6650, -3689), (-567, 157, -209)]
[(-14467, 6650, -3689), (-567, 157, -209)]
[(-14467, 6650, -3689), (-567, 157, -209)]
[(-14467, 6650, -3689), (-567, 157, -209)]
[(-14507, 6643, -3539), (-807, 281, -307)]
[(-14507, 6643, -3539), (-807, 281, -307)]
[(-14507, 6643, -3539), (-807, 281, -307)]
[(-14507, 6643, -3539), (-807, 281, -307)]
[(-14507, 6643, -3539), (-807, 281, -307)]
[(-14507, 6643, -3539), (-807, 281, -307)]
[(-14645, 6515, -3456), (-497, 272, -304)]
[(-14645, 6515, -3456), (-497, 272, -304)]
[(-14645, 6515, -3456), (-497, 272, -304)]
[(-14645, 6515, -3456), (-497, 272, -304)]
[(-14645, 6515, -3456), (-497, 272, -304)]
[(-14645, 6515, -3456), (-497, 272, -304)]
[(-14660, 6482, -3520), (-226, 188, -142)]
[(-14660, 6482, -3520), (-226, 188, -142)]
[(-14660, 6482, -3520), (-226, 188, -142)]
[(-14660, 6482, -3520), (-226, 188, -142)]
[(-14637, 6527, -3578), (-265, 122, -63)]
[(-14637, 6527, -3578), (-265, 122, -63)]
[(-14637, 6527, -3578), (-265, 122, -63)]
[(-14637, 6527, -3578), (-265, 122, -63)]
[(-14637, 6527, -3578), (-265, 122, -63)]
[(-14637, 6527, -3578), (-265, 122, -63)]
[(-14632, 6511, -3552), (-188, 49, 36)]
[(-14632, 6511, -3552), (-188, 49, 36)]
[(-14632, 6511, -3552), (-188, 49, 36)]
[(-14632, 6511, -3552), (-188, 49, 36)]
[(-14632, 6511, -3552), (-188, 49, 36)]
[(-14586, 6553, -3538), (-278, 91, -20)]
[(-14586, 6553, -3538), (-278, 91, -20)]
[(-14586, 6553, -3538), (-278, 91, -20)]
[(-14586, 6553, -3538), (-278, 91, -20)]
[(-14586, 6553, -3538), (-278, 91, -20)]
[(-14586, 6553, -3538), (-278, 91, -20)]
[(-14586, 6553, -3538), (-278, 91, -20)]
[(-14586, 6553, -3538), (-278, 91, -20)]
[(-14654, 6565, -3479), (-300, 71, 35)]
