[(-14829, 5672, -4252), (-64, 252, 48)]
[(-14794, 5676, -4395), (-461, 824, 13)]
[(-14745, 5718, -4544), (-637, 1425, 39)]
[(-14745, 5718, -4544), (-637, 1425, 39)]
[(-14745, 5718, -4544), (-637, 1425, 39)]
[(-14745, 5718, -4544), (-637, 1425, 39)]
[(-14745, 5718, -4544), (-637, 1425, 39)]
[(-14700, 5743, -4705), (-511, 1394, 88)]
[(-14700, 5743, -4705), (-511, 1394, 88)]
[(-14700, 5743, -4705), (-511, 1394, 88)]
[(-14700, 5743, -4705), (-511, 1394, 88)]
[(-14700, 5743, -4705), (-511, 1394, 88)]
[(-14700, 5743, -4705), (-511, 1394, 88)]
[(-14677, 5770, -4865), (-459, 1221, 128)]
[(-14677, 5770, -4865), (-459, 1221, 128)]
[(-14677, 5770, -4865), (-459, 1221, 128)]
[(-14677, 5770, -4865), (-459, 1221, 128)]
[(-14677, 5770, -4865), (-459, 1221, 128)]
[(-14677, 5770, -4865), (-459, 1221, 128)]
[(-14677, 5770, -4865), (-459, 1221, 128)]
[(-14612, 5805, -4972), (-498, 1082, 151)]
[(-14612, 5805, -4972), (-498, 1082, 151)]
[(-14612, 5805, -4972), (-498, 1082, 151)]
[(-14612, 5805, -4972), (-498, 1082, 151)]
[(-14612, 5805, -4972), (-498, 1082, 151)]
[(-14612, 5805, -4972), (-498, 1082, 151)]
[(-14581, 5846, -5032), (-483, 927, 138)]
[(-14581, 5846, -5032), (-483, 927, 138)]
[(-14581, 5846, -5032), (-483, 927, 138)]
[(-14581, 5846, -5032), (-483, 927, 138)]
[(-14581, 5846, -5032), (-483, 927, 138)]
[(-14547, 5891, -5118), (-377, 746, 79)]
[(-14547, 5891, -5118), (-377, 746, 79)]
[(-14547, 5891, -5118), (-377, 746, 79)]
[(-14547, 5891, -5118), (-377, 746, 79)]
[(-14547, 5891, -5118), (-377, 746, 79)]
[(-14547, 5891, -5118), (-377, 746, 79)]
[(-14547, 5891, -5118), (-377, 746, 79)]
[(-14564, 5879, -5081), (-176, 394, 22)]
[(-14564, 5879, -5081), (-176, 394, 22)]
[(-14564, 5879, -5081), (-176, 394, 22)]
[(-14564, 5879, -5081), (-176, 394, 22)]
[(-14564, 5879, -5081), (-176, 394, 22)]
[(-14564, 5879, -5081), (-176, 394, 22)]
[(-14606, 5851, -5066), (328, -374, -21)]
[(-14606, 5851, -5066), (328, -374, -21)]
[(-14606, 5851, -5066), (328, -374, -21)]
[(-14606, 5851, -5066), (328, -374, -21)]
[(-14606, 5851, -5066), (328, -374, -21)]
[(-14652, 5810, -4956), (214, -595, -26)]
[(-14652, 5810, -4956), (214, -595, -26)]
[(-14652, 5810, -4956), (214, -595, -26)]
[(-14652, 5810, -4956), (214, -595, -26)]
[(-14652, 5810, -4956), (214, -595, -26)]
[(-14652, 5810, -4956), (214, -595, -26)]
[(-14652, 5810, -4956), (214, -595, -26)]
[(-14699, 5808, -4782), (85, -631, -5)]
[(-14699, 5808, -4782), (85, -631, -5)]
[(-14699, 5808, -4782), (85, -631, -5)]
[(-14699, 5808, -4782), (85, -631, -5)]
[(-14699, 5808, -4782), (85, -631, -5)]
[(-14739, 5788, -4644), (79, -426, -17)]
[(-14739, 5788, -4644), (79, -426, -17)]
[(-14739, 5788, -4644), (79, -426, -17)]
[(-14739, 5788, -4644), (79, -426, -17)]
[(-14739, 5788, -4644), (79, -426, -17)]
[(-14786, 5760, -4535), (121, -161, -61)]
[(-14786, 5760, -4535), (121, -161, -61)]
[(-14786, 5760, -4535), (121, -161, -61)]
[(-14786, 5760, -4535), (121, -161, -61)]
[(-14786, 5760, -4535), (121, -161, -61)]
[(-14786, 5760, -4535), (121, -161, -61)]
[(-14786, 5760, -4535), (121, -161, -61)]
[(-14819, 5724, -4469), (150, 3, -84)]
[(-14819, 5724, -4469), (150, 3, -84)]
[(-14819, 5724, -4469), (150, 3, -84)]
[(-14819, 5724, -4469), (150, 3, -84)]
[(-14819, 5724, -4469), (150, 3, -84)]
[(-14819, 5724, -4469), (150, 3, -84)]
[(-14863, 5669, -4425), (82, -34, -43)]
[(-14863, 5669, -4425), (82, -34, -43)]
[(-14863, 5669, -4425), (82, -34, -43)]
[(-14863, 5669, -4425), (82, -34, -43)]
[(-14863, 5669, -4425), (82, -34, -43)]
[(-14856, 5656, -4360), (-50, -113, -22)]
[(-14856, 5656, -4360), (-50, -113, -22)]
