[(-14884, 5724, -4142), (0, 49, 108)]
[(-14846, 5742, -4120), (-188, 200, 65)]
[(-14846, 5742, -4120), (-188, 200, 65)]
[(-14846, 5742, -4120), (-188, 200, 65)]
[(-14789, 5802, -4130), (-374, 447, -78)]
[(-14789, 5802, -4130), (-374, 447, -78)]
[(-14789, 5802, -4130), (-374, 447, -78)]
[(-14789, 5802, -4130), (-374, 447, -78)]
[(-14789, 5802, -4130), (-374, 447, -78)]
[(-14845, 5752, -4211), (-549, 833, -76)]
[(-14845, 5752, -4211), (-549, 833, -76)]
[(-14845, 5752, -4211), (-549, 833, -76)]
[(-14845, 5752, -4211), (-549, 833, -76)]
[(-14845, 5752, -4211), (-549, 833, -76)]
[(-14845, 5752, -4211), (-549, 833, -76)]
[(-14845, 5752, -4211), (-549, 833, -76)]
[(-14845, 5752, -4211), (-549, 833, -76)]
[(-14824, 5732, -4436), (-470, 742, 43)]
[(-14824, 5732, -4436), (-470, 742, 43)]
[(-14824, 5732, -4436), (-470, 742, 43)]
[(-14824, 5732, -4436), (-470, 742, 43)]
[(-14824, 5732, -4436), (-470, 742, 43)]
[(-14764, 5734, -4538), (-402, 744, 87)]
[(-14764, 5734, -4538), (-402, 744, 87)]
[(-14764, 5734, -4538), (-402, 744, 87)]
[(-14764, 5734, -4538), (-402, 744, 87)]
[(-14764, 5734, -4538), (-402, 744, 87)]
[(-14764, 5734, -4538), (-402, 744, 87)]
[(-14743, 5764, -4666), (-352, 603, 79)]
[(-14743, 5764, -4666), (-352, 603, 79)]
[(-14743, 5764, -4666), (-352, 603, 79)]
[(-14743, 5764, -4666), (-352, 603, 79)]
[(-14743, 5764, -4666), (-352, 603, 79)]
[(-14687, 5823, -4765), (-293, 516, 73)]
[(-14687, 5823, -4765), (-293, 516, 73)]
[(-14687, 5823, -4765), (-293, 516, 73)]
[(-14687, 5823, -4765), (-293, 516, 73)]
[(-14687, 5823, -4765), (-293, 516, 73)]
[(-14687, 5823, -4765), (-293, 516, 73)]
[(-14687, 5823, -4765), (-293, 516, 73)]
[(-14681, 5840, -4812), (-270, 490, 29)]
[(-14681, 5840, -4812), (-270, 490, 29)]
[(-14681, 5840, -4812), (-270, 490, 29)]
[(-14681, 5840, -4812), (-270, 490, 29)]
[(-14681, 5840, -4812), (-270, 490, 29)]
[(-14681, 5840, -4812), (-270, 490, 29)]
[(-14721, 5804, -4753), (300, -372, -79)]
[(-14721, 5804, -4753), (300, -372, -79)]
[(-14721, 5804, -4753), (300, -372, -79)]
[(-14721, 5804, -4753), (300, -372, -79)]
[(-14721, 5804, -4753), (300, -372, -79)]
[(-14721, 5804, -4753), (300, -372, -79)]
[(-14721, 5804, -4753), (300, -372, -79)]
[(-14716, 5774, -4704), (480, -736, -62)]
[(-14716, 5774, -4704), (480, -736, -62)]
[(-14716, 5774, -4704), (480, -736, -62)]
[(-14716, 5774, -4704), (480, -736, -62)]
[(-14716, 5774, -4704), (480, -736, -62)]
[(-14764, 5740, -4510), (318, -773, -24)]
[(-14764, 5740, -4510), (318, -773, -24)]
[(-14764, 5740, -4510), (318, -773, -24)]
[(-14764, 5740, -4510), (318, -773, -24)]
[(-14764, 5740, -4510), (318, -773, -24)]
[(-14764, 5740, -4510), (318, -773, -24)]
[(-14797, 5740, -4352), (205, -633, -4)]
[(-14797, 5740, -4352), (205, -633, -4)]
[(-14797, 5740, -4352), (205, -633, -4)]
[(-14797, 5740, -4352), (205, -633, -4)]
[(-14804, 5743, -4256), (215, -393, -4)]
[(-14804, 5743, -4256), (215, -393, -4)]
[(-14804, 5743, -4256), (215, -393, -4)]
[(-14804, 5743, -4256), (215, -393, -4)]
[(-14804, 5743, -4256), (215, -393, -4)]
[(-14836, 5695, -4224), (277, -181, -11)]
[(-14836, 5695, -4224), (277, -181, -11)]
[(-14836, 5695, -4224), (277, -181, -11)]
[(-14836, 5695, -4224), (277, -181, -11)]
[(-14836, 5695, -4224), (277, -181, -11)]
[(-14836, 5695, -4224), (277, -181, -11)]
[(-14836, 5695, -4224), (277, -181, -11)]
[(-14836, 5695, -4224), (277, -181, -11)]
[(-14869, 5696, -4195), (218, -103, 4)]
[(-14869, 5696, -4195), (218, -103, 4)]
[(-14869, 5696, -4195), (218, -103, 4)]
[(-14869, 5696, -4195), (218, -103, 4)]
[(-14869, 5696, -4195), (218, -103, 4)]
[(-14888, 5692, -4169), (90, -143, 2)]
[(-14888, 5692, -4169), (90, -143, 2)]
[(-14888, 5692, -4169), (90, -143, 2)]
[(-14888, 5692, -4169), (90, -143, 2)]
[(-14888, 5692, -4169), (90, -143, 2)]
[(-14895, 5704, -4102), (14, -155, -5)]
