[(-14783, 6696, -1451), (0, 132, -44)]
[(-14764, 6680, -1412), (-14, 74, 20)]
[(-14764, 6680, -1412), (-14, 74, 20)]
[(-14764, 6680, -1412), (-14, 74, 20)]
[(-14764, 6680, -1412), (-14, 74, 20)]
[(-14722, 6698, -1458), (-142, 222, 52)]
[(-14722, 6698, -1458), (-142, 222, 52)]
[(-14722, 6698, -1458), (-142, 222, 52)]
[(-14722, 6698, -1458), (-142, 222, 52)]
[(-14722, 6698, -1458), (-142, 222, 52)]
[(-14741, 6700, -1526), (-605, 703, 20)]
[(-14741, 6700, -1526), (-605, 703, 20)]
[(-14741, 6700, -1526), (-605, 703, 20)]
[(-14741, 6700, -1526), (-605, 703, 20)]
[(-14741, 6700, -1526), (-605, 703, 20)]
[(-14741, 6700, -1526), (-605, 703, 20)]
[(-14741, 6700, -1526), (-605, 703, 20)]
[(-14752, 6693, -1613), (-816, 1118, 20)]
[(-14752, 6693, -1613), (-816, 1118, 20)]
[(-14752, 6693, -1613), (-816, 1118, 20)]
[(-14752, 6693, -1613), (-816, 1118, 20)]
[(-14752, 6693, -1613), (-816, 1118, 20)]
[(-14752, 6693, -1613), (-816, 1118, 20)]
[(-14752, 6709, -1768), (-657, 1029, -50)]
[(-14752, 6709, -1768), (-657, 1029, -50)]
[(-14752, 6709, -1768), (-657, 1029, -50)]
[(-14752, 6709, -1768), (-657, 1029, -50)]
[(-14752, 6709, -1768), (-657, 1029, -50)]
[(-14766, 6708, -1863), (-591, 926, -55)]
[(-14766, 6708, -1863), (-591, 926, -55)]
[(-14766, 6708, -1863), (-591, 926, -55)]
[(-14766, 6708, -1863), (-591, 926, -55)]
[(-14766, 6708, -1863), (-591, 926, -55)]
[(-14766, 6708, -1863), (-591, 926, -55)]
[(-14763, 6693, -1937), (-533, 752, 2)]
[(-14763, 6693, -1937), (-533, 752, 2)]
[(-14763, 6693, -1937), (-533, 752, 2)]
[(-14763, 6693, -1937), (-533, 752, 2)]
[(-14763, 6693, -1937), (-533, 752, 2)]
[(-14763, 6693, -1937), (-533, 752, 2)]
[(-14763, 6693, -1937), (-533, 752, 2)]
[(-14785, 6703, -1997), (-456, 558, 0)]
[(-14785, 6703, -1997), (-456, 558, 0)]
[(-14785, 6703, -1997), (-456, 558, 0)]
[(-14785, 6703, -1997), (-456, 558, 0)]
[(-14785, 6703, -1997), (-456, 558, 0)]
[(-14771, 6698, -2029), (-337, 440, -24)]
[(-14771, 6698, -2029), (-337, 440, -24)]
[(-14771, 6698, -2029), (-337, 440, -24)]
[(-14771, 6698, -2029), (-337, 440, -24)]
[(-14771, 6698, -2029), (-337, 440, -24)]
[(-14771, 6698, -2029), (-337, 440, -24)]
[(-14771, 6698, -2029), (-337, 440, -24)]
[(-14744, 6689, -2071), (-213, 357, -40)]
[(-14744, 6689, -2071), (-213, 357, -40)]
[(-14744, 6689, -2071), (-213, 357, -40)]
[(-14744, 6689, -2071), (-213, 357, -40)]
[(-14744, 6689, -2071), (-213, 357, -40)]
[(-14744, 6689, -2071), (-213, 357, -40)]
[(-14760, 6677, -2028), (355, -271, -87)]
[(-14760, 6677, -2028), (355, -271, -87)]
[(-14760, 6677, -2028), (355, -271, -87)]
[(-14760, 6677, -2028), (355, -271, -87)]
[(-14760, 6677, -2028), (355, -271, -87)]
[(-14734, 6690, -1968), (520, -624, -18)]
[(-14734, 6690, -1968), (520, -624, -18)]
[(-14734, 6690, -1968), (520, -624, -18)]
[(-14734, 6690, -1968), (520, -624, -18)]
[(-14734, 6690, -1968), (520, -624, -18)]
[(-14734, 6690, -1968), (520, -624, -18)]
[(-14724, 6711, -1856), (277, -611, -15)]
[(-14724, 6711, -1856), (277, -611, -15)]
[(-14724, 6711, -1856), (277, -611, -15)]
[(-14724, 6711, -1856), (277, -611, -15)]
[(-14724, 6711, -1856), (277, -611, -15)]
[(-14724, 6711, -1856), (277, -611, -15)]
[(-14724, 6711, -1856), (277, -611, -15)]
[(-14744, 6712, -1712), (176, -498, -24)]
[(-14744, 6712, -1712), (176, -498, -24)]
[(-14744, 6712, -1712), (176, -498, -24)]
[(-14744, 6712, -1712), (176, -498, -24)]
[(-14744, 6712, -1712), (176, -498, -24)]
[(-14744, 6712, -1712), (176, -498, -24)]
[(-14744, 6712, -1712), (176, -498, -24)]
[(-14741, 6700, -1613), (218, -279, -29)]
[(-14741, 6700, -1613), (218, -279, -29)]
[(-14741, 6700, -1613), (218, -279, -29)]
[(-14741, 6700, -1613), (218, -279, -29)]
[(-14784, 6682, -1562), (350, -207, -43)]
[(-14784, 6682, -1562), (350, -207, -43)]
[(-14784, 6682, -1562), (350, -207, -43)]
[(-14784, 6682, -1562), (350, -207, -43)]
[(-14784, 6682, -1562), (350, -207, -43)]
[(-14784, 6682, -1562), (350, -207, -43)]
[(-14784, 6682, -1562), (350, -207, -43)]
[(-14770, 6676, -1528), (337, -163, -29)]
[(-14770, 6676, -1528), (337, -163, -29)]
[(-14770, 6676, -1528), (337, -163, -29)]
[(-14770, 6676, -1528), (337, -163, -29)]
[(-14770, 6676, -1528), (337, -163, -29)]
[(-14784, 6676, -1519), (177, -189, -31)]
[(-14784, 6676, -1519), (177, -189, -31)]
[(-14784, 6676, -1519), (177, -189, -31)]
[(-14784, 6676, -1519), (177, -189, -31)]
[(-14784, 6676, -1519), (177, -189, -31)]
[(-14784, 6676, -1519), (177, -189, -31)]
[(-14780, 6672, -1488), (89, -185, -43)]
[(-14780, 6672, -1488), (89, -185, -43)]
[(-14780, 6672, -1488), (89, -185, -43)]
[(-14780, 6672, -1488), (89, -185, -43)]
[(-14780, 6672, -1488), (89, -185, -43)]
