[(-14158, 7125, -4599), (-13, 196, 16)]
[(-14163, 7136, -4617), (-80, 236, -12)]
[(-14163, 7136, -4617), (-80, 236, -12)]
[(-14163, 7136, -4617), (-80, 236, -12)]
[(-14163, 7136, -4617), (-80, 236, -12)]
[(-14163, 7136, -4617), (-80, 236, -12)]
[(-14186, 7104, -4644), (-9, 169, -9)]
[(-14186, 7104, -4644), (-9, 169, -9)]
[(-14186, 7104, -4644), (-9, 169, -9)]
[(-14186, 7104, -4644), (-9, 169, -9)]
[(-14186, 7104, -4644), (-9, 169, -9)]
[(-14164, 7113, -4636), (-74, 222, -36)]
[(-14164, 7113, -4636), (-74, 222, -36)]
[(-14164, 7113, -4636), (-74, 222, -36)]
[(-14164, 7113, -4636), (-74, 222, -36)]
[(-14164, 7113, -4636), (-74, 222, -36)]
[(-14164, 7113, -4636), (-74, 222, -36)]
[(-14164, 7113, -4636), (-74, 222, -36)]
[(-14164, 7113, -4636), (-74, 222, -36)]
[(-14208, 7086, -4660), (-192, 313, -67)]
[(-14208, 7086, -4660), (-192, 313, -67)]
[(-14208, 7086, -4660), (-192, 313, -67)]
[(-14208, 7086, -4660), (-192, 313, -67)]
[(-14208, 7086, -4660), (-192, 313, -67)]
[(-14196, 7061, -4712), (-147, 287, -38)]
[(-14196, 7061, -4712), (-147, 287, -38)]
[(-14196, 7061, -4712), (-147, 287, -38)]
[(-14196, 7061, -4712), (-147, 287, -38)]
[(-14196, 7061, -4712), (-147, 287, -38)]
[(-14151, 7088, -4662), (-20, 189, 36)]
[(-14151, 7088, -4662), (-20, 189, 36)]
[(-14151, 7088, -4662), (-20, 189, 36)]
[(-14151, 7088, -4662), (-20, 189, 36)]
[(-14151, 7088, -4662), (-20, 189, 36)]
[(-14151, 7088, -4662), (-20, 189, 36)]
[(-14151, 7088, -4662), (-20, 189, 36)]
[(-14151, 7088, -4662), (-20, 189, 36)]
[(-14172, 7087, -4665), (-85, 191, -10)]
[(-14172, 7087, -4665), (-85, 191, -10)]
[(-14172, 7087, -4665), (-85, 191, -10)]
[(-14172, 7087, -4665), (-85, 191, -10)]
[(-14172, 7087, -4665), (-85, 191, -10)]
[(-14168, 7073, -4635), (-156, 178, 14)]
[(-14168, 7073, -4635), (-156, 178, 14)]
[(-14168, 7073, -4635), (-156, 178, 14)]
[(-14168, 7073, -4635), (-156, 178, 14)]
[(-14168, 7073, -4635), (-156, 178, 14)]
[(-14145, 7085, -4576), (-144, 168, 14)]
[(-14145, 7085, -4576), (-144, 168, 14)]
[(-14145, 7085, -4576), (-144, 168, 14)]
[(-14145, 7085, -4576), (-144, 168, 14)]
[(-14145, 7085, -4576), (-144, 168, 14)]
[(-14145, 7085, -4576), (-144, 168, 14)]
[(-14145, 7085, -4576), (-144, 168, 14)]
[(-14145, 7085, -4576), (-144, 168, 14)]
[(-14169, 7076, -4532), (-28, 111, -11)]
[(-14169, 7076, -4532), (-28, 111, -11)]
[(-14169, 7076, -4532), (-28, 111, -11)]
[(-14169, 7076, -4532), (-28, 111, -11)]
