[(-15097, 5387, -3686), (28, 300, -5)]
[(-15113, 5396, -3771), (-6, 276, 67)]
[(-15113, 5396, -3771), (-6, 276, 67)]
[(-15113, 5396, -3771), (-6, 276, 67)]
[(-15113, 5396, -3771), (-6, 276, 67)]
[(-15113, 5396, -3771), (-6, 276, 67)]
[(-15111, 5414, -3548), (-26, 293, 37)]
[(-15111, 5414, -3548), (-26, 293, 37)]
[(-15111, 5414, -3548), (-26, 293, 37)]
[(-15111, 5414, -3548), (-26, 293, 37)]
[(-15111, 5414, -3548), (-26, 293, 37)]
[(-15111, 5414, -3548), (-26, 293, 37)]
[(-15080, 5422, -3526), (-52, 269, -10)]
[(-15080, 5422, -3526), (-52, 269, -10)]
[(-15080, 5422, -3526), (-52, 269, -10)]
[(-15080, 5422, -3526), (-52, 269, -10)]
[(-15080, 5422, -3526), (-52, 269, -10)]
[(-15080, 5422, -3526), (-52, 269, -10)]
[(-15080, 5422, -3526), (-52, 269, -10)]
[(-15104, 5400, -3628), (-69, 265, -35)]
[(-15104, 5400, -3628), (-69, 265, -35)]
[(-15104, 5400, -3628), (-69, 265, -35)]
[(-15104, 5400, -3628), (-69, 265, -35)]
[(-15104, 5400, -3628), (-69, 265, -35)]
[(-15084, 5428, -3542), (-129, 274, -39)]
[(-15084, 5428, -3542), (-129, 274, -39)]
[(-15084, 5428, -3542), (-129, 274, -39)]
[(-15084, 5428, -3542), (-129, 274, -39)]
[(-15084, 5428, -3542), (-129, 274, -39)]
[(-15084, 5428, -3542), (-129, 274, -39)]
[(-15074, 5423, -3594), (-138, 270, -49)]
[(-15074, 5423, -3594), (-138, 270, -49)]
[(-15074, 5423, -3594), (-138, 270, -49)]
[(-15074, 5423, -3594), (-138, 270, -49)]
[(-15074, 5423, -3594), (-138, 270, -49)]
[(-15074, 5423, -3594), (-138, 270, -49)]
[(-15074, 5423, -3594), (-138, 270, -49)]
[(-15074, 5423, -3594), (-138, 270, -49)]
[(-15074, 5423, -3594), (-138, 270, -49)]
[(-15091, 5419, -3524), (-115, 285, -58)]
[(-15091, 5419, -3524), (-115, 285, -58)]
[(-15091, 5419, -3524), (-115, 285, -58)]
[(-15089, 5408, -3468), (-127, 282, -42)]
[(-15089, 5408, -3468), (-127, 282, -42)]
[(-15089, 5408, -3468), (-127, 282, -42)]
[(-15089, 5408, -3468), (-127, 282, -42)]
[(-15089, 5408, -3468), (-127, 282, -42)]
[(-15086, 5426, -3469), (-91, 231, -23)]
[(-15086, 5426, -3469), (-91, 231, -23)]
[(-15086, 5426, -3469), (-91, 231, -23)]
[(-15086, 5426, -3469), (-91, 231, -23)]
[(-15086, 5426, -3469), (-91, 231, -23)]
[(-15086, 5426, -3469), (-91, 231, -23)]
[(-15086, 5426, -3469), (-91, 231, -23)]
[(-15079, 5432, -3454), (-49, 207, 18)]
[(-15079, 5432, -3454), (-49, 207, 18)]
[(-15079, 5432, -3454), (-49, 207, 18)]
[(-15079, 5432, -3454), (-49, 207, 18)]
[(-15079, 5432, -3454), (-49, 207, 18)]
[(-15037, 5441, -3446), (-111, 452, -167)]
[(-15037, 5441, -3446), (-111, 452, -167)]
[(-15037, 5441, -3446), (-111, 452, -167)]
[(-15037, 5441, -3446), (-111, 452, -167)]
[(-15037, 5441, -3446), (-111, 452, -167)]
[(-15037, 5441, -3446), (-111, 452, -167)]
[(-15177, 5412, -3487), (53, 447, -120)]
[(-15177, 5412, -3487), (53, 447, -120)]
