[(-14735, 5769, -4268), (-412, -906, -586)]
[(-14934, 5596, -3739), (-147, -296, -169)]
[(-14934, 5596, -3739), (-147, -296, -169)]
[(-14934, 5596, -3739), (-147, -296, -169)]
[(-14934, 5596, -3739), (-147, -296, -169)]
[(-14934, 5596, -3739), (-147, -296, -169)]
[(-14934, 5596, -3739), (-147, -296, -169)]
[(-14995, 5508, -3597), (-49, -32, -170)]
[(-14995, 5508, -3597), (-49, -32, -170)]
[(-14995, 5508, -3597), (-49, -32, -170)]
[(-14995, 5508, -3597), (-49, -32, -170)]
[(-14995, 5508, -3597), (-49, -32, -170)]
[(-15041, 5451, -3507), (-84, 1, -205)]
[(-15041, 5451, -3507), (-84, 1, -205)]
[(-15041, 5451, -3507), (-84, 1, -205)]
[(-15041, 5451, -3507), (-84, 1, -205)]
[(-15041, 5451, -3507), (-84, 1, -205)]
[(-15041, 5451, -3507), (-84, 1, -205)]
[(-15087, 5420, -3465), (-89, -63, -184)]
[(-15087, 5420, -3465), (-89, -63, -184)]
[(-15087, 5420, -3465), (-89, -63, -184)]
[(-15087, 5420, -3465), (-89, -63, -184)]
[(-15087, 5420, -3465), (-89, -63, -184)]
[(-15087, 5420, -3465), (-89, -63, -184)]
[(-15087, 5420, -3465), (-89, -63, -184)]
[(-15108, 5406, -3412), (-135, -132, -109)]
[(-15108, 5406, -3412), (-135, -132, -109)]
[(-15108, 5406, -3412), (-135, -132, -109)]
[(-15108, 5406, -3412), (-135, -132, -109)]
[(-15108, 5406, -3412), (-135, -132, -109)]
[(-15079, 5404, -3385), (-94, 4, 5)]
[(-15079, 5404, -3385), (-94, 4, 5)]
[(-15079, 5404, -3385), (-94, 4, 5)]
[(-15079, 5404, -3385), (-94, 4, 5)]
[(-15079, 5404, -3385), (-94, 4, 5)]
[(-15079, 5404, -3385), (-94, 4, 5)]
[(-15087, 5396, -3339), (-18, 222, 71)]
[(-15087, 5396, -3339), (-18, 222, 71)]
[(-15087, 5396, -3339), (-18, 222, 71)]
[(-15087, 5396, -3339), (-18, 222, 71)]
[(-15087, 5396, -3339), (-18, 222, 71)]
[(-15087, 5396, -3339), (-18, 222, 71)]
[(-15087, 5396, -3339), (-18, 222, 71)]
[(-15066, 5340, -3335), (30, 370, 35)]
[(-15066, 5340, -3335), (30, 370, 35)]
[(-15066, 5340, -3335), (30, 370, 35)]
[(-15066, 5340, -3335), (30, 370, 35)]
[(-15066, 5340, -3335), (30, 370, 35)]
[(-15066, 5340, -3335), (30, 370, 35)]
[(-15113, 5333, -3383), (59, 318, -38)]
[(-15113, 5333, -3383), (59, 318, -38)]
[(-15113, 5333, -3383), (59, 318, -38)]
[(-15113, 5333, -3383), (59, 318, -38)]
[(-15113, 5333, -3383), (59, 318, -38)]
[(-15092, 5325, -3381), (-31, 185, -58)]
[(-15092, 5325, -3381), (-31, 185, -58)]
[(-15092, 5325, -3381), (-31, 185, -58)]
[(-15092, 5325, -3381), (-31, 185, -58)]
[(-15092, 5325, -3381), (-31, 185, -58)]
[(-15092, 5325, -3381), (-31, 185, -58)]
[(-15092, 5325, -3381), (-31, 185, -58)]
[(-15136, 5297, -3368), (-78, 145, -26)]
[(-15136, 5297, -3368), (-78, 145, -26)]
[(-15136, 5297, -3368), (-78, 145, -26)]
[(-15136, 5297, -3368), (-78, 145, -26)]
[(-15136, 5297, -3368), (-78, 145, -26)]
[(-15136, 5297, -3368), (-78, 145, -26)]
[(-15144, 5302, -3392), (20, 219, 36)]
[(-15144, 5302, -3392), (20, 219, 36)]
[(-15144, 5302, -3392), (20, 219, 36)]
[(-15144, 5302, -3392), (20, 219, 36)]
[(-15146, 5316, -3369), (75, 324, 56)]
[(-15146, 5316, -3369), (75, 324, 56)]
[(-15146, 5316, -3369), (75, 324, 56)]
[(-15146, 5316, -3369), (75, 324, 56)]
[(-15146, 5316, -3369), (75, 324, 56)]
[(-15146, 5316, -3369), (75, 324, 56)]
[(-15146, 5316, -3369), (75, 324, 56)]
[(-15149, 5319, -3409), (94, 308, 75)]
[(-15149, 5319, -3409), (94, 308, 75)]
[(-15149, 5319, -3409), (94, 308, 75)]
[(-15149, 5319, -3409), (94, 308, 75)]
[(-15149, 5319, -3409), (94, 308, 75)]
[(-15149, 5319, -3409), (94, 308, 75)]
[(-15099, 5309, -3431), (-23, 268, 63)]
[(-15099, 5309, -3431), (-23, 268, 63)]
[(-15099, 5309, -3431), (-23, 268, 63)]
[(-15099, 5309, -3431), (-23, 268, 63)]
[(-15099, 5309, -3431), (-23, 268, 63)]
[(-15123, 5302, -3452), (-136, 235, 41)]
[(-15123, 5302, -3452), (-136, 235, 41)]
[(-15123, 5302, -3452), (-136, 235, 41)]
[(-15123, 5302, -3452), (-136, 235, 41)]
