[(-15052, 5452, -3532), (-34, 256, -3)]
[(-15085, 5468, -3548), (-21, 241, -3)]
[(-15085, 5468, -3548), (-21, 241, -3)]
[(-15085, 5468, -3548), (-21, 241, -3)]
[(-15079, 5447, -3548), (-24, 245, 0)]
[(-15079, 5447, -3548), (-24, 245, 0)]
[(-15079, 5447, -3548), (-24, 245, 0)]
[(-15079, 5447, -3548), (-24, 245, 0)]
[(-15079, 5447, -3548), (-24, 245, 0)]
[(-15079, 5447, -3548), (-24, 245, 0)]
[(-15065, 5444, -3536), (-23, 247, 2)]
[(-15065, 5444, -3536), (-23, 247, 2)]
[(-15065, 5444, -3536), (-23, 247, 2)]
[(-15065, 5444, -3536), (-23, 247, 2)]
[(-15065, 5444, -3536), (-23, 247, 2)]
[(-15060, 5446, -3552), (-31, 254, 9)]
[(-15060, 5446, -3552), (-31, 254, 9)]
[(-15060, 5446, -3552), (-31, 254, 9)]
[(-15060, 5446, -3552), (-31, 254, 9)]
[(-15060, 5446, -3552), (-31, 254, 9)]
[(-15060, 5446, -3552), (-31, 254, 9)]
[(-15060, 5446, -3552), (-31, 254, 9)]
[(-15060, 5446, -3552), (-31, 254, 9)]
[(-15071, 5454, -3561), (-20, 259, 14)]
[(-15071, 5454, -3561), (-20, 259, 14)]
[(-15071, 5454, -3561), (-20, 259, 14)]
[(-15071, 5454, -3561), (-20, 259, 14)]
[(-15071, 5454, -3561), (-20, 259, 14)]
[(-15044, 5458, -3550), (-32, 259, 12)]
[(-15044, 5458, -3550), (-32, 259, 12)]
[(-15044, 5458, -3550), (-32, 259, 12)]
[(-15044, 5458, -3550), (-32, 259, 12)]
[(-15044, 5458, -3550), (-32, 259, 12)]
[(-15044, 5458, -3550), (-32, 259, 12)]
[(-15029, 5456, -3567), (-33, 252, 30)]
[(-15029, 5456, -3567), (-33, 252, 30)]
[(-15029, 5456, -3567), (-33, 252, 30)]
[(-15029, 5456, -3567), (-33, 252, 30)]
[(-15029, 5456, -3567), (-33, 252, 30)]
[(-15029, 5456, -3567), (-33, 252, 30)]
[(-15008, 5475, -3551), (-48, 256, 39)]
[(-15008, 5475, -3551), (-48, 256, 39)]
[(-15008, 5475, -3551), (-48, 256, 39)]
[(-15008, 5475, -3551), (-48, 256, 39)]
[(-15008, 5475, -3551), (-48, 256, 39)]
[(-15000, 5447, -3559), (-30, 258, 73)]
[(-15000, 5447, -3559), (-30, 258, 73)]
[(-15000, 5447, -3559), (-30, 258, 73)]
[(-15000, 5447, -3559), (-30, 258, 73)]
[(-15000, 5447, -3559), (-30, 258, 73)]
[(-15000, 5447, -3559), (-30, 258, 73)]
[(-15000, 5459, -3581), (-27, 255, 76)]
[(-15000, 5459, -3581), (-27, 255, 76)]
[(-15000, 5459, -3581), (-27, 255, 76)]
[(-15000, 5459, -3581), (-27, 255, 76)]
[(-15000, 5459, -3581), (-27, 255, 76)]
[(-15000, 5459, -3581), (-27, 255, 76)]
[(-15000, 5459, -3581), (-27, 255, 76)]
[(-15005, 5456, -3592), (-29, 253, 69)]
[(-15005, 5456, -3592), (-29, 253, 69)]
