[(-15056, 5364, -3567), (-61, 252, 17)]
[(-15068, 5373, -3556), (-80, 245, 11)]
[(-15076, 5384, -3532), (-88, 237, 13)]
[(-15076, 5384, -3532), (-88, 237, 13)]
[(-15076, 5384, -3532), (-88, 237, 13)]
[(-15076, 5384, -3532), (-88, 237, 13)]
[(-15076, 5384, -3532), (-88, 237, 13)]
[(-15076, 5384, -3532), (-88, 237, 13)]
[(-15082, 5374, -3529), (-70, 252, 41)]
[(-15082, 5374, -3529), (-70, 252, 41)]
[(-15082, 5374, -3529), (-70, 252, 41)]
[(-15082, 5374, -3529), (-70, 252, 41)]
[(-15082, 5374, -3529), (-70, 252, 41)]
[(-15082, 5374, -3529), (-70, 252, 41)]
[(-15082, 5374, -3529), (-70, 252, 41)]
[(-15052, 5406, -3532), (-75, 259, 51)]
[(-15052, 5406, -3532), (-75, 259, 51)]
[(-15052, 5406, -3532), (-75, 259, 51)]
[(-15052, 5406, -3532), (-75, 259, 51)]
[(-15052, 5406, -3532), (-75, 259, 51)]
[(-15052, 5406, -3532), (-75, 259, 51)]
[(-15060, 5380, -3540), (-60, 250, 41)]
[(-15060, 5380, -3540), (-60, 250, 41)]
[(-15060, 5380, -3540), (-60, 250, 41)]
[(-15060, 5380, -3540), (-60, 250, 41)]
[(-15060, 5380, -3540), (-60, 250, 41)]
[(-15046, 5385, -3512), (-82, 238, 23)]
[(-15046, 5385, -3512), (-82, 238, 23)]
[(-15046, 5385, -3512), (-82, 238, 23)]
[(-15046, 5385, -3512), (-82, 238, 23)]
[(-15046, 5385, -3512), (-82, 238, 23)]
[(-15046, 5385, -3512), (-82, 238, 23)]
[(-15046, 5385, -3512), (-82, 238, 23)]
[(-15037, 5351, -3511), (-61, 224, 64)]
[(-15037, 5351, -3511), (-61, 224, 64)]
[(-15037, 5351, -3511), (-61, 224, 64)]
[(-15037, 5351, -3511), (-61, 224, 64)]
[(-15024, 5351, -3535), (-53, 242, 74)]
[(-15024, 5351, -3535), (-53, 242, 74)]
[(-15024, 5351, -3535), (-53, 242, 74)]
[(-15024, 5351, -3535), (-53, 242, 74)]
[(-15024, 5351, -3535), (-53, 242, 74)]
[(-15016, 5359, -3576), (-31, 259, 67)]
[(-15016, 5359, -3576), (-31, 259, 67)]
[(-15016, 5359, -3576), (-31, 259, 67)]
[(-15016, 5359, -3576), (-31, 259, 67)]
[(-15016, 5359, -3576), (-31, 259, 67)]
[(-15018, 5377, -3584), (-31, 258, 32)]
[(-15018, 5377, -3584), (-31, 258, 32)]
[(-15018, 5377, -3584), (-31, 258, 32)]
[(-15018, 5377, -3584), (-31, 258, 32)]
[(-15018, 5377, -3584), (-31, 258, 32)]
[(-15018, 5377, -3584), (-31, 258, 32)]
[(-15018, 5377, -3584), (-31, 258, 32)]
[(-15018, 5377, -3584), (-31, 258, 32)]
[(-15024, 5380, -3575), (-26, 248, 29)]
[(-15024, 5380, -3575), (-26, 248, 29)]
[(-15024, 5380, -3575), (-26, 248, 29)]
[(-15024, 5380, -3575), (-26, 248, 29)]
[(-15024, 5380, -3575), (-26, 248, 29)]
[(-15032, 5384, -3577), (-19, 240, 40)]
