[(-15174, 5258, -3157), (-93, 292, 15)]
[(-15183, 5271, -3184), (-143, 334, 4)]
[(-15193, 5264, -3186), (-215, 419, 5)]
[(-15193, 5264, -3186), (-215, 419, 5)]
[(-15193, 5264, -3186), (-215, 419, 5)]
[(-15193, 5264, -3186), (-215, 419, 5)]
[(-15193, 5264, -3186), (-215, 419, 5)]
[(-15193, 5264, -3186), (-215, 419, 5)]
[(-15193, 5264, -3186), (-215, 419, 5)]
[(-15147, 5272, -3217), (-312, 563, -2)]
[(-15147, 5272, -3217), (-312, 563, -2)]
[(-15147, 5272, -3217), (-312, 563, -2)]
[(-15147, 5272, -3217), (-312, 563, -2)]
[(-15137, 5284, -3264), (-236, 507, -15)]
[(-15137, 5284, -3264), (-236, 507, -15)]
[(-15137, 5284, -3264), (-236, 507, -15)]
[(-15137, 5284, -3264), (-236, 507, -15)]
[(-15137, 5284, -3264), (-236, 507, -15)]
[(-15119, 5266, -3283), (-226, 440, -14)]
[(-15119, 5266, -3283), (-226, 440, -14)]
[(-15119, 5266, -3283), (-226, 440, -14)]
[(-15119, 5266, -3283), (-226, 440, -14)]
[(-15119, 5266, -3283), (-226, 440, -14)]
[(-15119, 5266, -3283), (-226, 440, -14)]
[(-15119, 5266, -3283), (-226, 440, -14)]
[(-15116, 5260, -3284), (-294, 467, 12)]
[(-15116, 5260, -3284), (-294, 467, 12)]
[(-15116, 5260, -3284), (-294, 467, 12)]
[(-15116, 5260, -3284), (-294, 467, 12)]
[(-15116, 5260, -3284), (-294, 467, 12)]
[(-15116, 5260, -3284), (-294, 467, 12)]
[(-15117, 5263, -3310), (-331, 509, 5)]
[(-15117, 5263, -3310), (-331, 509, 5)]
[(-15117, 5263, -3310), (-331, 509, 5)]
[(-15117, 5263, -3310), (-331, 509, 5)]
[(-15117, 5263, -3310), (-331, 509, 5)]
[(-15112, 5248, -3342), (-331, 557, -17)]
[(-15112, 5248, -3342), (-331, 557, -17)]
[(-15112, 5248, -3342), (-331, 557, -17)]
[(-15112, 5248, -3342), (-331, 557, -17)]
[(-15112, 5248, -3342), (-331, 557, -17)]
[(-15112, 5248, -3342), (-331, 557, -17)]
[(-15112, 5248, -3342), (-331, 557, -17)]
[(-15127, 5236, -3391), (-303, 561, -19)]
[(-15127, 5236, -3391), (-303, 561, -19)]
[(-15127, 5236, -3391), (-303, 561, -19)]
[(-15127, 5236, -3391), (-303, 561, -19)]
[(-15127, 5236, -3391), (-303, 561, -19)]
[(-15127, 5236, -3391), (-303, 561, -19)]
[(-15133, 5244, -3474), (-201, 468, 4)]
[(-15133, 5244, -3474), (-201, 468, 4)]
[(-15133, 5244, -3474), (-201, 468, 4)]
[(-15133, 5244, -3474), (-201, 468, 4)]
[(-15133, 5244, -3474), (-201, 468, 4)]
[(-15153, 5213, -3446), (-120, 353, 11)]
[(-15153, 5213, -3446), (-120, 353, 11)]
[(-15153, 5213, -3446), (-120, 353, 11)]
[(-15153, 5213, -3446), (-120, 353, 11)]
[(-15153, 5213, -3446), (-120, 353, 11)]
[(-15148, 5236, -3392), (-56, 247, 39)]
[(-15148, 5236, -3392), (-56, 247, 39)]
[(-15148, 5236, -3392), (-56, 247, 39)]
[(-15148, 5236, -3392), (-56, 247, 39)]
[(-15148, 5236, -3392), (-56, 247, 39)]
[(-15148, 5236, -3392), (-56, 247, 39)]
[(-15164, 5238, -3396), (-45, 214, 24)]
[(-15164, 5238, -3396), (-45, 214, 24)]
[(-15164, 5238, -3396), (-45, 214, 24)]
[(-15164, 5238, -3396), (-45, 214, 24)]
[(-15164, 5238, -3396), (-45, 214, 24)]
[(-15160, 5252, -3425), (-70, 343, 7)]
[(-15160, 5252, -3425), (-70, 343, 7)]
[(-15160, 5252, -3425), (-70, 343, 7)]
[(-15160, 5252, -3425), (-70, 343, 7)]
[(-15160, 5252, -3425), (-70, 343, 7)]
[(-15160, 5252, -3425), (-70, 343, 7)]
[(-15160, 5252, -3425), (-70, 343, 7)]
[(-15160, 5271, -3428), (-50, 357, 9)]
