[(-14609, 6085, -4679), (372, -142, 46)]
[(-14586, 6072, -4715), (170, -183, 78)]
[(-14586, 6072, -4715), (170, -183, 78)]
[(-14586, 6072, -4715), (170, -183, 78)]
[(-14615, 6079, -4678), (-33, -97, 93)]
[(-14615, 6079, -4678), (-33, -97, 93)]
[(-14615, 6079, -4678), (-33, -97, 93)]
[(-14615, 6079, -4678), (-33, -97, 93)]
[(-14615, 6079, -4678), (-33, -97, 93)]
[(-14524, 6116, -4707), (22, 41, -55)]
[(-14524, 6116, -4707), (22, 41, -55)]
[(-14524, 6116, -4707), (22, 41, -55)]
[(-14524, 6116, -4707), (22, 41, -55)]
[(-14524, 6116, -4707), (22, 41, -55)]
[(-14524, 6116, -4707), (22, 41, -55)]
[(-14570, 6076, -4704), (35, 203, -24)]
[(-14570, 6076, -4704), (35, 203, -24)]
[(-14570, 6076, -4704), (35, 203, -24)]
[(-14570, 6076, -4704), (35, 203, -24)]
[(-14570, 6076, -4704), (35, 203, -24)]
[(-14570, 6076, -4704), (35, 203, -24)]
[(-14570, 6076, -4704), (35, 203, -24)]
[(-14573, 6064, -4721), (29, 227, 36)]
[(-14573, 6064, -4721), (29, 227, 36)]
[(-14573, 6064, -4721), (29, 227, 36)]
[(-14573, 6064, -4721), (29, 227, 36)]
[(-14573, 6064, -4721), (29, 227, 36)]
[(-14552, 6068, -4781), (27, 101, 81)]
[(-14552, 6068, -4781), (27, 101, 81)]
[(-14552, 6068, -4781), (27, 101, 81)]
[(-14552, 6068, -4781), (27, 101, 81)]
[(-14552, 6068, -4781), (27, 101, 81)]
[(-14552, 6068, -4781), (27, 101, 81)]
[(-14552, 6068, -4781), (27, 101, 81)]
[(-14540, 6076, -4806), (-104, 66, 53)]
[(-14540, 6076, -4806), (-104, 66, 53)]
[(-14540, 6076, -4806), (-104, 66, 53)]
[(-14540, 6076, -4806), (-104, 66, 53)]
[(-14540, 6076, -4806), (-104, 66, 53)]
[(-14540, 6076, -4806), (-104, 66, 53)]
[(-14563, 6071, -4797), (-171, 124, 4)]
[(-14563, 6071, -4797), (-171, 124, 4)]
[(-14563, 6071, -4797), (-171, 124, 4)]
[(-14563, 6071, -4797), (-171, 124, 4)]
[(-14563, 6071, -4797), (-171, 124, 4)]
[(-14563, 6071, -4797), (-171, 124, 4)]
[(-14555, 6060, -4783), (-49, 161, -52)]
[(-14555, 6060, -4783), (-49, 161, -52)]
[(-14555, 6060, -4783), (-49, 161, -52)]
[(-14555, 6060, -4783), (-49, 161, -52)]
[(-14555, 6060, -4783), (-49, 161, -52)]
[(-14583, 6037, -4764), (-42, 153, -25)]
[(-14583, 6037, -4764), (-42, 153, -25)]
[(-14583, 6037, -4764), (-42, 153, -25)]
[(-14583, 6037, -4764), (-42, 153, -25)]
[(-14583, 6037, -4764), (-42, 153, -25)]
[(-14583, 6037, -4764), (-42, 153, -25)]
[(-14580, 6036, -4743), (-153, 122, -35)]
[(-14580, 6036, -4743), (-153, 122, -35)]
[(-14580, 6036, -4743), (-153, 122, -35)]
[(-14580, 6036, -4743), (-153, 122, -35)]
[(-14580, 6036, -4743), (-153, 122, -35)]
[(-14594, 6036, -4708), (-196, 96, -51)]
[(-14594, 6036, -4708), (-196, 96, -51)]
[(-14594, 6036, -4708), (-196, 96, -51)]
[(-14594, 6036, -4708), (-196, 96, -51)]
[(-14594, 6036, -4708), (-196, 96, -51)]
[(-14594, 6036, -4708), (-196, 96, -51)]
[(-14604, 6019, -4688), (-198, 140, -47)]
[(-14604, 6019, -4688), (-198, 140, -47)]
[(-14604, 6019, -4688), (-198, 140, -47)]
[(-14604, 6019, -4688), (-198, 140, -47)]
[(-14604, 6019, -4688), (-198, 140, -47)]
[(-14628, 5993, -4658), (-119, 170, -18)]
[(-14628, 5993, -4658), (-119, 170, -18)]
[(-14628, 5993, -4658), (-119, 170, -18)]
[(-14628, 5993, -4658), (-119, 170, -18)]
[(-14628, 5993, -4658), (-119, 170, -18)]
[(-14628, 5993, -4658), (-119, 170, -18)]
[(-14628, 5993, -4658), (-119, 170, -18)]
[(-14628, 5993, -4658), (-119, 170, -18)]
[(-14648, 5980, -4626), (-103, 183, -6)]
[(-14648, 5980, -4626), (-103, 183, -6)]
[(-14648, 5980, -4626), (-103, 183, -6)]
