[(-14592, 5973, -4885), (-138, 412, 120)]
[(-14598, 6005, -4876), (163, 34, 110)]
[(-14598, 6005, -4876), (163, 34, 110)]
[(-14598, 6005, -4876), (163, 34, 110)]
[(-14567, 6032, -4897), (143, -108, 110)]
[(-14567, 6032, -4897), (143, -108, 110)]
[(-14567, 6032, -4897), (143, -108, 110)]
[(-14567, 6032, -4897), (143, -108, 110)]
[(-14567, 6032, -4897), (143, -108, 110)]
[(-14567, 6032, -4897), (143, -108, 110)]
[(-14613, 6020, -4848), (15, -23, 106)]
[(-14613, 6020, -4848), (15, -23, 106)]
[(-14613, 6020, -4848), (15, -23, 106)]
[(-14613, 6020, -4848), (15, -23, 106)]
[(-14613, 6020, -4848), (15, -23, 106)]
[(-14629, 6031, -4808), (-4, 152, 137)]
[(-14629, 6031, -4808), (-4, 152, 137)]
[(-14629, 6031, -4808), (-4, 152, 137)]
[(-14629, 6031, -4808), (-4, 152, 137)]
[(-14629, 6031, -4808), (-4, 152, 137)]
[(-14629, 6031, -4808), (-4, 152, 137)]
[(-14629, 6031, -4808), (-4, 152, 137)]
[(-14630, 6046, -4820), (3, 344, 201)]
[(-14630, 6046, -4820), (3, 344, 201)]
[(-14630, 6046, -4820), (3, 344, 201)]
[(-14630, 6046, -4820), (3, 344, 201)]
[(-14630, 6046, -4820), (3, 344, 201)]
[(-14630, 6046, -4820), (3, 344, 201)]
[(-14611, 6092, -4815), (-43, 315, 206)]
[(-14611, 6092, -4815), (-43, 315, 206)]
[(-14611, 6092, -4815), (-43, 315, 206)]
[(-14611, 6092, -4815), (-43, 315, 206)]
[(-14611, 6092, -4815), (-43, 315, 206)]
[(-14588, 6128, -4853), (-115, 209, 162)]
[(-14588, 6128, -4853), (-115, 209, 162)]
[(-14588, 6128, -4853), (-115, 209, 162)]
[(-14588, 6128, -4853), (-115, 209, 162)]
[(-14588, 6128, -4853), (-115, 209, 162)]
[(-14588, 6128, -4853), (-115, 209, 162)]
[(-14588, 6128, -4853), (-115, 209, 162)]
[(-14576, 6144, -4840), (-194, 168, 156)]
[(-14576, 6144, -4840), (-194, 168, 156)]
[(-14576, 6144, -4840), (-194, 168, 156)]
[(-14576, 6144, -4840), (-194, 168, 156)]
[(-14576, 6144, -4840), (-194, 168, 156)]
[(-14576, 6144, -4840), (-194, 168, 156)]
[(-14590, 6154, -4836), (-165, 209, 164)]
[(-14590, 6154, -4836), (-165, 209, 164)]
[(-14590, 6154, -4836), (-165, 209, 164)]
[(-14590, 6154, -4836), (-165, 209, 164)]
[(-14590, 6154, -4836), (-165, 209, 164)]
[(-14572, 6188, -4867), (-116, 273, 138)]
[(-14572, 6188, -4867), (-116, 273, 138)]
[(-14572, 6188, -4867), (-116, 273, 138)]
[(-14572, 6188, -4867), (-116, 273, 138)]
[(-14572, 6188, -4867), (-116, 273, 138)]
[(-14572, 6188, -4867), (-116, 273, 138)]
[(-14572, 6188, -4867), (-116, 273, 138)]
[(-14555, 6212, -4885), (-105, 300, 102)]
[(-14555, 6212, -4885), (-105, 300, 102)]
[(-14555, 6212, -4885), (-105, 300, 102)]
[(-14555, 6212, -4885), (-105, 300, 102)]
[(-14555, 6212, -4885), (-105, 300, 102)]
[(-14555, 6212, -4885), (-105, 300, 102)]
[(-14510, 6240, -4884), (-128, 177, 98)]
[(-14510, 6240, -4884), (-128, 177, 98)]
[(-14510, 6240, -4884), (-128, 177, 98)]
[(-14506, 6243, -4833), (-186, 107, 101)]
[(-14506, 6243, -4833), (-186, 107, 101)]
[(-14506, 6243, -4833), (-186, 107, 101)]
[(-14506, 6243, -4833), (-186, 107, 101)]
[(-14506, 6243, -4833), (-186, 107, 101)]
[(-14506, 6243, -4833), (-186, 107, 101)]
[(-14506, 6243, -4833), (-186, 107, 101)]
[(-14482, 6275, -4786), (-164, 91, 98)]
[(-14482, 6275, -4786), (-164, 91, 98)]
[(-14482, 6275, -4786), (-164, 91, 98)]
[(-14482, 6275, -4786), (-164, 91, 98)]
[(-14482, 6275, -4786), (-164, 91, 98)]
[(-14482, 6275, -4786), (-164, 91, 98)]
[(-14522, 6283, -4758), (-47, 112, 71)]
[(-14522, 6283, -4758), (-47, 112, 71)]
[(-14522, 6283, -4758), (-47, 112, 71)]
[(-14522, 6283, -4758), (-47, 112, 71)]
[(-14522, 6283, -4758), (-47, 112, 71)]
[(-14489, 6287, -4740), (-13, 128, 62)]
[(-14489, 6287, -4740), (-13, 128, 62)]
[(-14489, 6287, -4740), (-13, 128, 62)]
[(-14489, 6287, -4740), (-13, 128, 62)]
[(-14489, 6287, -4740), (-13, 128, 62)]
[(-14489, 6287, -4740), (-13, 128, 62)]
