[(-15261, 5018, -3165), (3, 204, -70)]
[(-15288, 4956, -3162), (-13, 230, -41)]
[(-15288, 4956, -3162), (-13, 230, -41)]
[(-15288, 4956, -3162), (-13, 230, -41)]
[(-15288, 4956, -3162), (-13, 230, -41)]
[(-15288, 4956, -3162), (-13, 230, -41)]
[(-15288, 4956, -3162), (-13, 230, -41)]
[(-15292, 4932, -3174), (-64, 236, -9)]
[(-15292, 4932, -3174), (-64, 236, -9)]
[(-15292, 4932, -3174), (-64, 236, -9)]
[(-15292, 4932, -3174), (-64, 236, -9)]
[(-15292, 4932, -3174), (-64, 236, -9)]
[(-15292, 4932, -3174), (-64, 236, -9)]
[(-15320, 4936, -3169), (-56, 260, 17)]
[(-15320, 4936, -3169), (-56, 260, 17)]
[(-15320, 4936, -3169), (-56, 260, 17)]
[(-15320, 4936, -3169), (-56, 260, 17)]
[(-15320, 4936, -3169), (-56, 260, 17)]
[(-15319, 4936, -3286), (-129, 558, 46)]
[(-15319, 4936, -3286), (-129, 558, 46)]
[(-15319, 4936, -3286), (-129, 558, 46)]
[(-15319, 4936, -3286), (-129, 558, 46)]
[(-15319, 4936, -3286), (-129, 558, 46)]
[(-15319, 4936, -3286), (-129, 558, 46)]
[(-15319, 4936, -3286), (-129, 558, 46)]
[(-15319, 4936, -3286), (-129, 558, 46)]
[(-15286, 4949, -3307), (-178, 540, 50)]
[(-15286, 4949, -3307), (-178, 540, 50)]
[(-15286, 4949, -3307), (-178, 540, 50)]
[(-15286, 4949, -3307), (-178, 540, 50)]
[(-15286, 4949, -3307), (-178, 540, 50)]
[(-15281, 4956, -3312), (-158, 483, 37)]
[(-15281, 4956, -3312), (-158, 483, 37)]
[(-15281, 4956, -3312), (-158, 483, 37)]
[(-15281, 4956, -3312), (-158, 483, 37)]
[(-15281, 4956, -3312), (-158, 483, 37)]
[(-15281, 4956, -3312), (-158, 483, 37)]
[(-15248, 4944, -3338), (-239, 435, 16)]
[(-15248, 4944, -3338), (-239, 435, 16)]
[(-15248, 4944, -3338), (-239, 435, 16)]
[(-15248, 4944, -3338), (-239, 435, 16)]
[(-15248, 4944, -3338), (-239, 435, 16)]
[(-15248, 4944, -3338), (-239, 435, 16)]
[(-15248, 4944, -3338), (-239, 435, 16)]
[(-15231, 4932, -3296), (-231, 377, 29)]
[(-15231, 4932, -3296), (-231, 377, 29)]
[(-15231, 4932, -3296), (-231, 377, 29)]
