[(-14419, 6204, -5491), (313, -111, 108)]
[(-14432, 6219, -5372), (356, -254, 132)]
[(-14432, 6219, -5372), (356, -254, 132)]
[(-14432, 6219, -5372), (356, -254, 132)]
[(-14432, 6219, -5372), (356, -254, 132)]
[(-14427, 6208, -5310), (294, -155, 122)]
[(-14427, 6208, -5310), (294, -155, 122)]
[(-14427, 6208, -5310), (294, -155, 122)]
[(-14427, 6208, -5310), (294, -155, 122)]
[(-14427, 6208, -5310), (294, -155, 122)]
[(-14427, 6208, -5310), (294, -155, 122)]
[(-14427, 6208, -5310), (294, -155, 122)]
[(-14428, 6204, -5284), (254, -26, 117)]
[(-14428, 6204, -5284), (254, -26, 117)]
[(-14428, 6204, -5284), (254, -26, 117)]
[(-14428, 6204, -5284), (254, -26, 117)]
[(-14428, 6204, -5284), (254, -26, 117)]
[(-14428, 6204, -5284), (254, -26, 117)]
[(-14427, 6172, -5307), (236, -1, 122)]
[(-14427, 6172, -5307), (236, -1, 122)]
[(-14427, 6172, -5307), (236, -1, 122)]
[(-14427, 6172, -5307), (236, -1, 122)]
[(-14427, 6172, -5307), (236, -1, 122)]
[(-14432, 6152, -5309), (155, 3, 127)]
[(-14432, 6152, -5309), (155, 3, 127)]
[(-14432, 6152, -5309), (155, 3, 127)]
[(-14432, 6152, -5309), (155, 3, 127)]
[(-14432, 6152, -5309), (155, 3, 127)]
[(-14432, 6152, -5309), (155, 3, 127)]
[(-14432, 6152, -5309), (155, 3, 127)]
[(-14431, 6144, -5263), (56, 3, 92)]
[(-14431, 6144, -5263), (56, 3, 92)]
[(-14431, 6144, -5263), (56, 3, 92)]
[(-14431, 6144, -5263), (56, 3, 92)]
[(-14431, 6144, -5263), (56, 3, 92)]
[(-14431, 6144, -5263), (56, 3, 92)]
[(-14427, 6151, -5244), (36, 29, 71)]
[(-14427, 6151, -5244), (36, 29, 71)]
[(-14427, 6151, -5244), (36, 29, 71)]
[(-14427, 6151, -5244), (36, 29, 71)]
[(-14427, 6151, -5244), (36, 29, 71)]
[(-14432, 6166, -5216), (30, 62, 51)]
[(-14432, 6166, -5216), (30, 62, 51)]
[(-14432, 6166, -5216), (30, 62, 51)]
[(-14432, 6166, -5216), (30, 62, 51)]
[(-14432, 6166, -5216), (30, 62, 51)]
[(-14432, 6166, -5216), (30, 62, 51)]
[(-14476, 6168, -5248), (-51, 101, 20)]
[(-14476, 6168, -5248), (-51, 101, 20)]
[(-14476, 6168, -5248), (-51, 101, 20)]
[(-14476, 6168, -5248), (-51, 101, 20)]
[(-14476, 6168, -5248), (-51, 101, 20)]
[(-14476, 6168, -5248), (-51, 101, 20)]
[(-14473, 6156, -5192), (-121, 83, 21)]
[(-14473, 6156, -5192), (-121, 83, 21)]
[(-14473, 6156, -5192), (-121, 83, 21)]
[(-14473, 6156, -5192), (-121, 83, 21)]
[(-14473, 6156, -5192), (-121, 83, 21)]
[(-14475, 6152, -5177), (-167, 103, 21)]
[(-14475, 6152, -5177), (-167, 103, 21)]
[(-14475, 6152, -5177), (-167, 103, 21)]
[(-14475, 6152, -5177), (-167, 103, 21)]
[(-14475, 6152, -5177), (-167, 103, 21)]
[(-14475, 6152, -5177), (-167, 103, 21)]
[(-14475, 6152, -5177), (-167, 103, 21)]
[(-14436, 6156, -5150), (-177, 143, 27)]
[(-14436, 6156, -5150), (-177, 143, 27)]
[(-14436, 6156, -5150), (-177, 143, 27)]
