[(-14984, 5608, -3862), (19, 230, 22)]
[(-14964, 5600, -3889), (29, 237, 73)]
[(-14964, 5600, -3889), (29, 237, 73)]
[(-14964, 5600, -3889), (29, 237, 73)]
[(-14964, 5600, -3889), (29, 237, 73)]
[(-14961, 5620, -3916), (40, 265, 70)]
[(-14961, 5620, -3916), (40, 265, 70)]
[(-14961, 5620, -3916), (40, 265, 70)]
[(-14961, 5620, -3916), (40, 265, 70)]
[(-14961, 5620, -3916), (40, 265, 70)]
[(-14961, 5620, -3916), (40, 265, 70)]
[(-14961, 5620, -3916), (40, 265, 70)]
[(-14974, 5623, -3964), (57, 218, 105)]
[(-14974, 5623, -3964), (57, 218, 105)]
[(-14974, 5623, -3964), (57, 218, 105)]
[(-14974, 5623, -3964), (57, 218, 105)]
[(-14974, 5623, -3964), (57, 218, 105)]
[(-14988, 5616, -3966), (-16, 271, 199)]
[(-14988, 5616, -3966), (-16, 271, 199)]
[(-14988, 5616, -3966), (-16, 271, 199)]
[(-14988, 5616, -3966), (-16, 271, 199)]
[(-14988, 5616, -3966), (-16, 271, 199)]
[(-14988, 5616, -3966), (-16, 271, 199)]
[(-14948, 5643, -3994), (-63, 295, 201)]
[(-14948, 5643, -3994), (-63, 295, 201)]
[(-14948, 5643, -3994), (-63, 295, 201)]
[(-14948, 5643, -3994), (-63, 295, 201)]
[(-14948, 5643, -3994), (-63, 295, 201)]
[(-14948, 5643, -3994), (-63, 295, 201)]
[(-14948, 5643, -3994), (-63, 295, 201)]
[(-14927, 5649, -4008), (63, 233, 154)]
[(-14927, 5649, -4008), (63, 233, 154)]
[(-14927, 5649, -4008), (63, 233, 154)]
[(-14927, 5649, -4008), (63, 233, 154)]
[(-14927, 5649, -4008), (63, 233, 154)]
[(-14924, 5666, -4050), (355, 36, 211)]
[(-14924, 5666, -4050), (355, 36, 211)]
[(-14924, 5666, -4050), (355, 36, 211)]
[(-14924, 5666, -4050), (355, 36, 211)]
[(-14924, 5666, -4050), (355, 36, 211)]
[(-14924, 5666, -4050), (355, 36, 211)]
[(-14986, 5768, -4336), (264, 16, 316)]
[(-14986, 5768, -4336), (264, 16, 316)]
[(-14986, 5768, -4336), (264, 16, 316)]
[(-14986, 5768, -4336), (264, 16, 316)]
[(-14986, 5768, -4336), (264, 16, 316)]
[(-14986, 5768, -4336), (264, 16, 316)]
[(-14986, 5768, -4336), (264, 16, 316)]
[(-14973, 5832, -4282), (204, 34, 322)]
[(-14973, 5832, -4282), (204, 34, 322)]
[(-14973, 5832, -4282), (204, 34, 322)]
[(-14973, 5832, -4282), (204, 34, 322)]
[(-14973, 5832, -4282), (204, 34, 322)]
[(-14895, 5880, -4220), (204, 21, 251)]
[(-14895, 5880, -4220), (204, 21, 251)]
[(-14895, 5880, -4220), (204, 21, 251)]
[(-14895, 5880, -4220), (204, 21, 251)]
[(-14895, 5880, -4220), (204, 21, 251)]
[(-14895, 5880, -4220), (204, 21, 251)]
[(-14885, 5919, -4144), (168, 90, 171)]
[(-14885, 5919, -4144), (168, 90, 171)]
[(-14885, 5919, -4144), (168, 90, 171)]
[(-14885, 5919, -4144), (168, 90, 171)]
[(-14885, 5919, -4144), (168, 90, 171)]
[(-14885, 5919, -4144), (168, 90, 171)]
[(-14885, 5919, -4144), (168, 90, 171)]
[(-14860, 5919, -4125), (123, 127, 115)]
[(-14860, 5919, -4125), (123, 127, 115)]
[(-14860, 5919, -4125), (123, 127, 115)]
[(-14860, 5919, -4125), (123, 127, 115)]
[(-14860, 5919, -4125), (123, 127, 115)]
[(-14866, 5893, -4073), (86, 125, 95)]
[(-14866, 5893, -4073), (86, 125, 95)]
[(-14866, 5893, -4073), (86, 125, 95)]
[(-14866, 5893, -4073), (86, 125, 95)]
[(-14866, 5893, -4073), (86, 125, 95)]
[(-14866, 5893, -4073), (86, 125, 95)]
[(-14840, 5912, -4016), (11, 104, 80)]
[(-14840, 5912, -4016), (11, 104, 80)]
[(-14840, 5912, -4016), (11, 104, 80)]
[(-14840, 5912, -4016), (11, 104, 80)]
