[(-14384, 6168, -5249), (88, 325, 204)]
[(-14340, 6249, -5496), (-125, 377, 159)]
[(-14340, 6249, -5496), (-125, 377, 159)]
[(-14340, 6249, -5496), (-125, 377, 159)]
[(-14340, 6249, -5496), (-125, 377, 159)]
[(-14318, 6310, -5536), (-32, 243, 78)]
[(-14318, 6310, -5536), (-32, 243, 78)]
[(-14318, 6310, -5536), (-32, 243, 78)]
[(-14318, 6310, -5536), (-32, 243, 78)]
[(-14318, 6310, -5536), (-32, 243, 78)]
[(-14318, 6310, -5536), (-32, 243, 78)]
[(-14318, 6310, -5536), (-32, 243, 78)]
[(-14318, 6310, -5536), (-32, 243, 78)]
[(-14297, 6311, -5477), (294, 26, 131)]
[(-14297, 6311, -5477), (294, 26, 131)]
[(-14297, 6311, -5477), (294, 26, 131)]
[(-14297, 6311, -5477), (294, 26, 131)]
[(-14297, 6311, -5477), (294, 26, 131)]
[(-14277, 6312, -5465), (298, 72, 132)]
[(-14277, 6312, -5465), (298, 72, 132)]
[(-14277, 6312, -5465), (298, 72, 132)]
[(-14277, 6312, -5465), (298, 72, 132)]
[(-14277, 6312, -5465), (298, 72, 132)]
[(-14277, 6312, -5465), (298, 72, 132)]
[(-14308, 6312, -5464), (234, 35, 96)]
[(-14308, 6312, -5464), (234, 35, 96)]
[(-14308, 6312, -5464), (234, 35, 96)]
[(-14308, 6312, -5464), (234, 35, 96)]
[(-14308, 6312, -5464), (234, 35, 96)]
[(-14308, 6312, -5464), (234, 35, 96)]
[(-14308, 6312, -5464), (234, 35, 96)]
[(-14300, 6306, -5465), (195, 0, 86)]
[(-14300, 6306, -5465), (195, 0, 86)]
[(-14300, 6306, -5465), (195, 0, 86)]
[(-14300, 6306, -5465), (195, 0, 86)]
[(-14300, 6306, -5465), (195, 0, 86)]
[(-14307, 6322, -5446), (11, 94, 78)]
[(-14307, 6322, -5446), (11, 94, 78)]
[(-14307, 6322, -5446), (11, 94, 78)]
[(-14307, 6322, -5446), (11, 94, 78)]
[(-14307, 6322, -5446), (11, 94, 78)]
[(-14307, 6322, -5446), (11, 94, 78)]
[(-14328, 6288, -5460), (-83, 271, 83)]
[(-14328, 6288, -5460), (-83, 271, 83)]
[(-14328, 6288, -5460), (-83, 271, 83)]
[(-14328, 6288, -5460), (-83, 271, 83)]
[(-14328, 6288, -5460), (-83, 271, 83)]
[(-14308, 6282, -5459), (-83, 303, 84)]
[(-14308, 6282, -5459), (-83, 303, 84)]
